Welcome Back!,Welkom terug!
Customer notes,Klantnotities
Daily,Dagelijks
Date and time must be after ${min},Datum en tijd moeten na ${min} liggen
Date and time must be before ${max},Datum en tijd moeten vóór ${max} liggen
Date must be after ${min},Datum moet na ${min} liggen
Date must be before ${max},Datum moet vóór ${max} liggen
Delete ${count} coupons,${count} coupons verwijderen
Delete ${count} products,${count} producten verwijderen
Delete address API not available,Adres verwijderen-API niet beschikbaar
Delivered,Bezorgd
Description,Beschrijving
Disable,Uitschakelen
Disable ${count} coupons,${count} coupons uitschakelen
Disable ${count} customers,${count} klanten uitschakelen
Disable ${count} products,${count} producten uitschakelen
Disabled,Uitgeschakeld
Discount percent,Kortingspercentage
Discount percent is required,Kortingspercentage is verplicht
Display on Frontend?,Weergeven op frontend?
Displays the mobile sidebar.,Toont de mobiele zijbalk.
Done,Klaar
Drag to reorder,Sleep om te herordenen
Duplicate,Dupliceren
Edit custom field,Aangepast veld bewerken
Edit field settings,Veldinstellingen bewerken
Edit package,Pakket bewerken
Edit tracking info,Trackinggegevens bewerken
Editing ${name},${name} bewerken
Email a shipment confirmation,E-mail een verzendbevestiging
Email a shipment confirmation with tracking details,E-mail een verzendbevestiging met trackinggegevens
Email is required,E-mail is verplicht
Enable,Inschakelen
Enable ${count} coupons,${count} coupons inschakelen
Enable ${count} customers,${count} klanten inschakelen
Enable ${count} products,${count} producten inschakelen
Enabled,Ingeschakeld
Enter attribute code,Voer attribuutcode in
Enter attribute name,Voer attribuutnaam in
Enter text,Voer tekst in
Enter value for ${attribute},Voer waarde in voor ${attribute}
Enter your email,Voer uw e-mail in
Enter your new password,Voer uw nieuwe wachtwoord in
Enter your password,Voer uw wachtwoord in
Error,Fout
Failed to add address,Adres toevoegen mislukt
Failed to add billing address,Factuuradres toevoegen mislukt
Failed to add billing address.,Factuuradres toevoegen mislukt.
Failed to add contact info,Contactgegevens toevoegen mislukt
Failed to add contact info.,Contactgegevens toevoegen mislukt.
Failed to add item to cart,Artikel toevoegen aan winkelwagen mislukt
Failed to add payment method,Betaalmethode toevoegen mislukt
Failed to add payment method.,Betaalmethode toevoegen mislukt.
Failed to add product to cart,Product toevoegen aan winkelwagen mislukt
Failed to add shipping address,Verzendadres toevoegen mislukt
Failed to add shipping address.,Verzendadres toevoegen mislukt.
Failed to add shipping method,Verzendmethode toevoegen mislukt
Failed to add shipping method.,Verzendmethode toevoegen mislukt.
Failed to apply coupon,Coupon toepassen mislukt
Failed to cancel shipment,Verzending annuleren mislukt
Failed to checkout,Afrekenen mislukt
Failed to create field,Veld aanmaken mislukt
Failed to create shipment,Verzending aanmaken mislukt
Failed to delete address,Adres verwijderen mislukt
Failed to load custom fields,Aangepaste velden laden mislukt
Failed to mark delivered,Markeren als bezorgd mislukt
Failed to place order,Bestelling plaatsen mislukt
Failed to place order. Please try again.,Bestelling plaatsen mislukt. Probeer het opnieuw.
Failed to remove coupon,Coupon verwijderen mislukt
Failed to remove coupon.,Coupon verwijderen mislukt.
Failed to save custom fields,Aangepaste velden opslaan mislukt
Failed to set shipping method,Verzendmethode instellen mislukt
Failed to set shipping note,Verzendnotitie instellen mislukt
Failed to update address,Adres bijwerken mislukt
Failed to update field,Veld bijwerken mislukt
Failed to update shipment,Verzending bijwerken mislukt
Failed to update tracking info,Trackinggegevens bijwerken mislukt
Failed to void label,Label annuleren mislukt
Failed!,Mislukt!
Fields applicable to this entity type. Adding a field applies it to all entities of this type.,Velden die van toepassing zijn op dit entiteitstype. Een veld toevoegen past het toe op alle entiteiten van dit type.
File size must be less than ${maxSize},Bestandsgrootte moet kleiner zijn dan ${maxSize}
Filter Products,Producten filteren
Filters,Filters
First,Eerste
Free,Gratis
Free shipping,Gratis verzending
Free shipping ?,Gratis verzending?
Fulfill ${count} orders,${count} bestellingen afhandelen
Full Name is required,Volledige naam is verplicht
Fully shipped,Volledig verzonden
General,Algemeen
Get qty,Ontvang aantal
Get qty is required,Ontvang aantal is verplicht
Ghost,Ghost
Go,Ga
Go to Login,Ga naar inloggen
Go to next page,Ga naar volgende pagina
Go to previous page,Ga naar vorige pagina
Hello,Hallo
Hide from storefront,Verbergen voor winkel
ID,ID
In Stock,Op voorraad
Inactive,Inactief
Inclusive of tax ${totalTaxAmount},Inclusief btw ${totalTaxAmount}
Insert,Invoegen
Invalid address,Ongeldig adres
Invalid cart,Ongeldige winkelwagen
Invalid cart id,Ongeldig winkelwagen-ID
Invalid coupon,Ongeldige coupon
Invalid customer,Ongeldige klant
Invalid customer id,Ongeldig klant-ID
Invalid email or password,Ongeldige e-mail of wachtwoord
Invalid format,Ongeldig formaat
Invalid quantity,Ongeldig aantal
Is Filterable?,Is filterbaar?
Is Required?,Is verplicht?
Item,Artikel
Items,Artikelen
Items in this shipment will return to the order's unshipped pool. This action cannot be undone.,Artikelen in deze verzending keren terug naar de niet-verzonden voorraad van de bestelling. Deze actie kan niet ongedaan worden gemaakt.
Key,Sleutel
Key is required,Sleutel is verplicht
Label,Label
Label voided,Label geannuleerd
Language,Taal
Last,Laatste
Lifetime Sales,Totale omzet
Light gray,Lichtgrijs
Limit,Limiet
Link,Link
Loading,Laden
Log in,Inloggen
Logging in...,Bezig met inloggen...
Logging out...,Bezig met uitloggen...
Login failed,Inloggen mislukt
Logout failed,Uitloggen mislukt
Look like you just started. No bestsellers yet.,Het lijkt erop dat u net bent begonnen. Nog geen bestsellers.
"Lowercase letters, digits, underscore. Immutable.","Kleine letters, cijfers, underscore. Onveranderlijk."
Manage the general information of the attribute.,Beheer de algemene informatie van het attribuut.
Manage the setting of the attribute.,Beheer de instelling van het attribuut.
Mark as shipped,Markeren als verzonden
Mark delivered,Markeren als bezorgd
Mark shipment as delivered?,Verzending markeren als bezorgd?
Max length,Max. lengte
Max of Y,Max. van Y
Max of Y is required,Max. van Y is verplicht
Max value,Max. waarde
Min length,Min. lengte
Min value,Min. waarde
Minimum quantity,Minimumaantal
Mint,Mint
Monthly,Maandelijks
More,Meer
More pages,Meer pagina's
Move down,Omlaag verplaatsen
Move up,Omhoog verplaatsen
Multiselect,Multiselectie
Must be at least ${n},Moet minimaal ${n} zijn
Must be at least ${n} characters,Moet minimaal ${n} tekens bevatten
Must be at most ${n},Mag maximaal ${n} zijn
Must be at most ${n} characters,Mag maximaal ${n} tekens bevatten
"Must start with a letter; lowercase letters, digits, underscore only","Moet beginnen met een letter; alleen kleine letters, cijfers en underscore"
Name is required,Naam is verplicht
New Product,Nieuw product
New Widget,Nieuwe widget
New folder,Nieuwe map
Next,Volgende
Next slide,Volgende slide
No,Nee
No address data received,Geen adresgegevens ontvangen
"No attribute groups found for query ""${query}""","Geen kenmerkgroepen gevonden voor zoekopdracht ""${query}"""
No carriers registered,Geen vervoerders geregistreerd
"No categories found for ""${term}""","Geen categorieën gevonden voor ""${term}"""
"No categories found for query ""${query}""","Geen categorieën gevonden voor zoekopdracht ""${query}"""
"No collections found for query ""${query}""","Geen collecties gevonden voor zoekopdracht ""${query}"""
No coupon to remove,Geen coupon om te verwijderen
No custom fields yet.,Nog geen aangepaste velden.
No data available,Geen gegevens beschikbaar
No free shipping,Geen gratis verzending
No limit,Geen limiet
No maximum,Geen maximum
No minimum,Geen minimum
No notes from customer,Geen opmerkingen van klant
"No options found for ""${code}""","Geen opties gevonden voor ""${code}"""
"No products found for query ""${query}""","Geen producten gevonden voor zoekopdracht ""${query}"""
No shipments yet — your order is being prepared.,Nog geen zendingen — uw bestelling wordt voorbereid.
No shipping is required for this order,Voor deze bestelling is geen verzending vereist
No shipping methods available,Geen verzendmethoden beschikbaar
No shipping options are available for your location,Er zijn geen verzendopties beschikbaar voor uw locatie
No shipping required,Geen verzending vereist
No widgets match your search.,Geen widgets komen overeen met uw zoekopdracht.
None,Geen
Not set,Niet ingesteld
Not visible to customers,Niet zichtbaar voor klanten
Notify customer,Klant op de hoogte stellen
Open in new tab,Openen in nieuw tabblad
Operator,Operator
Option text,Optietekst
Optional help text shown to admins.,Optionele helptekst die aan beheerders wordt getoond.
Order Placed,Bestelling geplaatst
Order detail,Bestellingsdetail
Order must contain products matching all conditions below,Bestelling moet producten bevatten die aan alle onderstaande voorwaarden voldoen
Order not found,Bestelling niet gevonden
Orders,Bestellingen
Others,Overige
Out of Stock,Niet op voorraad
Outline,Omtrek
Overview of sales data over selected periods,Overzicht van verkoopgegevens over geselecteerde periodes
Overview of total sales and order status over the lifetime of your store,Overzicht van totale verkoop en bestelstatus gedurende de levensduur van uw winkel
Page,Pagina
Page ${currentPage} of ${totalPages},Pagina ${currentPage} van ${totalPages}
Page not found,Pagina niet gevonden
Password is required,Wachtwoord is verplicht
Password must be at least ${minLength} characters long,Wachtwoord moet minimaal ${minLength} tekens lang zijn
Paste a URL or a relative path starting with ,Plak een URL of een relatief pad dat begint met 
Pattern (regex),Patroon (regex)
Pay with PayPal,Betalen met PayPal
Pay with Stripe,Betalen met Stripe
Payment Status,Betalingsstatus
Placing Order...,Bestelling plaatsen...
Please enter a coupon code,Voer een couponcode in
Please enter a valid URL,Voer een geldige URL in
Please enter a valid email address,Voer een geldig e-mailadres in
Please enter your email to receive a reset link,Voer uw e-mailadres in om een resetlink te ontvangen
Please provide billing address to proceed,Geef een factuuradres op om door te gaan
Please select a payment method,Selecteer een betaalmethode
Please select a shipping method,Selecteer een verzendmethode
Please sign in to your account,Log in op uw account
Position,Positie
Previous,Vorige
Previous slide,Vorige slide
Price: ${value},Prijs: ${value}
Primary,Primair
Print Label,Label afdrukken
Processing Payment...,Betaling verwerken...
Product Description,Productbeschrijving
Product is out of stock,Product is niet op voorraad
Product name is required,Productnaam is verplicht
Product not found,Product niet gevonden
Product type,Producttype
Products,Producten
Reason for cancellation,Reden voor annulering
Reason is required,Reden is verplicht
Recently placed orders by this customer,Recent geplaatste bestellingen door deze klant
Redirecting to PayPal...,Doorverwijzen naar PayPal...
Reference type,Referentietype
Registration failed,Registratie mislukt
Remove item,Item verwijderen
Remove sub-field,Subveld verwijderen
Required,Verplicht
Requires at least one item to create a cart,Vereist minimaal één item om een winkelwagen aan te maken
Reset Password,Wachtwoord opnieuw instellen
Reset Your Password,Stel uw wachtwoord opnieuw in
Reset password,Wachtwoord opnieuw instellen
Reset your password,Stel uw wachtwoord opnieuw in
Root,Hoofdmap
SKU,SKU
SKU ${sku},SKU ${sku}
SKU must be unique,SKU moet uniek zijn
SKU: ${sku},SKU: ${sku}
Sale Statistics,Verkoopstatistieken
Save custom fields,Aangepaste velden opslaan
Save field,Veld opslaan
Saved successfully!,Succesvol opgeslagen!
Search attribute groups,Kenmerkgroepen zoeken
Search categories,Categorieën zoeken
Search collections,Collecties zoeken
"Search for products, orders, and other resources","Zoek naar producten, bestellingen en andere bronnen"
Search products,Producten zoeken
Search results for: ${keyword},Zoekresultaten voor: ${keyword}
Search widgets…,Widgets zoeken…
Searching...,Zoeken...
Search…,Zoeken…
See all orders →,Alle bestellingen bekijken →
Select,Selecteren
Select a carrier,Selecteer een vervoerder
Select at least one item to ship,Selecteer minimaal één item om te verzenden
Select groups the attribute belongs to,Selecteer de groepen waartoe het kenmerk behoort
Select shipping method,Selecteer verzendmethode
Select sort,Sortering selecteren
"Select the items going in this shipment, then add the carrier & tracking.",Selecteer de items voor deze zending en voeg vervolgens de vervoerder en tracking toe.
Setting,Instelling
Settings,Instellingen
Shipment Status,Zendingsstatus
Shipment canceled,Zending geannuleerd
Shipment created,Zending aangemaakt
Shipment marked delivered,Zending gemarkeerd als bezorgd
Shipments,Zendingen
Shipped,Verzonden
Shipping (${method}),Verzending (${method})
Shipping Setting,Verzendinstelling
Show,Tonen
Show all ${count} options,Alle ${count} opties tonen
Show on storefront,Tonen in winkel
Showing ${showing} of ${total},${showing} van ${total} weergegeven
Showing ${start}-${end} of ${total} results,${start}-${end} van ${total} resultaten weergegeven
Sidebar,Zijbalk
Sign in to view your orders,Log in om uw bestellingen te bekijken
Simple,Eenvoudig
Sky,Hemelsblauw
Sold out,Uitverkocht
Some error occurred. Please try again later.,Er is een fout opgetreden. Probeer het later opnieuw.
Some products are not available,Sommige producten zijn niet beschikbaar
Something went wrong! Please try again.,Er is iets misgegaan! Probeer het opnieuw.
Something went wrong. Please try again later.,Er is iets misgegaan. Probeer het later opnieuw.
Something wrong. Please try again,Er ging iets mis. Probeer het opnieuw
Sort Order,Sorteervolgorde
Sort order,Sorteervolgorde
Status,Status
Stock,Voorraad
Stripe is not loaded. Please try again.,Stripe is niet geladen. Probeer het opnieuw.
Style,Stijl
Sub-fields,Subvelden
Submit Cancellation,Annulering indienen
Successfully logged in,Succesvol ingelogd
Successfully logged out,Succesvol uitgelogd
Tax Setting,Belastinginstelling
Test failure,Test mislukt
Test failure:,Test mislukt:
Test success,Test geslaagd
Test success:,Test geslaagd:
Text,Tekst
Textarea,Tekstgebied
The carrier will mark the tracking number as invalid. You will need to purchase a new label if you still intend to ship.,De vervoerder markeert het volgnummer als ongeldig. U moet een nieuw label aanschaffen als u alsnog wilt verzenden.
The customer will receive a delivery confirmation email.,De klant ontvangt een e-mail ter bevestiging van de levering.
There is no category,Er is geen categorie
There is no file to display.,Er is geen bestand om weer te geven.
There is no sub folder.,Er is geen submap.
There was an error:,Er is een fout opgetreden:
This tracking link has expired,Deze volglink is verlopen
This tracking link is no longer valid,Deze volglink is niet langer geldig
Thumbnail,Miniatuur
Time must be after ${min},Tijd moet na ${min} zijn
Time must be before ${max},Tijd moet voor ${max} zijn
Toggle Sidebar,Zijbalk wisselen
Token is invalid or expired,Token is ongeldig of verlopen
Too many items requested,Te veel items aangevraagd
Track,Volgen
Track shipment →,Zending volgen →
Track your order,Volg uw bestelling
Tracking info updated,Volginformatie bijgewerkt
Tracking link,Volglink
Tracking links are good for a limited time. Sign in to your account to see the current status of your order.,Volglinks zijn beperkte tijd geldig. Log in op uw account om de huidige status van uw bestelling te bekijken.
Tracking number,Volgnummer
Type,Type
Type / to see the available blocks,Typ / om de beschikbare blokken te zien
UPDATE PASSWORD,WACHTWOORD BIJWERKEN
Update address API not available,API voor adres bijwerken niet beschikbaar
Update field,Veld bijwerken
Upload,Uploaden
Validation,Validatie
Value,Waarde
Value must be a whole number,Waarde moet een geheel getal zijn
Value must be at least ${min},Waarde moet minimaal ${min} zijn
Value must be at most ${max},Waarde mag maximaal ${max} zijn
View All Products,Alle producten bekijken
View JSON,JSON bekijken
View all customers,Alle klanten bekijken
Visible to customer,Zichtbaar voor klant
Void Label,Label annuleren
Void label,Label annuleren
Void this shipping label?,Dit verzendlabel annuleren?
"We could not find this order. It may have been removed, or it may belong to a different account.",We konden deze bestelling niet vinden. Mogelijk is deze verwijderd of hoort deze bij een ander account.
"We could not verify this link. If you received it in an email from us, please try again from the most recent message, or sign in to your account.","We konden deze link niet verifiëren. Als u deze in een e-mail van ons hebt ontvangen, probeer het dan opnieuw vanuit het meest recente bericht, of log in op uw account."
We have sent you an email with a link to reset your password. Please check your inbox.,We hebben u een e-mail gestuurd met een link om uw wachtwoord opnieuw in te stellen. Controleer uw inbox.
Weekly,Wekelijks
Welcome to our store!,Welkom in onze winkel!
"Where you ship, shipping methods and delivery fee","Waar u verzendt, verzendmethoden en leverkosten"
White,Wit
Yes,Ja
You are already logged in,U bent al ingelogd
You are here:,U bent hier:
You have no attribute groups to display,U hebt geen attribuutgroepen om weer te geven
You have no categories to display,U hebt geen categorieën om weer te geven
You have no collections to display,U hebt geen collecties om weer te geven
You have no products to display,U hebt geen producten om weer te geven
You have not placed any orders yet.,U hebt nog geen bestellingen geplaatst.
You paid for,U hebt betaald voor
You will be redirected to PayPal for payment processing.,U wordt doorgestuurd naar PayPal voor de betalingsverwerking.
Your Orders,Uw bestellingen
Your order #${number} has been delivered,Uw bestelling #${number} is geleverd
Your order #${number} is on the way,Uw bestelling #${number} is onderweg
Your order has been confirmed!,Uw bestelling is bevestigd!
Your password has been updated successfully.,Uw wachtwoord is succesvol bijgewerkt.
across,over
available to ship,beschikbaar om te verzenden
breadcrumb,broodkruimel
e.g. Care instructions,bijv. Onderhoudsinstructies
"e.g. New, Sale, Limited","bijv. Nieuw, Uitverkoop, Beperkt"
e.g. Question,bijv. Vraag
e.g. care_instructions,bijv. care_instructions
e.g. question,bijv. question
item,item
items,items
left to ship,nog te verzenden
of,van
of ${count},van ${count}
unit,eenheid
units,eenheden
${count} changes published.,${count} wijzigingen gepubliceerd.
${count} child widgets,${count} onderliggende widgets
${count} countries,${count} landen
${count} on ${route},${count} op ${route}
${count} ops total,${count} bewerkingen totaal
${count} pending ops,${count} openstaande bewerkingen
${count} pending ops on,${count} openstaande bewerkingen op
${count} routes,${count} routes
${direction} failed,${direction} mislukt
${method} — ${zone} rate,${method} — ${zone} tarief
${method} — new rate,${method} — nieuw tarief
${name} attached to ${zone},${name} gekoppeld aan ${zone}
${name} configuration for ${zone},${name} configuratie voor ${zone}
${name} configuration for this zone,${name} configuratie voor deze zone
${name} configuration saved for ${zone},${name} configuratie opgeslagen voor ${zone}
${name} detached,${name} losgekoppeld
${name} is required,${name} is verplicht
${title} settings,${title} instellingen
${total} changes will go live immediately.,${total} wijzigingen gaan direct live.
${total} items,${total} items
(envelope),(envelop)
+ Add Line,+ Regel toevoegen
+ Add Method,+ Methode toevoegen
+ Add Rate,+ Tarief toevoegen
+ Add placement,+ Plaatsing toevoegen
+ Attach Provider,+ Provider koppelen
+ New package,+ Nieuw pakket
+${count} more,+${count} meer
", +${count} more",", +${count} meer"
", last updated",", laatst bijgewerkt"
0 for flat envelopes,0 voor platte enveloppen
1 change published.,1 wijziging gepubliceerd.
1 change will go live immediately.,1 wijziging gaat direct live.
1 child widget,1 onderliggende widget
1 op total,1 bewerking totaal
1 pending op,1 openstaande bewerking
1 pending op on,1 openstaande bewerking op
A package is required for shippable products,Een pakket is verplicht voor verzendbare producten
A rollout plan saves your current edits as a snapshot and applies them automatically during a scheduled window.,Een uitrolplan slaat uw huidige bewerkingen op als momentopname en past ze automatisch toe tijdens een ingepland tijdvenster.
Action,Actie
Actions,Acties
Add,Toevoegen
Add Products,Producten toevoegen
Add Rate,Tarief toevoegen
Add Shipping Method,Verzendmethode toevoegen
Add Tax Rate,Belastingtarief toevoegen
Add Variant,Variant toevoegen
Add products to this category by selecting them from the list below.,Voeg producten toe aan deze categorie door ze te selecteren uit de onderstaande lijst.
Add rate,Tarief toevoegen
Added,Toegevoegd
Adding to Column ${number},Toevoegen aan kolom ${number}
Additional languages,Aanvullende talen
Admin panel language,Taal van beheerpaneel
Affects ${count} pages,Heeft invloed op ${count} pagina's
Affects 1 page,Heeft invloed op 1 pagina
All pages,Alle pagina's
All registered providers are already attached to this zone.,Alle geregistreerde providers zijn al aan deze zone gekoppeld.
All routes,Alle routes
Also shown on ${routes},Ook getoond op ${routes}
Also shown on ${routes} +${count},Ook getoond op ${routes} +${count}
Amount must be greater than or equal to 0,Bedrag moet groter dan of gelijk aan 0 zijn
Amount must be less than or equal to ${value} ${currency},Bedrag moet kleiner dan of gelijk aan ${value} ${currency} zijn
Apply a condition?,Een voorwaarde toepassen?
Area,Gebied
Area is required,Gebied is verplicht
At least one country is required,Minimaal één land is verplicht
Attach,Koppelen
Attach Provider to ${zone},Provider koppelen aan ${zone}
Attached Providers,Gekoppelde providers
Attribute Name,Kenmerknaam
Attribute code is required,Kenmerkcode is verplicht
Attribute created successfully!,Kenmerk succesvol aangemaakt!
Attribute group,Kenmerkgroep
Attribute name is required,Kenmerknaam is verplicht
Authorize only,Alleen autoriseren
Auto-saves while you edit,Slaat automatisch op tijdens het bewerken
Back To Dashboard,Terug naar dashboard
Base calculation address,Basisadres voor berekening
Based on cart subtotal,Op basis van subtotaal winkelwagen
Based on cart weight,Op basis van gewicht winkelwagen
Basic configuration,Basisconfiguratie
Boolean,Boolean
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,Ingebouwde verzendmethoden met tarieven per zone. Koppel eerst Core aan een zone via Instellingen → Verzending; voeg daarna hier methoden toe en configureer hun tarieven per zone.
Buy X get Y,Koop X krijg Y
CMS,CMS
Calculation type,Berekeningstype
Can not change the attribute group of a product that is already in a variant group.,Kan de kenmerkgroep van een product dat al in een variantgroep zit niet wijzigen.
Cancel rollout,Uitrol annuleren
Cancel rollout plan?,Uitrolplan annuleren?
Canvas device width,Canvas-apparaatbreedte
Capture,Vastleggen
Capture Payment,Betaling vastleggen
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,Vervoerderhint voor fulfilment — wordt nooit getoond bij het afrekenen. NewShipmentDialog gebruikt dit om de vervoerder vooraf te selecteren.
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,Vervoerderspecifieke servicecode die wordt gebruikt bij het kopen van een label (CreateLabelInput.serviceCode). Vrije invoer — controleer de exacte token in de API-documentatie van de vervoerder. Laat leeg om de vervoerder zijn standaardservice te laten kiezen.
Cash On Delivery Payment,Betaling onder rembours
"Catalog, Search","Catalogus, Zoeken"
Category Image,Categorieafbeelding
Category Name,Categorienaam
Category created successfully!,Categorie succesvol aangemaakt!
Category name is required,Categorienaam is verplicht
Choose Attribute Groups,Kies kenmerkgroepen
Choose Categories,Kies categorieën
Choose Collections,Kies collecties
Choose SKUs,Kies SKU's
Choose how much of your unpublished work to discard. The published storefront is not affected.,Kies hoeveel van je niet-gepubliceerde werk je wilt verwijderen. De gepubliceerde winkel wordt niet beïnvloed.
Choose where you ship and how much you charge for shipping.,Kies waarheen je verzendt en hoeveel je voor verzending rekent.
Clear filter,Filter wissen
Clear filters,Filters wissen
Client ID,Client-ID
Client Secret,Client Secret
