Welcome Back!,Bem-vindo de volta!
Attributes,Atributos
Available shipping methods will appear once you provide your address details,Os métodos de envio disponíveis aparecerão assim que fornecer os detalhes do seu endereço
Best Sellers,Mais vendidos
Best customers,Melhores clientes
Billing address,Endereço de faturação
Black,Preto
Buy qty,Qtd. de compra
Buy qty is required,A qtd. de compra é obrigatória
Can not process payment. Please try again later.,Não é possível processar o pagamento. Tente novamente mais tarde.
Can't be undone,Não pode ser desfeito
Cancel,Cancelar
Cancel Order,Cancelar pedido
Cancel shipment,Cancelar envio
Cancel this shipment?,Cancelar este envio?
Canceled,Cancelado
Cancelled,Cancelado
Cannot add billing address: cart not initialized,Não é possível adicionar endereço de faturação: carrinho não inicializado
Cannot add contact info: cart not initialized,Não é possível adicionar informações de contacto: carrinho não inicializado
Cannot add payment method: cart not initialized,Não é possível adicionar método de pagamento: carrinho não inicializado
Cannot add shipping address: cart not initialized,Não é possível adicionar endereço de envio: carrinho não inicializado
Cannot add shipping method: cart not initialized,Não é possível adicionar método de envio: carrinho não inicializado
Cannot add shipping method: providerCode is required,Não é possível adicionar método de envio: providerCode é obrigatório
Cannot apply coupon: cart not initialized,Não é possível aplicar cupão: carrinho não inicializado
Cannot remove coupon: cart not initialized,Não é possível remover cupão: carrinho não inicializado
Carrier,Transportadora
Carrier is required,A transportadora é obrigatória
Cart ID is required to checkout,O ID do carrinho é obrigatório para finalizar a compra
Cart is not initialized,O carrinho não está inicializado
Catalog,Catálogo
Categories,Categorias
Category,Categoria
Charcoal,Carvão
Checkout success,Compra concluída com sucesso
Choose Product SKU,Escolher SKU do produto
Choose SKU,Escolher SKU
Clear All,Limpar tudo
Clear Filters,Limpar filtros
Clear all,Limpar tudo
Clear categories,Limpar categorias
Close fullscreen view,Fechar vista de ecrã inteiro
Code,Código
Collections,Coleções
Comma-separated; renders the value as a dropdown.,Separados por vírgula; apresenta o valor como uma lista pendente.
Completed,Concluído
Configurable,Configurável
Configure tax classes and tax rates,Configure classes de imposto e taxas de imposto
Confirm,Confirmar
Contact for pricing,Contacte para preços
Conveniently pay with cash at your doorstep when your order is delivered.,Pague comodamente em dinheiro à porta de casa quando o seu pedido for entregue.
Coupon applied successfully!,Cupão aplicado com sucesso!
Coupon code is required,O código do cupão é obrigatório
Coupon does not match,O cupão não corresponde
Coupon removed successfully!,Cupão removido com sucesso!
Cream,Creme
Create,Criar
Create a new attribute,Criar um novo atributo
Create a new group,Criar um novo grupo
Create a new package,Criar um novo pacote
Create shipment,Criar envio
Created,Criado
Custom URL,URL personalizado
Custom field created,Campo personalizado criado
Custom field updated,Campo personalizado atualizado
Custom fields,Campos personalizados
Custom fields (JSON),Campos personalizados (JSON)
Custom fields saved,Campos personalizados guardados
Customer Information,Informações do cliente
Customer does not have any order yet.,O cliente ainda não tem nenhum pedido.
Customer notes,Notas do cliente
Daily,Diariamente
Date and time must be after ${min},A data e hora devem ser posteriores a ${min}
Date and time must be before ${max},A data e hora devem ser anteriores a ${max}
Date must be after ${min},A data deve ser posterior a ${min}
Date must be before ${max},A data deve ser anterior a ${max}
Delete ${count} coupons,Excluir ${count} cupons
Delete ${count} products,Excluir ${count} produtos
Delete address API not available,API de exclusão de endereço indisponível
Delivered,Entregue
Description,Descrição
Disable,Desativar
Disable ${count} coupons,Desativar ${count} cupons
Disable ${count} customers,Desativar ${count} clientes
Disable ${count} products,Desativar ${count} produtos
Disabled,Desativado
Discount percent,Percentual de desconto
Discount percent is required,O percentual de desconto é obrigatório
Display on Frontend?,Exibir na loja?
Displays the mobile sidebar.,Exibe a barra lateral móvel.
Done,Concluído
Drag to reorder,Arraste para reordenar
Duplicate,Duplicar
Edit custom field,Editar campo personalizado
Edit field settings,Editar configurações do campo
Edit package,Editar pacote
Edit tracking info,Editar informações de rastreamento
Editing ${name},Editando ${name}
Email a shipment confirmation,Enviar confirmação de envio por e-mail
Email a shipment confirmation with tracking details,Enviar por e-mail uma confirmação de envio com detalhes de rastreamento
Email is required,O e-mail é obrigatório
Enable,Ativar
Enable ${count} coupons,Ativar ${count} cupons
Enable ${count} customers,Ativar ${count} clientes
Enable ${count} products,Ativar ${count} produtos
Enabled,Ativado
Enter attribute code,Digite o código do atributo
Enter attribute name,Digite o nome do atributo
Enter text,Digite o texto
Enter value for ${attribute},Digite o valor para ${attribute}
Enter your email,Digite seu e-mail
Enter your new password,Digite sua nova senha
Enter your password,Digite sua senha
Error,Erro
Failed to add address,Falha ao adicionar endereço
Failed to add billing address,Falha ao adicionar endereço de cobrança
Failed to add billing address.,Falha ao adicionar endereço de cobrança.
Failed to add contact info,Falha ao adicionar informações de contato
Failed to add contact info.,Falha ao adicionar informações de contato.
Failed to add item to cart,Falha ao adicionar item ao carrinho
Failed to add payment method,Falha ao adicionar método de pagamento
Failed to add payment method.,Falha ao adicionar método de pagamento.
Failed to add product to cart,Falha ao adicionar produto ao carrinho
Failed to add shipping address,Falha ao adicionar endereço de entrega
Failed to add shipping address.,Falha ao adicionar endereço de entrega.
Failed to add shipping method,Falha ao adicionar método de envio
Failed to add shipping method.,Falha ao adicionar método de envio.
Failed to apply coupon,Falha ao aplicar cupom
Failed to cancel shipment,Falha ao cancelar envio
Failed to checkout,Falha ao finalizar a compra
Failed to create field,Falha ao criar campo
Failed to create shipment,Falha ao criar envio
Failed to delete address,Falha ao excluir endereço
Failed to load custom fields,Falha ao carregar campos personalizados
Failed to mark delivered,Falha ao marcar como entregue
Failed to place order,Falha ao realizar o pedido
Failed to place order. Please try again.,Falha ao realizar o pedido. Tente novamente.
Failed to remove coupon,Falha ao remover cupom
Failed to remove coupon.,Falha ao remover cupom.
Failed to save custom fields,Falha ao salvar campos personalizados
Failed to set shipping method,Falha ao definir método de envio
Failed to set shipping note,Falha ao definir nota de envio
Failed to update address,Falha ao atualizar endereço
Failed to update field,Falha ao atualizar campo
Failed to update shipment,Falha ao atualizar envio
Failed to update tracking info,Falha ao atualizar informações de rastreamento
Failed to void label,Falha ao anular etiqueta
Failed!,Falhou!
Fields applicable to this entity type. Adding a field applies it to all entities of this type.,Campos aplicáveis a este tipo de entidade. Adicionar um campo o aplica a todas as entidades deste tipo.
File size must be less than ${maxSize},O tamanho do arquivo deve ser menor que ${maxSize}
Filter Products,Filtrar produtos
Filters,Filtros
First,Primeiro
Free,Grátis
Free shipping,Frete grátis
Free shipping ?,Frete grátis?
Fulfill ${count} orders,Atender ${count} pedidos
Full Name is required,O nome completo é obrigatório
Fully shipped,Totalmente enviado
General,Geral
Get qty,Qtd. recebida
Get qty is required,A qtd. recebida é obrigatória
Ghost,Fantasma
Go,Ir
Go to Login,Ir para o login
Go to next page,Ir para a próxima página
Go to previous page,Ir para a página anterior
Hello,Olá
Hide from storefront,Ocultar da loja
ID,ID
In Stock,Em estoque
Inactive,Inativo
Inclusive of tax ${totalTaxAmount},Impostos incluídos ${totalTaxAmount}
Insert,Inserir
Invalid address,Endereço inválido
Invalid cart,Carrinho inválido
Invalid cart id,ID de carrinho inválido
Invalid coupon,Cupom inválido
Invalid customer,Cliente inválido
Invalid customer id,ID de cliente inválido
Invalid email or password,E-mail ou senha inválidos
Invalid format,Formato inválido
Invalid quantity,Quantidade inválida
Is Filterable?,É filtrável?
Is Required?,É obrigatório?
Item,Item
Items,Itens
Items in this shipment will return to the order's unshipped pool. This action cannot be undone.,Os itens deste envio retornarão ao conjunto de itens não enviados do pedido. Esta ação não pode ser desfeita.
Key,Chave
Key is required,A chave é obrigatória
Label,Etiqueta
Label voided,Etiqueta anulada
Language,Idioma
Last,Último
Lifetime Sales,Vendas totais
Light gray,Cinza claro
Limit,Limite
Link,Link
Loading,Carregando
Log in,Entrar
Logging in...,Entrando...
Logging out...,Saindo...
Login failed,Falha no login
Logout failed,Falha ao sair
Look like you just started. No bestsellers yet.,Parece que você acabou de começar. Ainda não há mais vendidos.
"Lowercase letters, digits, underscore. Immutable.","Letras minúsculas, dígitos, sublinhado. Imutável."
Manage the general information of the attribute.,Gerencie as informações gerais do atributo.
Manage the setting of the attribute.,Gerencie as configurações do atributo.
Mark as shipped,Marcar como enviado
Mark delivered,Marcar como entregue
Mark shipment as delivered?,Marcar envio como entregue?
Max length,Comprimento máximo
Max of Y,Máximo de Y
Max of Y is required,O máximo de Y é obrigatório
Max value,Valor máximo
Min length,Comprimento mínimo
Min value,Valor mínimo
Minimum quantity,Quantidade mínima
Mint,Verde-menta
Monthly,Mensal
More,Mais
More pages,Mais páginas
Move down,Mover para baixo
Move up,Mover para cima
Multiselect,Seleção múltipla
Must be at least ${n},Deve ser pelo menos ${n}
Must be at least ${n} characters,Deve ter pelo menos ${n} caracteres
Must be at most ${n},Deve ser no máximo ${n}
Must be at most ${n} characters,Deve ter no máximo ${n} caracteres
"Must start with a letter; lowercase letters, digits, underscore only","Deve começar com uma letra; apenas letras minúsculas, dígitos e sublinhado"
Name is required,O nome é obrigatório
New Product,Novo produto
New Widget,Novo widget
New folder,Nova pasta
Next,Próximo
Next slide,Próximo slide
No,Não
No address data received,Nenhum dado de endereço recebido
"No attribute groups found for query ""${query}""","Nenhum grupo de atributos encontrado para a consulta ""${query}"""
No carriers registered,Nenhuma transportadora registada
"No categories found for ""${term}""","Nenhuma categoria encontrada para ""${term}"""
"No categories found for query ""${query}""","Nenhuma categoria encontrada para a consulta ""${query}"""
"No collections found for query ""${query}""","Nenhuma coleção encontrada para a consulta ""${query}"""
No coupon to remove,Nenhum cupão para remover
No custom fields yet.,Ainda não há campos personalizados.
No data available,Nenhum dado disponível
No free shipping,Sem envio gratuito
No limit,Sem limite
No maximum,Sem máximo
No minimum,Sem mínimo
No notes from customer,Sem notas do cliente
"No options found for ""${code}""","Nenhuma opção encontrada para ""${code}"""
"No products found for query ""${query}""","Nenhum produto encontrado para a consulta ""${query}"""
No shipments yet — your order is being prepared.,Ainda não há envios — o seu pedido está a ser preparado.
No shipping is required for this order,Não é necessário envio para este pedido
No shipping methods available,Nenhum método de envio disponível
No shipping options are available for your location,Não há opções de envio disponíveis para a sua localização
No shipping required,Envio não necessário
No widgets match your search.,Nenhum widget corresponde à sua pesquisa.
None,Nenhum
Not set,Não definido
Not visible to customers,Não visível para os clientes
Notify customer,Notificar cliente
Open in new tab,Abrir num novo separador
Operator,Operador
Option text,Texto da opção
Optional help text shown to admins.,Texto de ajuda opcional mostrado aos administradores.
Order Placed,Pedido efetuado
Order detail,Detalhe do pedido
Order must contain products matching all conditions below,O pedido deve conter produtos que correspondam a todas as condições abaixo
Order not found,Pedido não encontrado
Orders,Pedidos
Others,Outros
Out of Stock,Esgotado
Outline,Contorno
Overview of sales data over selected periods,Visão geral dos dados de vendas ao longo dos períodos selecionados
Overview of total sales and order status over the lifetime of your store,Visão geral do total de vendas e estado dos pedidos ao longo da vida da sua loja
Page,Página
Page ${currentPage} of ${totalPages},Página ${currentPage} de ${totalPages}
Page not found,Página não encontrada
Password is required,A palavra-passe é obrigatória
Password must be at least ${minLength} characters long,A palavra-passe deve ter pelo menos ${minLength} caracteres
Paste a URL or a relative path starting with ,Cole um URL ou um caminho relativo começando com 
Pattern (regex),Padrão (regex)
Pay with PayPal,Pagar com PayPal
Pay with Stripe,Pagar com Stripe
Payment Status,Estado do pagamento
Placing Order...,A efetuar pedido...
Please enter a coupon code,Introduza um código de cupão
Please enter a valid URL,Introduza um URL válido
Please enter a valid email address,Introduza um endereço de email válido
Please enter your email to receive a reset link,Introduza o seu email para receber um link de redefinição
Please provide billing address to proceed,Forneça o endereço de faturação para continuar
Please select a payment method,Selecione um método de pagamento
Please select a shipping method,Selecione um método de envio
Please sign in to your account,Inicie sessão na sua conta
Position,Posição
Previous,Anterior
Previous slide,Slide anterior
Price: ${value},Preço: ${value}
Primary,Principal
Print Label,Imprimir etiqueta
Processing Payment...,A processar pagamento...
Product Description,Descrição do produto
Product is out of stock,O produto está esgotado
Product name is required,O nome do produto é obrigatório
Product not found,Produto não encontrado
Product type,Tipo de produto
Products,Produtos
Reason for cancellation,Motivo do cancelamento
Reason is required,O motivo é obrigatório
Recently placed orders by this customer,Pedidos efetuados recentemente por este cliente
Redirecting to PayPal...,A redirecionar para o PayPal...
Reference type,Tipo de referência
Registration failed,Falha no registo
Remove item,Remover item
Remove sub-field,Remover subcampo
Required,Obrigatório
Requires at least one item to create a cart,Requer pelo menos um item para criar um carrinho
Reset Password,Redefinir palavra-passe
Reset Your Password,Redefina a sua palavra-passe
Reset password,Redefinir palavra-passe
Reset your password,Redefina a sua palavra-passe
Root,Raiz
SKU,SKU
SKU ${sku},SKU ${sku}
SKU must be unique,O SKU deve ser único
SKU: ${sku},SKU: ${sku}
Sale Statistics,Estatísticas de vendas
Save custom fields,Guardar campos personalizados
Save field,Guardar campo
Saved successfully!,Guardado com sucesso!
Search attribute groups,Pesquisar grupos de atributos
Search categories,Pesquisar categorias
Search collections,Pesquisar coleções
"Search for products, orders, and other resources","Pesquisar produtos, pedidos e outros recursos"
Search products,Pesquisar produtos
Search results for: ${keyword},Resultados da pesquisa para: ${keyword}
Search widgets…,Pesquisar widgets…
Searching...,A pesquisar...
Search…,Pesquisar…
See all orders →,Ver todos os pedidos →
Select,Selecionar
Select a carrier,Selecione uma transportadora
Select at least one item to ship,Selecione pelo menos um item para enviar
Select groups the attribute belongs to,Selecione os grupos a que o atributo pertence
Select shipping method,Selecionar método de envio
Select sort,Selecionar ordenação
"Select the items going in this shipment, then add the carrier & tracking.",Selecione os itens que vão neste envio e depois adicione a transportadora e o rastreio.
Setting,Definição
Settings,Definições
Shipment Status,Estado do envio
Shipment canceled,Envio cancelado
Shipment created,Envio criado
Shipment marked delivered,Envio marcado como entregue
Shipments,Envios
Shipped,Enviado
Shipping (${method}),Envio (${method})
Shipping Setting,Definição de envio
Show,Mostrar
Show all ${count} options,Mostrar todas as ${count} opções
Show on storefront,Mostrar na loja
Showing ${showing} of ${total},A mostrar ${showing} de ${total}
Showing ${start}-${end} of ${total} results,A mostrar ${start}-${end} de ${total} resultados
Sidebar,Barra lateral
Sign in to view your orders,Inicie sessão para ver os seus pedidos
Simple,Simples
Sky,Céu
Sold out,Esgotado
Some error occurred. Please try again later.,Ocorreu um erro. Tente novamente mais tarde.
Some products are not available,Alguns produtos não estão disponíveis
Something went wrong! Please try again.,Algo correu mal! Tente novamente.
Something went wrong. Please try again later.,Algo correu mal. Tente novamente mais tarde.
Something wrong. Please try again,Algo correu mal. Tente novamente
Sort Order,Ordem de classificação
Sort order,Ordem de classificação
Status,Status
Stock,Estoque
Stripe is not loaded. Please try again.,O Stripe não foi carregado. Tente novamente.
Style,Estilo
Sub-fields,Subcampos
Submit Cancellation,Enviar cancelamento
Successfully logged in,Login realizado com sucesso
Successfully logged out,Logout realizado com sucesso
Tax Setting,Configuração de impostos
Test failure,Falha no teste
Test failure:,Falha no teste:
Test success,Teste bem-sucedido
Test success:,Teste bem-sucedido:
Text,Texto
Textarea,Área de texto
The carrier will mark the tracking number as invalid. You will need to purchase a new label if you still intend to ship.,A transportadora marcará o número de rastreamento como inválido. Você precisará comprar uma nova etiqueta se ainda pretender enviar.
The customer will receive a delivery confirmation email.,O cliente receberá um e-mail de confirmação de entrega.
There is no category,Não há nenhuma categoria
There is no file to display.,Não há nenhum arquivo para exibir.
There is no sub folder.,Não há nenhuma subpasta.
There was an error:,Ocorreu um erro:
This tracking link has expired,Este link de rastreamento expirou
This tracking link is no longer valid,Este link de rastreamento não é mais válido
Thumbnail,Miniatura
Time must be after ${min},O horário deve ser posterior a ${min}
Time must be before ${max},O horário deve ser anterior a ${max}
Toggle Sidebar,Alternar barra lateral
Token is invalid or expired,O token é inválido ou expirou
Too many items requested,Muitos itens solicitados
Track,Rastrear
Track shipment →,Rastrear envio →
Track your order,Rastreie seu pedido
Tracking info updated,Informações de rastreamento atualizadas
Tracking link,Link de rastreamento
Tracking links are good for a limited time. Sign in to your account to see the current status of your order.,Os links de rastreamento são válidos por tempo limitado. Entre na sua conta para ver o status atual do seu pedido.
Tracking number,Número de rastreamento
Type,Tipo
Type / to see the available blocks,Digite / para ver os blocos disponíveis
UPDATE PASSWORD,ATUALIZAR SENHA
Update address API not available,API de atualização de endereço indisponível
Update field,Atualizar campo
Upload,Enviar
Validation,Validação
Value,Valor
Value must be a whole number,O valor deve ser um número inteiro
Value must be at least ${min},O valor deve ser no mínimo ${min}
Value must be at most ${max},O valor deve ser no máximo ${max}
View All Products,Ver todos os produtos
View JSON,Ver JSON
View all customers,Ver todos os clientes
Visible to customer,Visível para o cliente
Void Label,Anular etiqueta
Void label,Anular etiqueta
Void this shipping label?,Anular esta etiqueta de envio?
"We could not find this order. It may have been removed, or it may belong to a different account.",Não foi possível encontrar este pedido. Ele pode ter sido removido ou pode pertencer a outra conta.
"We could not verify this link. If you received it in an email from us, please try again from the most recent message, or sign in to your account.","Não foi possível verificar este link. Se você o recebeu em um e-mail nosso, tente novamente a partir da mensagem mais recente ou entre na sua conta."
We have sent you an email with a link to reset your password. Please check your inbox.,Enviamos um e-mail com um link para redefinir sua senha. Verifique sua caixa de entrada.
Weekly,Semanalmente
Welcome to our store!,Bem-vindo à nossa loja!
"Where you ship, shipping methods and delivery fee","Para onde você envia, métodos de envio e taxa de entrega"
White,Branco
Yes,Sim
You are already logged in,Você já está conectado
You are here:,Você está aqui:
You have no attribute groups to display,Você não tem grupos de atributos para exibir
You have no categories to display,Você não tem categorias para exibir
You have no collections to display,Você não tem coleções para exibir
You have no products to display,Você não tem produtos para exibir
You have not placed any orders yet.,Você ainda não fez nenhum pedido.
You paid for,Você pagou por
You will be redirected to PayPal for payment processing.,Você será redirecionado para o PayPal para o processamento do pagamento.
Your Orders,Seus pedidos
Your order #${number} has been delivered,Seu pedido #${number} foi entregue
Your order #${number} is on the way,Seu pedido #${number} está a caminho
Your order has been confirmed!,Seu pedido foi confirmado!
Your password has been updated successfully.,Sua senha foi atualizada com sucesso.
across,em
available to ship,disponível para envio
breadcrumb,trilha de navegação
e.g. Care instructions,ex.: Instruções de cuidado
"e.g. New, Sale, Limited","ex.: Novo, Promoção, Limitado"
e.g. Question,ex.: Pergunta
e.g. care_instructions,ex.: care_instructions
e.g. question,ex.: question
item,item
items,itens
left to ship,restante para enviar
of,de
of ${count},de ${count}
unit,unidade
units,unidades
${count} changes published.,${count} alterações publicadas.
${count} child widgets,${count} widgets filhos
${count} countries,${count} países
${count} on ${route},${count} em ${route}
${count} ops total,${count} operações no total
${count} pending ops,${count} operações pendentes
${count} pending ops on,${count} operações pendentes em
${count} routes,${count} rotas
${direction} failed,${direction} falhou
${method} — ${zone} rate,${method} — tarifa de ${zone}
${method} — new rate,${method} — nova tarifa
${name} attached to ${zone},${name} anexado a ${zone}
${name} configuration for ${zone},Configuração de ${name} para ${zone}
${name} configuration for this zone,Configuração de ${name} para esta zona
${name} configuration saved for ${zone},Configuração de ${name} salva para ${zone}
${name} detached,${name} desanexado
${name} is required,${name} é obrigatório
${title} settings,Configurações de ${title}
${total} changes will go live immediately.,${total} alterações entrarão em vigor imediatamente.
${total} items,${total} itens
(envelope),(envelope)
+ Add Line,+ Adicionar linha
+ Add Method,+ Adicionar método
+ Add Rate,+ Adicionar tarifa
+ Add placement,+ Adicionar posicionamento
+ Attach Provider,+ Anexar provedor
+ New package,+ Novo pacote
+${count} more,+${count} mais
", +${count} more",", +${count} mais"
", last updated",", última atualização"
0 for flat envelopes,0 para envelopes planos
1 change published.,1 alteração publicada.
1 change will go live immediately.,1 alteração entrará em vigor imediatamente.
1 child widget,1 widget filho
1 op total,1 operação no total
1 pending op,1 operação pendente
1 pending op on,1 operação pendente em
A package is required for shippable products,É necessário um pacote para produtos enviáveis
A rollout plan saves your current edits as a snapshot and applies them automatically during a scheduled window.,Um plano de implantação salva suas edições atuais como um instantâneo e as aplica automaticamente durante uma janela agendada.
Action,Ação
Actions,Ações
Add,Adicionar
Add Products,Adicionar produtos
Add Rate,Adicionar tarifa
Add Shipping Method,Adicionar método de envio
Add Tax Rate,Adicionar taxa de imposto
Add Variant,Adicionar variante
Add products to this category by selecting them from the list below.,Adicione produtos a esta categoria selecionando-os na lista abaixo.
Add rate,Adicionar tarifa
Added,Adicionado
Adding to Column ${number},Adicionando à coluna ${number}
Additional languages,Idiomas adicionais
Admin panel language,Idioma do painel de administração
Affects ${count} pages,Afeta ${count} páginas
Affects 1 page,Afeta 1 página
All pages,Todas as páginas
All registered providers are already attached to this zone.,Todos os provedores registrados já estão anexados a esta zona.
All routes,Todas as rotas
Also shown on ${routes},Também exibido em ${routes}
Also shown on ${routes} +${count},Também exibido em ${routes} +${count}
Amount must be greater than or equal to 0,O valor deve ser maior ou igual a 0
Amount must be less than or equal to ${value} ${currency},O valor deve ser menor ou igual a ${value} ${currency}
Apply a condition?,Aplicar uma condição?
Area,Área
Area is required,A área é obrigatória
At least one country is required,É obrigatório pelo menos um país
Attach,Anexar
Attach Provider to ${zone},Anexar provedor a ${zone}
Attached Providers,Provedores anexados
Attribute Name,Nome do atributo
Attribute code is required,O código do atributo é obrigatório
Attribute created successfully!,Atributo criado com sucesso!
Attribute group,Grupo de atributos
Attribute name is required,O nome do atributo é obrigatório
Authorize only,Apenas autorizar
Auto-saves while you edit,Salva automaticamente enquanto você edita
Back To Dashboard,Voltar ao painel
Base calculation address,Endereço base de cálculo
Based on cart subtotal,Com base no subtotal do carrinho
Based on cart weight,Com base no peso do carrinho
Basic configuration,Configuração básica
Boolean,Booleano
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,Métodos de envio integrados com tarifas por zona. Primeiro anexe o Core a uma zona em Configurações → Envio; depois adicione métodos aqui e configure suas tarifas por zona.
Buy X get Y,Compre X leve Y
CMS,CMS
Calculation type,Tipo de cálculo
Can not change the attribute group of a product that is already in a variant group.,Não é possível alterar o grupo de atributos de um produto que já está em um grupo de variantes.
Cancel rollout,Cancelar implantação
Cancel rollout plan?,Cancelar plano de implantação?
Canvas device width,Largura do dispositivo da tela
Capture,Capturar
Capture Payment,Capturar pagamento
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,Dica de transportadora para o processamento — nunca exibida no checkout. O NewShipmentDialog usa isto para pré-selecionar a transportadora.
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,Código de serviço específico da transportadora usado ao comprar uma etiqueta (CreateLabelInput.serviceCode). Formato livre — verifique o token exato na documentação da API da transportadora. Deixe em branco para permitir que a transportadora escolha seu serviço padrão.
Cash On Delivery Payment,Pagamento na entrega
"Catalog, Search","Catálogo, Pesquisa"
Category Image,Imagem da categoria
Category Name,Nome da categoria
Category created successfully!,Categoria criada com sucesso!
Category name is required,O nome da categoria é obrigatório
Choose Attribute Groups,Escolher grupos de atributos
Choose Categories,Escolher categorias
Choose Collections,Escolher coleções
Choose SKUs,Escolher SKUs
Choose how much of your unpublished work to discard. The published storefront is not affected.,Escolha quanto do seu trabalho não publicado descartar. A loja publicada não é afetada.
Choose where you ship and how much you charge for shipping.,Escolha para onde você envia e quanto cobra pelo envio.
Clear filter,Limpar filtro
Clear filters,Limpar filtros
Client ID,ID do cliente
Client Secret,Segredo do cliente
Close,Fechar
Close settings,Fechar configurações
Close — continue draft,Fechar — continuar rascunho
Cms Pages,Páginas CMS
Collapse left rail,Recolher barra esquerda
Collapse panel,Recolher painel
Collection Code,Código da coleção
Collection Name,Nome da coleção
Collection code is required,O código da coleção é obrigatório
Collection code must be alphanumeric and can include underscores or dashes.,O código da coleção deve ser alfanumérico e pode incluir sublinhados ou hífens.
Collection created successfully!,Coleção criada com sucesso!
Color,Cor
Commerce,Comércio
Compound,Composto
Condition,Condição
Configure,Configurar
Configure cost and conditions per zone. Zones without a rate don't offer this method.,Configure o custo e as condições por zona. Zonas sem tarifa não oferecem este método.
Configure rate,Configurar tarifa
Configure the available payment methods,Configurar os métodos de pagamento disponíveis
Configure the settings for the ${name} widget.,Configure as opções do widget ${name}.
Configure the tax classes that will be available to your customers at checkout.,Configure as classes de imposto que estarão disponíveis para seus clientes no checkout.
Configure your Cash On Delivery payment gateway settings,Configure as opções do gateway de pagamento na entrega
Configure your Paypal payment gateway settings,Configure as opções do gateway de pagamento PayPal
Configure your Stripe payment gateway settings,Configure as opções do gateway de pagamento Stripe
Configure your store information,Configure as informações da sua loja
"Conflicts with ${plan1}, ${plan2}","Conflita com ${plan1}, ${plan2}"
Conflicts with ${plan},Conflita com ${plan}
Conflicts with ${plan} +${count},Conflita com ${plan} +${count}
Conflicts with:,Conflita com:
Content,Conteúdo
Continue a saved rollout plan,Continuar um plano de implantação salvo
Continue your draft,Continuar seu rascunho
Core Shipping,Envio Core
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,O Core ainda não está anexado a nenhuma zona. Anexe-o primeiro em Configurações → Envio.
Cost,Custo
Cost is required,O custo é obrigatório
