Welcome Back!,மீண்டும் வரவேற்கிறோம்!
Cannot apply coupon: cart not initialized,கூப்பனைப் பயன்படுத்த முடியவில்லை: கார்ட் தொடங்கப்படவில்லை
Cannot remove coupon: cart not initialized,கூப்பனை நீக்க முடியவில்லை: கார்ட் தொடங்கப்படவில்லை
Carrier,கேரியர்
Carrier is required,கேரியர் தேவை
Cart ID is required to checkout,செக்அவுட் செய்ய கார்ட் ID தேவை
Cart is not initialized,கார்ட் தொடங்கப்படவில்லை
Catalog,பட்டியல்
Categories,வகைகள்
Category,வகை
Charcoal,கரி நிறம்
Checkout success,செக்அவுட் வெற்றி
Choose Product SKU,தயாரிப்பு SKU-ஐத் தேர்ந்தெடுக்கவும்
Choose SKU,SKU-ஐத் தேர்ந்தெடுக்கவும்
Clear All,அனைத்தையும் அழி
Clear Filters,வடிப்பான்களை அழி
Clear all,அனைத்தையும் அழி
Clear categories,வகைகளை அழி
Close fullscreen view,முழுத்திரைக் காட்சியை மூடு
Code,குறியீடு
Collections,தொகுப்புகள்
Comma-separated; renders the value as a dropdown.,கமாவால் பிரிக்கப்பட்டது; மதிப்பை கீழ்தோன்றலாகக் காட்டுகிறது.
Completed,முடிக்கப்பட்டது
Configurable,உள்ளமைக்கக்கூடியது
Configure tax classes and tax rates,வரி வகுப்புகள் மற்றும் வரி விகிதங்களை உள்ளமைக்கவும்
Confirm,உறுதிப்படுத்து
Contact for pricing,விலைக்காகத் தொடர்பு கொள்ளவும்
Conveniently pay with cash at your doorstep when your order is delivered.,உங்கள் ஆர்டர் வழங்கப்படும்போது உங்கள் வீட்டு வாசலிலேயே பணமாக வசதியாக செலுத்தலாம்.
Coupon applied successfully!,கூப்பன் வெற்றிகரமாக பயன்படுத்தப்பட்டது!
Coupon code is required,கூப்பன் குறியீடு தேவை
Coupon does not match,கூப்பன் பொருந்தவில்லை
Coupon removed successfully!,கூப்பன் வெற்றிகரமாக நீக்கப்பட்டது!
Cream,கிரீம் நிறம்
Create,உருவாக்கு
Create a new attribute,புதிய பண்புக்கூறை உருவாக்கு
Create a new group,புதிய குழுவை உருவாக்கு
Create a new package,புதிய பேக்கேஜை உருவாக்கு
Create shipment,ஷிப்மென்ட்டை உருவாக்கு
Created,உருவாக்கப்பட்டது
Custom URL,தனிப்பயன் URL
Custom field created,தனிப்பயன் புலம் உருவாக்கப்பட்டது
Custom field updated,தனிப்பயன் புலம் புதுப்பிக்கப்பட்டது
Custom fields,தனிப்பயன் புலங்கள்
Custom fields (JSON),தனிப்பயன் புலங்கள் (JSON)
Custom fields saved,தனிப்பயன் புலங்கள் சேமிக்கப்பட்டன
Customer Information,வாடிக்கையாளர் தகவல்
Customer does not have any order yet.,வாடிக்கையாளருக்கு இன்னும் எந்த ஆர்டரும் இல்லை.
Customer notes,வாடிக்கையாளர் குறிப்புகள்
Daily,தினசரி
Date and time must be after ${min},தேதி மற்றும் நேரம் ${min}க்குப் பிறகு இருக்க வேண்டும்
Date and time must be before ${max},தேதி மற்றும் நேரம் ${max}க்கு முன் இருக்க வேண்டும்
Date must be after ${min},தேதி ${min}க்குப் பிறகு இருக்க வேண்டும்
Date must be before ${max},தேதி ${max}க்கு முன் இருக்க வேண்டும்
Delete ${count} coupons,${count} கூப்பன்களை நீக்கு
Delete ${count} products,${count} தயாரிப்புகளை நீக்கு
Delete address API not available,முகவரியை நீக்கும் API கிடைக்கவில்லை
Delivered,வழங்கப்பட்டது
Description,விளக்கம்
Disable,முடக்கு
Disable ${count} coupons,${count} கூப்பன்களை முடக்கு
Disable ${count} customers,${count} வாடிக்கையாளர்களை முடக்கு
Disable ${count} products,${count} தயாரிப்புகளை முடக்கு
Disabled,முடக்கப்பட்டது
Discount percent,தள்ளுபடி சதவீதம்
Discount percent is required,தள்ளுபடி சதவீதம் தேவை
Display on Frontend?,முன்பக்கத்தில் காண்பிக்கவா?
Displays the mobile sidebar.,மொபைல் பக்கப்பட்டியைக் காண்பிக்கிறது.
Done,முடிந்தது
Drag to reorder,மறுவரிசைப்படுத்த இழுக்கவும்
Duplicate,நகலெடு
Edit custom field,தனிப்பயன் புலத்தைத் திருத்து
Edit field settings,புல அமைப்புகளைத் திருத்து
Edit package,தொகுப்பைத் திருத்து
Edit tracking info,கண்காணிப்புத் தகவலைத் திருத்து
Editing ${name},${name} திருத்தப்படுகிறது
Email a shipment confirmation,அனுப்புதல் உறுதிப்படுத்தலை மின்னஞ்சல் செய்
Email a shipment confirmation with tracking details,கண்காணிப்பு விவரங்களுடன் அனுப்புதல் உறுதிப்படுத்தலை மின்னஞ்சல் செய்
Email is required,மின்னஞ்சல் தேவை
Enable,இயக்கு
Enable ${count} coupons,${count} கூப்பன்களை இயக்கு
Enable ${count} customers,${count} வாடிக்கையாளர்களை இயக்கு
Enable ${count} products,${count} தயாரிப்புகளை இயக்கு
Enabled,இயக்கப்பட்டது
Enter attribute code,பண்புக்கூறுக் குறியீட்டை உள்ளிடவும்
Enter attribute name,பண்புக்கூறுப் பெயரை உள்ளிடவும்
Enter text,உரையை உள்ளிடவும்
Enter value for ${attribute},${attribute}க்கான மதிப்பை உள்ளிடவும்
Enter your email,உங்கள் மின்னஞ்சலை உள்ளிடவும்
Enter your new password,உங்கள் புதிய கடவுச்சொல்லை உள்ளிடவும்
Enter your password,உங்கள் கடவுச்சொல்லை உள்ளிடவும்
Error,பிழை
Failed to add address,முகவரியைச் சேர்க்க முடியவில்லை
Failed to add billing address,பில்லிங் முகவரியைச் சேர்க்க முடியவில்லை
Failed to add billing address.,பில்லிங் முகவரியைச் சேர்க்க முடியவில்லை.
Failed to add contact info,தொடர்புத் தகவலைச் சேர்க்க முடியவில்லை
Failed to add contact info.,தொடர்புத் தகவலைச் சேர்க்க முடியவில்லை.
Failed to add item to cart,வண்டியில் பொருளைச் சேர்க்க முடியவில்லை
Failed to add payment method,கட்டண முறையைச் சேர்க்க முடியவில்லை
Failed to add payment method.,கட்டண முறையைச் சேர்க்க முடியவில்லை.
Failed to add product to cart,வண்டியில் தயாரிப்பைச் சேர்க்க முடியவில்லை
Failed to add shipping address,அனுப்புதல் முகவரியைச் சேர்க்க முடியவில்லை
Failed to add shipping address.,அனுப்புதல் முகவரியைச் சேர்க்க முடியவில்லை.
Failed to add shipping method,அனுப்புதல் முறையைச் சேர்க்க முடியவில்லை
Failed to add shipping method.,அனுப்புதல் முறையைச் சேர்க்க முடியவில்லை.
Failed to apply coupon,கூப்பனைப் பயன்படுத்த முடியவில்லை
Failed to cancel shipment,அனுப்புதலை ரத்து செய்ய முடியவில்லை
Failed to checkout,செக்அவுட் செய்ய முடியவில்லை
Failed to create field,புலத்தை உருவாக்க முடியவில்லை
Failed to create shipment,அனுப்புதலை உருவாக்க முடியவில்லை
Failed to delete address,முகவரியை நீக்க முடியவில்லை
Failed to load custom fields,தனிப்பயன் புலங்களை ஏற்ற முடியவில்லை
Failed to mark delivered,வழங்கப்பட்டதாக குறிக்க முடியவில்லை
Failed to place order,ஆர்டர் செய்ய முடியவில்லை
Failed to place order. Please try again.,ஆர்டர் செய்ய முடியவில்லை. மீண்டும் முயற்சிக்கவும்.
Failed to remove coupon,கூப்பனை அகற்ற முடியவில்லை
Failed to remove coupon.,கூப்பனை அகற்ற முடியவில்லை.
Failed to save custom fields,தனிப்பயன் புலங்களைச் சேமிக்க முடியவில்லை
Failed to set shipping method,அனுப்புதல் முறையை அமைக்க முடியவில்லை
Failed to set shipping note,அனுப்புதல் குறிப்பை அமைக்க முடியவில்லை
Failed to update address,முகவரியைப் புதுப்பிக்க முடியவில்லை
Failed to update field,புலத்தைப் புதுப்பிக்க முடியவில்லை
Failed to update shipment,அனுப்புதலைப் புதுப்பிக்க முடியவில்லை
Failed to update tracking info,கண்காணிப்புத் தகவலைப் புதுப்பிக்க முடியவில்லை
Failed to void label,லேபிளை ரத்து செய்ய முடியவில்லை
Failed!,தோல்வியடைந்தது!
Fields applicable to this entity type. Adding a field applies it to all entities of this type.,இந்த என்டிட்டி வகைக்குப் பொருந்தும் புலங்கள். ஒரு புலத்தைச் சேர்த்தால் அது இந்த வகையின் அனைத்து என்டிட்டிகளுக்கும் பொருந்தும்.
File size must be less than ${maxSize},கோப்பு அளவு ${maxSize}க்குக் குறைவாக இருக்க வேண்டும்
Filter Products,தயாரிப்புகளை வடிகட்டு
Filters,வடிப்பான்கள்
First,முதல்
Free,இலவசம்
Free shipping,இலவச அனுப்புதல்
Free shipping ?,இலவச அனுப்புதலா?
Fulfill ${count} orders,${count} ஆர்டர்களை நிறைவேற்று
Full Name is required,முழுப் பெயர் தேவை
Fully shipped,முழுமையாக அனுப்பப்பட்டது
General,பொது
Get qty,பெறும் அளவு
Get qty is required,பெறும் அளவு தேவை
Ghost,கோஸ்ட்
Go,செல்
Go to Login,உள்நுழைவுக்குச் செல்
Go to next page,அடுத்த பக்கத்திற்குச் செல்
Go to previous page,முந்தைய பக்கத்திற்குச் செல்
Hello,வணக்கம்
Hide from storefront,ஸ்டோர்ஃபிரண்டிலிருந்து மறை
ID,ID
In Stock,கையிருப்பில் உள்ளது
Inactive,செயலற்றது
Inclusive of tax ${totalTaxAmount},வரி உட்பட ${totalTaxAmount}
Insert,செருகு
Invalid address,தவறான முகவரி
Invalid cart,தவறான வண்டி
Invalid cart id,தவறான வண்டி ID
Invalid coupon,தவறான கூப்பன்
Invalid customer,தவறான வாடிக்கையாளர்
Invalid customer id,தவறான வாடிக்கையாளர் ID
Invalid email or password,தவறான மின்னஞ்சல் அல்லது கடவுச்சொல்
Invalid format,தவறான வடிவம்
Invalid quantity,தவறான அளவு
Is Filterable?,வடிகட்டக்கூடியதா?
Is Required?,தேவையானதா?
Item,பொருள்
Items,பொருள்கள்
Items in this shipment will return to the order's unshipped pool. This action cannot be undone.,இந்த அனுப்புதலில் உள்ள பொருள்கள் ஆர்டரின் அனுப்பப்படாத தொகுப்புக்குத் திரும்பும். இந்தச் செயலை மீட்டெடுக்க முடியாது.
Key,கீ
Key is required,கீ தேவை
Label,லேபிள்
Label voided,லேபிள் ரத்து செய்யப்பட்டது
Language,மொழி
Last,கடைசி
Lifetime Sales,வாழ்நாள் விற்பனை
Light gray,வெளிர் சாம்பல்
Limit,வரம்பு
Link,இணைப்பு
Loading,ஏற்றுகிறது
Log in,உள்நுழை
Logging in...,உள்நுழைகிறது...
Logging out...,வெளியேறுகிறது...
Login failed,உள்நுழைவு தோல்வியடைந்தது
Logout failed,வெளியேறுதல் தோல்வியடைந்தது
Look like you just started. No bestsellers yet.,நீங்கள் இப்போதுதான் தொடங்கியதுபோல் தெரிகிறது. இன்னும் சிறந்த விற்பனையாளர்கள் இல்லை.
"Lowercase letters, digits, underscore. Immutable.","சிறிய எழுத்துகள், இலக்கங்கள், அடிக்கோடு. மாற்ற முடியாதது."
Manage the general information of the attribute.,பண்புக்கூறின் பொதுத் தகவலை நிர்வகிக்கவும்.
Manage the setting of the attribute.,பண்புக்கூறின் அமைப்பை நிர்வகிக்கவும்.
Mark as shipped,அனுப்பப்பட்டதாக குறி
Mark delivered,வழங்கப்பட்டதாக குறி
Mark shipment as delivered?,அனுப்புதலை வழங்கப்பட்டதாக குறிக்கவா?
Max length,அதிகபட்ச நீளம்
Max of Y,Y இன் அதிகபட்சம்
Max of Y is required,Y இன் அதிகபட்சம் தேவை
Max value,அதிகபட்ச மதிப்பு
Min length,குறைந்தபட்ச நீளம்
Min value,குறைந்தபட்ச மதிப்பு
Minimum quantity,குறைந்தபட்ச அளவு
Mint,புதினா
Monthly,மாதந்தோறும்
More,மேலும்
More pages,மேலும் பக்கங்கள்
Move down,கீழே நகர்த்து
Move up,மேலே நகர்த்து
Multiselect,பல தேர்வு
Must be at least ${n},குறைந்தபட்சம் ${n} ஆக இருக்க வேண்டும்
Must be at least ${n} characters,குறைந்தபட்சம் ${n} எழுத்துகள் இருக்க வேண்டும்
Must be at most ${n},அதிகபட்சம் ${n} ஆக இருக்க வேண்டும்
Must be at most ${n} characters,அதிகபட்சம் ${n} எழுத்துகள் இருக்க வேண்டும்
"Must start with a letter; lowercase letters, digits, underscore only","எழுத்துடன் தொடங்க வேண்டும்; சிறிய எழுத்துகள், இலக்கங்கள், அடிக்கோடு மட்டுமே"
Name is required,பெயர் தேவை
New Product,புதிய தயாரிப்பு
New Widget,புதிய விட்ஜெட்
New folder,புதிய கோப்புறை
Next,அடுத்து
Next slide,அடுத்த ஸ்லைடு
No,இல்லை
No address data received,முகவரித் தரவு எதுவும் பெறப்படவில்லை
"No attribute groups found for query ""${query}""","""${query}"" வினவலுக்கு பண்புக்கூறு குழுக்கள் எதுவும் கிடைக்கவில்லை"
No carriers registered,எந்த கேரியரும் பதிவு செய்யப்படவில்லை
"No categories found for ""${term}""","""${term}"" க்கு பிரிவுகள் எதுவும் கிடைக்கவில்லை"
"No categories found for query ""${query}""","""${query}"" வினவலுக்கு பிரிவுகள் எதுவும் கிடைக்கவில்லை"
"No collections found for query ""${query}""","""${query}"" வினவலுக்கு தொகுப்புகள் எதுவும் கிடைக்கவில்லை"
No coupon to remove,அகற்ற கூப்பன் எதுவும் இல்லை
No custom fields yet.,இதுவரை தனிப்பயன் புலங்கள் இல்லை.
No data available,தரவு எதுவும் இல்லை
No free shipping,இலவச அனுப்புதல் இல்லை
No limit,வரம்பு இல்லை
No maximum,அதிகபட்சம் இல்லை
No minimum,குறைந்தபட்சம் இல்லை
No notes from customer,வாடிக்கையாளரிடமிருந்து குறிப்புகள் இல்லை
"No options found for ""${code}""","""${code}"" க்கு விருப்பங்கள் எதுவும் கிடைக்கவில்லை"
"No products found for query ""${query}""","""${query}"" வினவலுக்கு தயாரிப்புகள் எதுவும் கிடைக்கவில்லை"
No shipments yet — your order is being prepared.,இதுவரை அனுப்புதல்கள் இல்லை — உங்கள் ஆர்டர் தயாரிக்கப்படுகிறது.
No shipping is required for this order,இந்த ஆர்டருக்கு அனுப்புதல் தேவையில்லை
No shipping methods available,அனுப்புதல் முறைகள் எதுவும் கிடைக்கவில்லை
No shipping options are available for your location,உங்கள் இடத்திற்கு அனுப்புதல் விருப்பங்கள் எதுவும் கிடைக்கவில்லை
No shipping required,அனுப்புதல் தேவையில்லை
No widgets match your search.,உங்கள் தேடலுக்கு பொருந்தும் விட்ஜெட்கள் இல்லை.
None,எதுவுமில்லை
Not set,அமைக்கப்படவில்லை
Not visible to customers,வாடிக்கையாளர்களுக்கு தெரியாது
Notify customer,வாடிக்கையாளருக்கு அறிவி
Open in new tab,புதிய தாவலில் திற
Operator,இயக்கி
Option text,விருப்ப உரை
Optional help text shown to admins.,நிர்வாகிகளுக்குக் காட்டப்படும் விருப்ப உதவி உரை.
Order Placed,ஆர்டர் வழங்கப்பட்டது
Order detail,ஆர்டர் விவரம்
Order must contain products matching all conditions below,ஆர்டர் கீழே உள்ள அனைத்து நிபந்தனைகளுக்கும் பொருந்தும் தயாரிப்புகளைக் கொண்டிருக்க வேண்டும்
Order not found,ஆர்டர் கிடைக்கவில்லை
Orders,ஆர்டர்கள்
Others,மற்றவை
Out of Stock,கையிருப்பில் இல்லை
Outline,வெளிக்கோடு
Overview of sales data over selected periods,தேர்ந்தெடுக்கப்பட்ட காலகட்டங்களில் விற்பனைத் தரவின் கண்ணோட்டம்
Overview of total sales and order status over the lifetime of your store,உங்கள் கடையின் காலம் முழுவதும் மொத்த விற்பனை மற்றும் ஆர்டர் நிலையின் கண்ணோட்டம்
Page,பக்கம்
Page ${currentPage} of ${totalPages},பக்கம் ${currentPage} / ${totalPages}
Page not found,பக்கம் கிடைக்கவில்லை
Password is required,கடவுச்சொல் தேவை
Password must be at least ${minLength} characters long,கடவுச்சொல் குறைந்தபட்சம் ${minLength} எழுத்துகள் நீளமாக இருக்க வேண்டும்
Paste a URL or a relative path starting with ,ஒரு URL அல்லது இதனுடன் தொடங்கும் தொடர்புப் பாதையை ஒட்டவும் 
Pattern (regex),முறை (regex)
Pay with PayPal,PayPal மூலம் செலுத்து
Pay with Stripe,Stripe மூலம் செலுத்து
Payment Status,கட்டண நிலை
Placing Order...,ஆர்டர் வழங்கப்படுகிறது...
Please enter a coupon code,கூப்பன் குறியீட்டை உள்ளிடவும்
Please enter a valid URL,சரியான URL ஐ உள்ளிடவும்
Please enter a valid email address,சரியான மின்னஞ்சல் முகவரியை உள்ளிடவும்
Please enter your email to receive a reset link,மீட்டமைப்பு இணைப்பைப் பெற உங்கள் மின்னஞ்சலை உள்ளிடவும்
Please provide billing address to proceed,தொடர பில்லிங் முகவரியை வழங்கவும்
Please select a payment method,ஒரு கட்டண முறையைத் தேர்ந்தெடுக்கவும்
Please select a shipping method,ஒரு அனுப்புதல் முறையைத் தேர்ந்தெடுக்கவும்
Please sign in to your account,உங்கள் கணக்கில் உள்நுழையவும்
Position,நிலை
Previous,முந்தைய
Previous slide,முந்தைய ஸ்லைடு
Price: ${value},விலை: ${value}
Primary,முதன்மை
Print Label,லேபிளை அச்சிடு
Processing Payment...,கட்டணம் செயலாக்கப்படுகிறது...
Product Description,தயாரிப்பு விளக்கம்
Product is out of stock,தயாரிப்பு கையிருப்பில் இல்லை
Product name is required,தயாரிப்பு பெயர் தேவை
Product not found,தயாரிப்பு கிடைக்கவில்லை
Product type,தயாரிப்பு வகை
Products,தயாரிப்புகள்
Reason for cancellation,ரத்து செய்வதற்கான காரணம்
Reason is required,காரணம் தேவை
Recently placed orders by this customer,இந்த வாடிக்கையாளரால் சமீபத்தில் வழங்கப்பட்ட ஆர்டர்கள்
Redirecting to PayPal...,PayPal க்கு திருப்பிவிடப்படுகிறது...
Reference type,குறிப்பு வகை
Registration failed,பதிவு தோல்வியடைந்தது
Remove item,உருப்படியை அகற்று
Remove sub-field,துணைப் புலத்தை அகற்று
Required,தேவை
Requires at least one item to create a cart,கார்ட் உருவாக்க குறைந்தபட்சம் ஒரு உருப்படி தேவை
Reset Password,கடவுச்சொல்லை மீட்டமை
Reset Your Password,உங்கள் கடவுச்சொல்லை மீட்டமைக்கவும்
Reset password,கடவுச்சொல்லை மீட்டமை
Reset your password,உங்கள் கடவுச்சொல்லை மீட்டமைக்கவும்
Root,மூலம்
SKU,SKU
SKU ${sku},SKU ${sku}
SKU must be unique,SKU தனித்துவமாக இருக்க வேண்டும்
SKU: ${sku},SKU: ${sku}
Sale Statistics,விற்பனை புள்ளிவிவரம்
Save custom fields,தனிப்பயன் புலங்களைச் சேமி
Save field,புலத்தைச் சேமி
Saved successfully!,வெற்றிகரமாக சேமிக்கப்பட்டது!
Search attribute groups,பண்புக்கூறு குழுக்களைத் தேடு
Search categories,பிரிவுகளைத் தேடு
Search collections,தொகுப்புகளைத் தேடு
"Search for products, orders, and other resources","தயாரிப்புகள், ஆர்டர்கள் மற்றும் பிற வளங்களைத் தேடு"
Search products,தயாரிப்புகளைத் தேடு
Search results for: ${keyword},தேடல் முடிவுகள்: ${keyword}
Search widgets…,விட்ஜெட்களைத் தேடு…
Searching...,தேடுகிறது...
Search…,தேடு…
See all orders →,அனைத்து ஆர்டர்களையும் பார் →
Select,தேர்ந்தெடு
Select a carrier,ஒரு கேரியரைத் தேர்ந்தெடு
Select at least one item to ship,அனுப்ப குறைந்தபட்சம் ஒரு உருப்படியைத் தேர்ந்தெடுக்கவும்
Select groups the attribute belongs to,பண்புக்கூறு சேர்ந்த குழுக்களைத் தேர்ந்தெடுக்கவும்
Select shipping method,அனுப்புதல் முறையைத் தேர்ந்தெடு
Select sort,வரிசையைத் தேர்ந்தெடு
"Select the items going in this shipment, then add the carrier & tracking.","இந்த அனுப்புதலில் செல்லும் உருப்படிகளைத் தேர்ந்தெடுத்து, பின்னர் கேரியர் & கண்காணிப்பைச் சேர்க்கவும்."
Setting,அமைப்பு
Settings,அமைப்புகள்
Shipment Status,அனுப்புதல் நிலை
Shipment canceled,அனுப்புதல் ரத்து செய்யப்பட்டது
Shipment created,அனுப்புதல் உருவாக்கப்பட்டது
Shipment marked delivered,அனுப்புதல் வழங்கப்பட்டதாகக் குறிக்கப்பட்டது
Shipments,அனுப்புதல்கள்
Shipped,அனுப்பப்பட்டது
Shipping (${method}),அனுப்புதல் (${method})
Shipping Setting,அனுப்புதல் அமைப்பு
Show,காட்டு
Show all ${count} options,அனைத்து ${count} விருப்பங்களையும் காட்டு
Show on storefront,கடைமுகப்பில் காட்டு
Showing ${showing} of ${total},${total} இல் ${showing} காட்டப்படுகிறது
Showing ${start}-${end} of ${total} results,${total} முடிவுகளில் ${start}-${end} காட்டப்படுகிறது
Sidebar,பக்கப்பட்டி
Sign in to view your orders,உங்கள் ஆர்டர்களைப் பார்க்க உள்நுழையவும்
Simple,எளிய
Sky,வானம்
Sold out,விற்றுத் தீர்ந்தது
Some error occurred. Please try again later.,ஏதோ பிழை ஏற்பட்டது. பிறகு மீண்டும் முயற்சிக்கவும்.
Some products are not available,சில தயாரிப்புகள் கிடைக்கவில்லை
Something went wrong! Please try again.,ஏதோ தவறு நடந்தது! மீண்டும் முயற்சிக்கவும்.
