Welcome Back!,Καλώς ήρθατε ξανά!
Add some items to get started,Προσθέστε μερικά προϊόντα για να ξεκινήσετε
Add sub-field,Προσθήκη υποπεδίου
Adding...,Προσθήκη...
Address has been deleted successfully!,Η διεύθυνση διαγράφηκε με επιτυχία!
Address has been saved successfully!,Η διεύθυνση αποθηκεύτηκε με επιτυχία!
Address has been updated successfully!,Η διεύθυνση ενημερώθηκε με επιτυχία!
Adds target=_blank rel=noopener noreferrer.,Προσθέτει target=_blank rel=noopener noreferrer.
All items fulfilled,Όλα τα στοιχεία ολοκληρώθηκαν
All orders,Όλες οι παραγγελίες
All your past orders,Όλες οι προηγούμενες παραγγελίες σας
Allow multiple,Επιτρέπονται πολλαπλά
An unexpected error occurred. Please try again.,Παρουσιάστηκε απροσδόκητο σφάλμα. Παρακαλούμε δοκιμάστε ξανά.
Apply Filters,Εφαρμογή φίλτρων
Are you sure you want to mark the selected orders as shipped?,Είστε βέβαιοι ότι θέλετε να επισημάνετε τις επιλεγμένες παραγγελίες ως απεσταλμένες;
Are you sure?,Είστε βέβαιοι;
Attribute Group,Ομάδα χαρακτηριστικών
Attribute code is used in API and must be unique,Ο κωδικός χαρακτηριστικού χρησιμοποιείται στο API και πρέπει να είναι μοναδικός
Attribute options,Επιλογές χαρακτηριστικού
Attributes,Χαρακτηριστικά
Available shipping methods will appear once you provide your address details,Οι διαθέσιμες μέθοδοι αποστολής θα εμφανιστούν μόλις δώσετε τα στοιχεία της διεύθυνσής σας
Best Sellers,Δημοφιλέστερα προϊόντα
Best customers,Καλύτεροι πελάτες
Billing address,Διεύθυνση χρέωσης
Black,Μαύρο
Buy qty,Ποσότητα αγοράς
Buy qty is required,Η ποσότητα αγοράς είναι υποχρεωτική
Can not process payment. Please try again later.,Δεν είναι δυνατή η επεξεργασία της πληρωμής. Παρακαλούμε δοκιμάστε ξανά αργότερα.
Can't be undone,Δεν μπορεί να αναιρεθεί
Cancel,Ακύρωση
Cancel Order,Ακύρωση παραγγελίας
Cancel shipment,Ακύρωση αποστολής
Cancel this shipment?,Ακύρωση αυτής της αποστολής;
Canceled,Ακυρώθηκε
Cancelled,Ακυρώθηκε
Cannot add billing address: cart not initialized,Δεν είναι δυνατή η προσθήκη διεύθυνσης χρέωσης: το καλάθι δεν έχει αρχικοποιηθεί
Cannot add contact info: cart not initialized,Δεν είναι δυνατή η προσθήκη στοιχείων επικοινωνίας: το καλάθι δεν έχει αρχικοποιηθεί
Cannot add payment method: cart not initialized,Δεν είναι δυνατή η προσθήκη μεθόδου πληρωμής: το καλάθι δεν έχει αρχικοποιηθεί
Cannot add shipping address: cart not initialized,Δεν είναι δυνατή η προσθήκη διεύθυνσης αποστολής: το καλάθι δεν έχει αρχικοποιηθεί
Cannot add shipping method: cart not initialized,Δεν είναι δυνατή η προσθήκη μεθόδου αποστολής: το καλάθι δεν έχει αρχικοποιηθεί
Cannot add shipping method: providerCode is required,Δεν είναι δυνατή η προσθήκη μεθόδου αποστολής: απαιτείται το providerCode
Cannot apply coupon: cart not initialized,Δεν είναι δυνατή η εφαρμογή κουπονιού: το καλάθι δεν έχει αρχικοποιηθεί
Cannot remove coupon: cart not initialized,Δεν είναι δυνατή η αφαίρεση κουπονιού: το καλάθι δεν έχει αρχικοποιηθεί
Carrier,Μεταφορέας
Carrier is required,Ο μεταφορέας είναι υποχρεωτικός
Cart ID is required to checkout,Απαιτείται το ID καλαθιού για την ολοκλήρωση της παραγγελίας
Cart is not initialized,Το καλάθι δεν έχει αρχικοποιηθεί
Catalog,Κατάλογος
Categories,Κατηγορίες
Category,Κατηγορία
Charcoal,Ανθρακί
Checkout success,Επιτυχής ολοκλήρωση παραγγελίας
Choose Product SKU,Επιλέξτε SKU προϊόντος
Choose SKU,Επιλέξτε SKU
Clear All,Καθαρισμός όλων
Clear Filters,Καθαρισμός φίλτρων
Clear all,Καθαρισμός όλων
Clear categories,Καθαρισμός κατηγοριών
Close fullscreen view,Κλείσιμο προβολής πλήρους οθόνης
Code,Κωδικός
Collections,Συλλογές
Comma-separated; renders the value as a dropdown.,Διαχωρισμένα με κόμμα· εμφανίζει την τιμή ως αναπτυσσόμενη λίστα.
Completed,Ολοκληρώθηκε
Configurable,Παραμετροποιήσιμο
Configure tax classes and tax rates,Διαμόρφωση κλάσεων φόρου και φορολογικών συντελεστών
Confirm,Επιβεβαίωση
Contact for pricing,Επικοινωνήστε για τιμή
Conveniently pay with cash at your doorstep when your order is delivered.,Πληρώστε με ευκολία τοις μετρητοίς στην πόρτα σας όταν παραδοθεί η παραγγελία σας.
Coupon applied successfully!,Το κουπόνι εφαρμόστηκε με επιτυχία!
Coupon code is required,Ο κωδικός κουπονιού είναι υποχρεωτικός
Coupon does not match,Το κουπόνι δεν ταιριάζει
Coupon removed successfully!,Το κουπόνι αφαιρέθηκε με επιτυχία!
Cream,Κρεμ
Create,Δημιουργία
Create a new attribute,Δημιουργία νέου χαρακτηριστικού
Create a new group,Δημιουργία νέας ομάδας
Create a new package,Δημιουργία νέου πακέτου
Create shipment,Δημιουργία αποστολής
Created,Δημιουργήθηκε
Custom URL,Προσαρμοσμένο URL
Custom field created,Το προσαρμοσμένο πεδίο δημιουργήθηκε
Custom field updated,Το προσαρμοσμένο πεδίο ενημερώθηκε
Custom fields,Προσαρμοσμένα πεδία
Custom fields (JSON),Προσαρμοσμένα πεδία (JSON)
Custom fields saved,Τα προσαρμοσμένα πεδία αποθηκεύτηκαν
Customer Information,Στοιχεία πελάτη
Customer does not have any order yet.,Ο πελάτης δεν έχει ακόμη καμία παραγγελία.
Customer notes,Σημειώσεις πελάτη
Daily,Ημερήσια
Date and time must be after ${min},Η ημερομηνία και η ώρα πρέπει να είναι μετά τις ${min}
Date and time must be before ${max},Η ημερομηνία και η ώρα πρέπει να είναι πριν από ${max}
Date must be after ${min},Η ημερομηνία πρέπει να είναι μετά από ${min}
Date must be before ${max},Η ημερομηνία πρέπει να είναι πριν από ${max}
Delete ${count} coupons,Διαγραφή ${count} κουπονιών
Delete ${count} products,Διαγραφή ${count} προϊόντων
Delete address API not available,Το API διαγραφής διεύθυνσης δεν είναι διαθέσιμο
Delivered,Παραδόθηκε
Description,Περιγραφή
Disable,Απενεργοποίηση
Disable ${count} coupons,Απενεργοποίηση ${count} κουπονιών
Disable ${count} customers,Απενεργοποίηση ${count} πελατών
Disable ${count} products,Απενεργοποίηση ${count} προϊόντων
Disabled,Απενεργοποιημένο
Discount percent,Ποσοστό έκπτωσης
Discount percent is required,Το ποσοστό έκπτωσης είναι υποχρεωτικό
Display on Frontend?,Εμφάνιση στο Frontend;
Displays the mobile sidebar.,Εμφανίζει την πλαϊνή μπάρα για κινητά.
Done,Ολοκληρώθηκε
Drag to reorder,Σύρετε για αναδιάταξη
Duplicate,Αντιγραφή
Edit custom field,Επεξεργασία προσαρμοσμένου πεδίου
Edit field settings,Επεξεργασία ρυθμίσεων πεδίου
Edit package,Επεξεργασία πακέτου
Edit tracking info,Επεξεργασία στοιχείων παρακολούθησης
Editing ${name},Επεξεργασία ${name}
Email a shipment confirmation,Αποστολή επιβεβαίωσης αποστολής μέσω email
Email a shipment confirmation with tracking details,Αποστολή επιβεβαίωσης αποστολής με στοιχεία παρακολούθησης μέσω email
Email is required,Το email είναι υποχρεωτικό
Enable,Ενεργοποίηση
Enable ${count} coupons,Ενεργοποίηση ${count} κουπονιών
Enable ${count} customers,Ενεργοποίηση ${count} πελατών
Enable ${count} products,Ενεργοποίηση ${count} προϊόντων
Enabled,Ενεργοποιημένο
Enter attribute code,Εισαγάγετε τον κωδικό χαρακτηριστικού
Enter attribute name,Εισαγάγετε το όνομα χαρακτηριστικού
Enter text,Εισαγάγετε κείμενο
Enter value for ${attribute},Εισαγάγετε τιμή για ${attribute}
Enter your email,Εισαγάγετε το email σας
Enter your new password,Εισαγάγετε τον νέο σας κωδικό πρόσβασης
Enter your password,Εισαγάγετε τον κωδικό πρόσβασής σας
Error,Σφάλμα
Failed to add address,Αποτυχία προσθήκης διεύθυνσης
Failed to add billing address,Αποτυχία προσθήκης διεύθυνσης χρέωσης
Failed to add billing address.,Αποτυχία προσθήκης διεύθυνσης χρέωσης.
Failed to add contact info,Αποτυχία προσθήκης στοιχείων επικοινωνίας
Failed to add contact info.,Αποτυχία προσθήκης στοιχείων επικοινωνίας.
Failed to add item to cart,Αποτυχία προσθήκης αντικειμένου στο καλάθι
Failed to add payment method,Αποτυχία προσθήκης μεθόδου πληρωμής
Failed to add payment method.,Αποτυχία προσθήκης μεθόδου πληρωμής.
Failed to add product to cart,Αποτυχία προσθήκης προϊόντος στο καλάθι
Failed to add shipping address,Αποτυχία προσθήκης διεύθυνσης αποστολής
Failed to add shipping address.,Αποτυχία προσθήκης διεύθυνσης αποστολής.
Failed to add shipping method,Αποτυχία προσθήκης μεθόδου αποστολής
Failed to add shipping method.,Αποτυχία προσθήκης μεθόδου αποστολής.
Failed to apply coupon,Αποτυχία εφαρμογής κουπονιού
Failed to cancel shipment,Αποτυχία ακύρωσης αποστολής
Failed to checkout,Αποτυχία ολοκλήρωσης αγοράς
Failed to create field,Αποτυχία δημιουργίας πεδίου
Failed to create shipment,Αποτυχία δημιουργίας αποστολής
Failed to delete address,Αποτυχία διαγραφής διεύθυνσης
Failed to load custom fields,Αποτυχία φόρτωσης προσαρμοσμένων πεδίων
Failed to mark delivered,Αποτυχία επισήμανσης ως παραδοθέν
Failed to place order,Αποτυχία υποβολής παραγγελίας
Failed to place order. Please try again.,Αποτυχία υποβολής παραγγελίας. Παρακαλώ δοκιμάστε ξανά.
Failed to remove coupon,Αποτυχία αφαίρεσης κουπονιού
Failed to remove coupon.,Αποτυχία αφαίρεσης κουπονιού.
Failed to save custom fields,Αποτυχία αποθήκευσης προσαρμοσμένων πεδίων
Failed to set shipping method,Αποτυχία ορισμού μεθόδου αποστολής
Failed to set shipping note,Αποτυχία ορισμού σημείωσης αποστολής
Failed to update address,Αποτυχία ενημέρωσης διεύθυνσης
Failed to update field,Αποτυχία ενημέρωσης πεδίου
Failed to update shipment,Αποτυχία ενημέρωσης αποστολής
Failed to update tracking info,Αποτυχία ενημέρωσης στοιχείων παρακολούθησης
Failed to void label,Αποτυχία ακύρωσης ετικέτας
Failed!,Απέτυχε!
Fields applicable to this entity type. Adding a field applies it to all entities of this type.,Πεδία που ισχύουν για αυτόν τον τύπο οντότητας. Η προσθήκη ενός πεδίου το εφαρμόζει σε όλες τις οντότητες αυτού του τύπου.
File size must be less than ${maxSize},Το μέγεθος του αρχείου πρέπει να είναι μικρότερο από ${maxSize}
Filter Products,Φιλτράρισμα προϊόντων
Filters,Φίλτρα
First,Πρώτο
Free,Δωρεάν
Free shipping,Δωρεάν αποστολή
Free shipping ?,Δωρεάν αποστολή;
Fulfill ${count} orders,Εκπλήρωση ${count} παραγγελιών
Full Name is required,Το ονοματεπώνυμο είναι υποχρεωτικό
Fully shipped,Πλήρως απεσταλμένο
General,Γενικά
Get qty,Λήψη ποσότητας
Get qty is required,Η λήψη ποσότητας είναι υποχρεωτική
Ghost,Διαφανές
Go,Μετάβαση
Go to Login,Μετάβαση στη σύνδεση
Go to next page,Μετάβαση στην επόμενη σελίδα
Go to previous page,Μετάβαση στην προηγούμενη σελίδα
Hello,Γεια σας
Hide from storefront,Απόκρυψη από το κατάστημα
ID,ID
In Stock,Σε απόθεμα
Inactive,Ανενεργό
Inclusive of tax ${totalTaxAmount},Συμπεριλαμβανομένου φόρου ${totalTaxAmount}
Insert,Εισαγωγή
Invalid address,Μη έγκυρη διεύθυνση
Invalid cart,Μη έγκυρο καλάθι
Invalid cart id,Μη έγκυρο αναγνωριστικό καλαθιού
Invalid coupon,Μη έγκυρο κουπόνι
Invalid customer,Μη έγκυρος πελάτης
Invalid customer id,Μη έγκυρο αναγνωριστικό πελάτη
Invalid email or password,Μη έγκυρο email ή κωδικός πρόσβασης
Invalid format,Μη έγκυρη μορφή
Invalid quantity,Μη έγκυρη ποσότητα
Is Filterable?,Φιλτράρεται;
Is Required?,Είναι υποχρεωτικό;
Item,Αντικείμενο
Items,Αντικείμενα
Items in this shipment will return to the order's unshipped pool. This action cannot be undone.,Τα αντικείμενα αυτής της αποστολής θα επιστρέψουν στη δεξαμενή μη απεσταλμένων της παραγγελίας. Αυτή η ενέργεια δεν μπορεί να αναιρεθεί.
Key,Κλειδί
Key is required,Το κλειδί είναι υποχρεωτικό
Label,Ετικέτα
Label voided,Η ετικέτα ακυρώθηκε
Language,Γλώσσα
Last,Τελευταίο
Lifetime Sales,Συνολικές πωλήσεις
Light gray,Ανοιχτό γκρι
Limit,Όριο
Link,Σύνδεσμος
Loading,Φόρτωση
Log in,Σύνδεση
Logging in...,Σύνδεση...
Logging out...,Αποσύνδεση...
Login failed,Η σύνδεση απέτυχε
Logout failed,Η αποσύνδεση απέτυχε
Look like you just started. No bestsellers yet.,Φαίνεται ότι μόλις ξεκινήσατε. Δεν υπάρχουν ακόμη ευπώλητα.
"Lowercase letters, digits, underscore. Immutable.","Πεζά γράμματα, ψηφία, κάτω παύλα. Αμετάβλητο."
Manage the general information of the attribute.,Διαχειριστείτε τις γενικές πληροφορίες του χαρακτηριστικού.
Manage the setting of the attribute.,Διαχειριστείτε τη ρύθμιση του χαρακτηριστικού.
Mark as shipped,Επισήμανση ως απεσταλμένο
Mark delivered,Επισήμανση ως παραδοθέν
Mark shipment as delivered?,Επισήμανση αποστολής ως παραδοθείσας;
Max length,Μέγιστο μήκος
Max of Y,Μέγιστο των Y
Max of Y is required,Το μέγιστο των Y είναι υποχρεωτικό
Max value,Μέγιστη τιμή
Min length,Ελάχιστο μήκος
Min value,Ελάχιστη τιμή
Minimum quantity,Ελάχιστη ποσότητα
Mint,Μέντα
Monthly,Μηνιαία
More,Περισσότερα
More pages,Περισσότερες σελίδες
Move down,Μετακίνηση κάτω
Move up,Μετακίνηση πάνω
Multiselect,Πολλαπλή επιλογή
Must be at least ${n},Πρέπει να είναι τουλάχιστον ${n}
Must be at least ${n} characters,Πρέπει να είναι τουλάχιστον ${n} χαρακτήρες
Must be at most ${n},Πρέπει να είναι το πολύ ${n}
Must be at most ${n} characters,Πρέπει να είναι το πολύ ${n} χαρακτήρες
"Must start with a letter; lowercase letters, digits, underscore only","Πρέπει να ξεκινά με γράμμα· μόνο πεζά γράμματα, ψηφία και κάτω παύλα"
Name is required,Το όνομα είναι υποχρεωτικό
New Product,Νέο προϊόν
New Widget,Νέο widget
New folder,Νέος φάκελος
Next,Επόμενο
Next slide,Επόμενη διαφάνεια
No,Όχι
No address data received,Δεν ελήφθησαν δεδομένα διεύθυνσης
"No attribute groups found for query ""${query}""","Δεν βρέθηκαν ομάδες χαρακτηριστικών για το ερώτημα ""${query}"""
No carriers registered,Δεν έχουν καταχωριστεί μεταφορείς
"No categories found for ""${term}""","Δεν βρέθηκαν κατηγορίες για ""${term}"""
"No categories found for query ""${query}""","Δεν βρέθηκαν κατηγορίες για το ερώτημα ""${query}"""
"No collections found for query ""${query}""","Δεν βρέθηκαν συλλογές για το ερώτημα ""${query}"""
No coupon to remove,Δεν υπάρχει κουπόνι προς αφαίρεση
No custom fields yet.,Δεν υπάρχουν ακόμη προσαρμοσμένα πεδία.
No data available,Δεν υπάρχουν διαθέσιμα δεδομένα
No free shipping,Χωρίς δωρεάν αποστολή
No limit,Χωρίς όριο
No maximum,Χωρίς μέγιστο
No minimum,Χωρίς ελάχιστο
No notes from customer,Δεν υπάρχουν σημειώσεις από τον πελάτη
"No options found for ""${code}""","Δεν βρέθηκαν επιλογές για ""${code}"""
"No products found for query ""${query}""","Δεν βρέθηκαν προϊόντα για το ερώτημα ""${query}"""
No shipments yet — your order is being prepared.,Δεν υπάρχουν ακόμη αποστολές — η παραγγελία σας ετοιμάζεται.
No shipping is required for this order,Δεν απαιτείται αποστολή για αυτή την παραγγελία
No shipping methods available,Δεν υπάρχουν διαθέσιμες μέθοδοι αποστολής
No shipping options are available for your location,Δεν υπάρχουν διαθέσιμες επιλογές αποστολής για την τοποθεσία σας
No shipping required,Δεν απαιτείται αποστολή
No widgets match your search.,Κανένα widget δεν ταιριάζει με την αναζήτησή σας.
None,Κανένα
Not set,Δεν έχει οριστεί
Not visible to customers,Μη ορατό στους πελάτες
Notify customer,Ειδοποίηση πελάτη
Open in new tab,Άνοιγμα σε νέα καρτέλα
Operator,Τελεστής
Option text,Κείμενο επιλογής
Optional help text shown to admins.,Προαιρετικό βοηθητικό κείμενο που εμφανίζεται στους διαχειριστές.
Order Placed,Η παραγγελία καταχωρήθηκε
Order detail,Λεπτομέρειες παραγγελίας
Order must contain products matching all conditions below,Η παραγγελία πρέπει να περιέχει προϊόντα που πληρούν όλες τις παρακάτω προϋποθέσεις
Order not found,Η παραγγελία δεν βρέθηκε
Orders,Παραγγελίες
Others,Άλλα
Out of Stock,Εξαντλημένο
Outline,Περίγραμμα
Overview of sales data over selected periods,Επισκόπηση δεδομένων πωλήσεων για τις επιλεγμένες περιόδους
Overview of total sales and order status over the lifetime of your store,Επισκόπηση συνολικών πωλήσεων και κατάστασης παραγγελιών σε όλη τη διάρκεια ζωής του καταστήματός σας
Page,Σελίδα
Page ${currentPage} of ${totalPages},Σελίδα ${currentPage} από ${totalPages}
Page not found,Η σελίδα δεν βρέθηκε
Password is required,Ο κωδικός πρόσβασης είναι υποχρεωτικός
Password must be at least ${minLength} characters long,Ο κωδικός πρόσβασης πρέπει να έχει τουλάχιστον ${minLength} χαρακτήρες
Paste a URL or a relative path starting with ,Επικολλήστε ένα URL ή μια σχετική διαδρομή που ξεκινά με 
Pattern (regex),Μοτίβο (regex)
Pay with PayPal,Πληρωμή με PayPal
Pay with Stripe,Πληρωμή με Stripe
Payment Status,Κατάσταση πληρωμής
Placing Order...,Καταχώριση παραγγελίας...
Please enter a coupon code,Παρακαλώ εισαγάγετε έναν κωδικό κουπονιού
Please enter a valid URL,Παρακαλώ εισαγάγετε ένα έγκυρο URL
Please enter a valid email address,Παρακαλώ εισαγάγετε μια έγκυρη διεύθυνση email
Please enter your email to receive a reset link,Παρακαλώ εισαγάγετε το email σας για να λάβετε έναν σύνδεσμο επαναφοράς
Please provide billing address to proceed,Παρακαλώ δώστε διεύθυνση χρέωσης για να συνεχίσετε
Please select a payment method,Παρακαλώ επιλέξτε μέθοδο πληρωμής
Please select a shipping method,Παρακαλώ επιλέξτε μέθοδο αποστολής
Please sign in to your account,Παρακαλώ συνδεθείτε στον λογαριασμό σας
Position,Θέση
Previous,Προηγούμενο
Previous slide,Προηγούμενη διαφάνεια
Price: ${value},Τιμή: ${value}
Primary,Κύριο
Print Label,Εκτύπωση ετικέτας
Processing Payment...,Επεξεργασία πληρωμής...
Product Description,Περιγραφή προϊόντος
Product is out of stock,Το προϊόν είναι εξαντλημένο
Product name is required,Το όνομα του προϊόντος είναι υποχρεωτικό
Product not found,Το προϊόν δεν βρέθηκε
Product type,Τύπος προϊόντος
Products,Προϊόντα
Reason for cancellation,Λόγος ακύρωσης
Reason is required,Ο λόγος είναι υποχρεωτικός
Recently placed orders by this customer,Πρόσφατες παραγγελίες αυτού του πελάτη
Redirecting to PayPal...,Ανακατεύθυνση στο PayPal...
Reference type,Τύπος αναφοράς
Registration failed,Η εγγραφή απέτυχε
Remove item,Αφαίρεση στοιχείου
Remove sub-field,Αφαίρεση υποπεδίου
Required,Υποχρεωτικό
Requires at least one item to create a cart,Απαιτείται τουλάχιστον ένα στοιχείο για τη δημιουργία καλαθιού
Reset Password,Επαναφορά κωδικού πρόσβασης
Reset Your Password,Επαναφορά του κωδικού πρόσβασής σας
Reset password,Επαναφορά κωδικού πρόσβασης
Reset your password,Επαναφορά του κωδικού πρόσβασής σας
Root,Ρίζα
SKU,SKU
SKU ${sku},SKU ${sku}
SKU must be unique,Το SKU πρέπει να είναι μοναδικό
SKU: ${sku},SKU: ${sku}
Sale Statistics,Στατιστικά πωλήσεων
Save custom fields,Αποθήκευση προσαρμοσμένων πεδίων
Save field,Αποθήκευση πεδίου
Saved successfully!,Αποθηκεύτηκε με επιτυχία!
Search attribute groups,Αναζήτηση ομάδων χαρακτηριστικών
Search categories,Αναζήτηση κατηγοριών
Search collections,Αναζήτηση συλλογών
"Search for products, orders, and other resources","Αναζήτηση προϊόντων, παραγγελιών και άλλων πόρων"
Search products,Αναζήτηση προϊόντων
Search results for: ${keyword},Αποτελέσματα αναζήτησης για: ${keyword}
Search widgets…,Αναζήτηση widgets…
Searching...,Αναζήτηση...
Search…,Αναζήτηση…
See all orders →,Δείτε όλες τις παραγγελίες →
Select,Επιλογή
Select a carrier,Επιλέξτε μεταφορέα
Select at least one item to ship,Επιλέξτε τουλάχιστον ένα στοιχείο προς αποστολή
Select groups the attribute belongs to,Επιλέξτε τις ομάδες στις οποίες ανήκει το χαρακτηριστικό
Select shipping method,Επιλέξτε μέθοδο αποστολής
Select sort,Επιλέξτε ταξινόμηση
"Select the items going in this shipment, then add the carrier & tracking.",Επιλέξτε τα στοιχεία που θα συμπεριληφθούν σε αυτή την αποστολή και έπειτα προσθέστε τον μεταφορέα και τον αριθμό παρακολούθησης.
Setting,Ρύθμιση
Settings,Ρυθμίσεις
Shipment Status,Κατάσταση αποστολής
Shipment canceled,Η αποστολή ακυρώθηκε
Shipment created,Η αποστολή δημιουργήθηκε
Shipment marked delivered,Η αποστολή σημειώθηκε ως παραδοθείσα
Shipments,Αποστολές
Shipped,Απεστάλη
Shipping (${method}),Αποστολή (${method})
Shipping Setting,Ρύθμιση αποστολής
Show,Εμφάνιση
Show all ${count} options,Εμφάνιση όλων των ${count} επιλογών
Show on storefront,Εμφάνιση στο κατάστημα
Showing ${showing} of ${total},Εμφάνιση ${showing} από ${total}
Showing ${start}-${end} of ${total} results,Εμφάνιση ${start}-${end} από ${total} αποτελέσματα
Sidebar,Πλαϊνή μπάρα
Sign in to view your orders,Συνδεθείτε για να δείτε τις παραγγελίες σας
Simple,Απλό
Sky,Γαλάζιο
Sold out,Εξαντλήθηκε
Some error occurred. Please try again later.,Παρουσιάστηκε κάποιο σφάλμα. Παρακαλώ δοκιμάστε ξανά αργότερα.
Some products are not available,Ορισμένα προϊόντα δεν είναι διαθέσιμα
Something went wrong! Please try again.,Κάτι πήγε στραβά! Παρακαλώ δοκιμάστε ξανά.
Something went wrong. Please try again later.,Κάτι πήγε στραβά. Παρακαλώ δοκιμάστε ξανά αργότερα.
Something wrong. Please try again,Κάτι πήγε στραβά. Δοκιμάστε ξανά
Sort Order,Σειρά ταξινόμησης
Sort order,Σειρά ταξινόμησης
Status,Κατάσταση
Stock,Απόθεμα
Stripe is not loaded. Please try again.,Το Stripe δεν φορτώθηκε. Δοκιμάστε ξανά.
Style,Στυλ
Sub-fields,Υποπεδία
Submit Cancellation,Υποβολή ακύρωσης
Successfully logged in,Επιτυχής σύνδεση
Successfully logged out,Επιτυχής αποσύνδεση
Tax Setting,Ρύθμιση φόρου
Test failure,Αποτυχία δοκιμής
Test failure:,Αποτυχία δοκιμής:
Test success,Επιτυχία δοκιμής
Test success:,Επιτυχία δοκιμής:
Text,Κείμενο
Textarea,Περιοχή κειμένου
The carrier will mark the tracking number as invalid. You will need to purchase a new label if you still intend to ship.,Ο μεταφορέας θα επισημάνει τον αριθμό παρακολούθησης ως άκυρο. Θα χρειαστεί να αγοράσετε νέα ετικέτα αν εξακολουθείτε να σκοπεύετε να αποστείλετε.
The customer will receive a delivery confirmation email.,Ο πελάτης θα λάβει email επιβεβαίωσης παράδοσης.
There is no category,Δεν υπάρχει κατηγορία
There is no file to display.,Δεν υπάρχει αρχείο για εμφάνιση.
There is no sub folder.,Δεν υπάρχει υποφάκελος.
There was an error:,Παρουσιάστηκε σφάλμα:
This tracking link has expired,Αυτός ο σύνδεσμος παρακολούθησης έχει λήξει
This tracking link is no longer valid,Αυτός ο σύνδεσμος παρακολούθησης δεν ισχύει πλέον
Thumbnail,Μικρογραφία
Time must be after ${min},Η ώρα πρέπει να είναι μετά τις ${min}
Time must be before ${max},Η ώρα πρέπει να είναι πριν τις ${max}
Toggle Sidebar,Εναλλαγή πλαϊνής μπάρας
Token is invalid or expired,Το token είναι άκυρο ή έχει λήξει
Too many items requested,Ζητήθηκαν πάρα πολλά στοιχεία
Track,Παρακολούθηση
Track shipment →,Παρακολούθηση αποστολής →
Track your order,Παρακολουθήστε την παραγγελία σας
Tracking info updated,Οι πληροφορίες παρακολούθησης ενημερώθηκαν
Tracking link,Σύνδεσμος παρακολούθησης
Tracking links are good for a limited time. Sign in to your account to see the current status of your order.,Οι σύνδεσμοι παρακολούθησης ισχύουν για περιορισμένο χρόνο. Συνδεθείτε στον λογαριασμό σας για να δείτε την τρέχουσα κατάσταση της παραγγελίας σας.
