${count} orders,${count} đơn hàng
Customer does not have any order yet.,Khách hàng chưa có đơn hàng nào.
Customer notes,Ghi chú khách hàng
Daily,Hàng ngày
Date and time must be after ${min},Ngày giờ phải sau ${min}
Date and time must be before ${max},Ngày giờ phải trước ${max}
Date must be after ${min},Ngày phải sau ${min}
Date must be before ${max},Ngày phải trước ${max}
Delete ${count} coupons,Xóa ${count} mã giảm giá
Delete ${count} products,Xóa ${count} sản phẩm
Delete address API not available,API xóa địa chỉ không khả dụng
Delivered,Đã giao
Description,Mô tả
Disable,Tắt
Disable ${count} coupons,Tắt ${count} mã giảm giá
Disable ${count} customers,Tắt ${count} khách hàng
Disable ${count} products,Tắt ${count} sản phẩm
Disabled,Đã tắt
Discount percent,Phần trăm giảm
Discount percent is required,Phần trăm giảm là bắt buộc
Display on Frontend?,Hiển thị trên trang?
Displays the mobile sidebar.,Hiện thanh bên di động.
Done,Xong
Drag to reorder,Kéo để sắp xếp
Duplicate,Nhân bản
Edit custom field,Sửa trường tùy chỉnh
Edit field settings,Sửa cài đặt trường
Edit package,Sửa gói hàng
Edit tracking info,Sửa thông tin theo dõi
Editing ${name},Đang sửa ${name}
Email a shipment confirmation,Gửi email xác nhận giao hàng
Email a shipment confirmation with tracking details,Gửi email xác nhận giao hàng kèm thông tin theo dõi
Email is required,Email là bắt buộc
Enable,Bật
Enable ${count} coupons,Bật ${count} mã giảm giá
Enable ${count} customers,Bật ${count} khách hàng
Enable ${count} products,Bật ${count} sản phẩm
Enabled,Đã bật
Enter attribute code,Nhập mã thuộc tính
Enter attribute name,Nhập tên thuộc tính
Enter text,Nhập văn bản
Enter value for ${attribute},Nhập giá trị cho ${attribute}
Enter your email,Nhập email của bạn
Enter your new password,Nhập mật khẩu mới
Enter your password,Nhập mật khẩu của bạn
Error,Lỗi
Failed to add address,Thêm địa chỉ thất bại
Failed to add billing address,Thêm địa chỉ thanh toán thất bại
Failed to add billing address.,Thêm địa chỉ thanh toán thất bại.
Failed to add contact info,Thêm thông tin liên hệ thất bại
Failed to add contact info.,Thêm thông tin liên hệ thất bại.
Failed to add item to cart,Thêm vào giỏ hàng thất bại
Failed to add payment method,Thêm phương thức thanh toán thất bại
Failed to add payment method.,Thêm phương thức thanh toán thất bại.
Failed to add product to cart,Thêm sản phẩm vào giỏ thất bại
Failed to add shipping address,Thêm địa chỉ giao hàng thất bại
Failed to add shipping address.,Thêm địa chỉ giao hàng thất bại.
Failed to add shipping method,Thêm phương thức giao hàng thất bại
Failed to add shipping method.,Thêm phương thức giao hàng thất bại.
Failed to apply coupon,Áp dụng mã giảm giá thất bại
Failed to cancel shipment,Hủy lô hàng thất bại
Failed to checkout,Thanh toán thất bại
Failed to create field,Tạo trường thất bại
Failed to create shipment,Tạo lô hàng thất bại
Failed to delete address,Xóa địa chỉ thất bại
Failed to load custom fields,Tải trường tùy chỉnh thất bại
Failed to mark delivered,Đánh dấu đã giao thất bại
Failed to place order,Đặt hàng thất bại
Failed to place order. Please try again.,Đặt hàng thất bại. Vui lòng thử lại.
Failed to remove coupon,Bỏ mã giảm giá thất bại
Failed to remove coupon.,Bỏ mã giảm giá thất bại.
Failed to save custom fields,Lưu trường tùy chỉnh thất bại
Failed to set shipping method,Đặt phương thức giao hàng thất bại
Failed to set shipping note,Đặt ghi chú giao hàng thất bại
Failed to update address,Cập nhật địa chỉ thất bại
Failed to update field,Cập nhật trường thất bại
Failed to update shipment,Cập nhật lô hàng thất bại
Failed to update tracking info,Cập nhật thông tin theo dõi thất bại
Failed to void label,Hủy nhãn thất bại
Failed!,Thất bại!
Fields applicable to this entity type. Adding a field applies it to all entities of this type.,Các trường áp dụng cho loại thực thể này. Thêm một trường sẽ áp dụng cho mọi thực thể cùng loại.
File size must be less than ${maxSize},Kích thước tệp phải nhỏ hơn ${maxSize}
Filter Products,Lọc sản phẩm
Filters,Bộ lọc
First,Đầu
Free,Miễn phí
Free shipping,Miễn phí giao hàng
Free shipping ?,Miễn phí giao hàng ?
Fulfill ${count} orders,Hoàn tất ${count} đơn hàng
Full Name is required,Họ tên là bắt buộc
Fully shipped,Đã giao hết
General,Chung
Get qty,SL nhận
Get qty is required,SL nhận là bắt buộc
Ghost,Ghost
Go,Đi
Go to Login,Đến Đăng nhập
Go to next page,Đến trang sau
Go to previous page,Đến trang trước
Hello,Xin chào
Hide from storefront,Ẩn khỏi cửa hàng
ID,ID
In Stock,Còn hàng
Inactive,Ngừng
Inclusive of tax ${totalTaxAmount},Đã gồm thuế ${totalTaxAmount}
Insert,Chèn
Invalid address,Địa chỉ không hợp lệ
Invalid cart,Giỏ hàng không hợp lệ
Invalid cart id,ID giỏ hàng không hợp lệ
Invalid coupon,Mã giảm giá không hợp lệ
Invalid customer,Khách hàng không hợp lệ
Invalid customer id,ID khách hàng không hợp lệ
Invalid email or password,Email hoặc mật khẩu sai
Invalid format,Định dạng không hợp lệ
Invalid quantity,Số lượng không hợp lệ
Is Filterable?,Có thể lọc?
Is Required?,Bắt buộc?
Item,Mục
Items,Mục
Items in this shipment will return to the order's unshipped pool. This action cannot be undone.,Các mục trong lô này sẽ về lại nhóm chưa giao của đơn. Không thể hoàn tác.
Key,Khóa
Key is required,Khóa là bắt buộc
Label,Nhãn
Label voided,Đã hủy nhãn
Language,Ngôn ngữ
Last,Cuối
Lifetime Sales,Doanh số trọn đời
Light gray,Xám nhạt
Limit,Giới hạn
Link,Liên kết
Loading,Đang tải
Log in,Đăng nhập
Logging in...,Đang đăng nhập...
Logging out...,Đang đăng xuất...
Login failed,Đăng nhập thất bại
Logout failed,Đăng xuất thất bại
Look like you just started. No bestsellers yet.,Có vẻ bạn mới bắt đầu. Chưa có sản phẩm bán chạy.
"Lowercase letters, digits, underscore. Immutable.","Chữ thường, số, gạch dưới. Bất biến."
Manage the general information of the attribute.,Quản lý thông tin chung của thuộc tính.
Manage the setting of the attribute.,Quản lý cài đặt của thuộc tính.
Mark as shipped,Đánh dấu đã giao
Mark delivered,Đánh dấu đã nhận
Mark shipment as delivered?,Đánh dấu lô đã nhận?
Max length,Độ dài tối đa
Max of Y,Tối đa Y
Max of Y is required,Tối đa Y là bắt buộc
Max value,Giá trị tối đa
Min length,Độ dài tối thiểu
Min value,Giá trị tối thiểu
Minimum quantity,Số lượng tối thiểu
Mint,Bạc hà
Monthly,Hàng tháng
More,Thêm
More pages,Thêm trang
Move down,Xuống
Move up,Lên
Multiselect,Chọn nhiều
Must be at least ${n},Phải tối thiểu ${n}
Must be at least ${n} characters,Phải tối thiểu ${n} ký tự
Must be at most ${n},Phải tối đa ${n}
Must be at most ${n} characters,Phải tối đa ${n} ký tự
"Must start with a letter; lowercase letters, digits, underscore only","Phải bắt đầu bằng chữ cái; chỉ chữ thường, số, gạch dưới"
Name is required,Tên là bắt buộc
New Product,Sản phẩm mới
New Widget,Widget mới
New folder,Thư mục mới
Next,Tiếp
Next slide,Slide kế
No,Không
No address data received,Không nhận được dữ liệu địa chỉ
"No attribute groups found for query ""${query}""","Không tìm thấy nhóm thuộc tính cho ""${query}"""
No carriers registered,Chưa có hãng vận chuyển
"No categories found for ""${term}""","Không tìm thấy danh mục cho ""${term}"""
"No categories found for query ""${query}""","Không tìm thấy danh mục cho ""${query}"""
"No collections found for query ""${query}""","Không tìm thấy bộ sưu tập cho ""${query}"""
No coupon to remove,Không có mã để bỏ
No custom fields yet.,Chưa có trường tùy chỉnh.
No data available,Không có dữ liệu
No free shipping,Không miễn phí giao hàng
No limit,Không giới hạn
No maximum,Không tối đa
No minimum,Không tối thiểu
No notes from customer,Không có ghi chú từ khách
"No options found for ""${code}""","Không tìm thấy tùy chọn cho ""${code}"""
"No products found for query ""${query}""","Không tìm thấy sản phẩm cho ""${query}"""
No shipments yet — your order is being prepared.,Chưa có lô hàng — đơn của bạn đang được chuẩn bị.
No shipping is required for this order,Đơn này không cần giao hàng
No shipping methods available,Không có phương thức giao hàng
No shipping options are available for your location,Không có tùy chọn giao hàng cho khu vực của bạn
No shipping required,Không cần giao hàng
No widgets match your search.,Không có widget khớp tìm kiếm.
None,Không có
Not set,Chưa đặt
Not visible to customers,Ẩn với khách hàng
Notify customer,Báo cho khách
Open in new tab,Mở tab mới
Operator,Toán tử
Option text,Nội dung tùy chọn
Optional help text shown to admins.,Văn bản trợ giúp tùy chọn hiển thị cho admin.
Order Placed,Đã đặt đơn
Order detail,Chi tiết đơn hàng
Order must contain products matching all conditions below,Đơn phải có sản phẩm khớp mọi điều kiện dưới đây
Order not found,Không tìm thấy đơn hàng
Orders,Đơn hàng
Others,Khác
Out of Stock,Hết hàng
Outline,Viền
Overview of sales data over selected periods,Tổng quan doanh số theo kỳ đã chọn
Overview of total sales and order status over the lifetime of your store,Tổng quan doanh số và trạng thái đơn trong suốt vòng đời cửa hàng
Page,Trang
Page ${currentPage} of ${totalPages},Trang ${currentPage} / ${totalPages}
Page not found,Không tìm thấy trang
Password is required,Mật khẩu là bắt buộc
Password must be at least ${minLength} characters long,Mật khẩu phải có ít nhất ${minLength} ký tự
Paste a URL or a relative path starting with ,Dán URL hoặc đường dẫn tương đối bắt đầu bằng 
Pattern (regex),Mẫu (regex)
Pay with PayPal,Thanh toán bằng PayPal
Pay with Stripe,Thanh toán bằng Stripe
Payment Status,Trạng thái thanh toán
Placing Order...,Đang đặt hàng...
Please enter a coupon code,Vui lòng nhập mã giảm giá
Please enter a valid URL,Vui lòng nhập URL hợp lệ
Please enter a valid email address,Vui lòng nhập email hợp lệ
Please enter your email to receive a reset link,Nhập email để nhận liên kết đặt lại
Please provide billing address to proceed,Vui lòng cung cấp địa chỉ thanh toán để tiếp tục
Please select a payment method,Vui lòng chọn phương thức thanh toán
Please select a shipping method,Vui lòng chọn phương thức giao hàng
Please sign in to your account,Vui lòng đăng nhập tài khoản
Position,Vị trí
Previous,Trước
Previous slide,Slide trước
Price: ${value},Giá: ${value}
Primary,Chính
Print Label,In nhãn
Processing Payment...,Đang xử lý thanh toán...
Product Description,Mô tả sản phẩm
Product is out of stock,Sản phẩm hết hàng
Product name is required,Tên sản phẩm là bắt buộc
Product not found,Không tìm thấy sản phẩm
Product type,Loại sản phẩm
Products,Sản phẩm
Reason for cancellation,Lý do hủy
Reason is required,Lý do là bắt buộc
Recently placed orders by this customer,Đơn hàng gần đây của khách này
Redirecting to PayPal...,Đang chuyển đến PayPal...
Reference type,Loại tham chiếu
Registration failed,Đăng ký thất bại
Remove item,Bỏ mục
Remove sub-field,Bỏ trường con
Required,Bắt buộc
Requires at least one item to create a cart,Cần ít nhất một mục để tạo giỏ hàng
Reset Password,Đặt lại mật khẩu
Reset Your Password,Đặt lại mật khẩu
Reset password,Đặt lại mật khẩu
Reset your password,Đặt lại mật khẩu
Root,Gốc
SKU,SKU
SKU ${sku},SKU ${sku}
SKU must be unique,SKU phải là duy nhất
SKU: ${sku},SKU: ${sku}
Sale Statistics,Thống kê bán hàng
Save custom fields,Lưu trường tùy chỉnh
Save field,Lưu trường
Saved successfully!,Đã lưu thành công!
Search attribute groups,Tìm nhóm thuộc tính
Search categories,Tìm danh mục
Search collections,Tìm bộ sưu tập
"Search for products, orders, and other resources","Tìm sản phẩm, đơn hàng và tài nguyên khác"
Search products,Tìm sản phẩm
Search results for: ${keyword},Kết quả tìm cho: ${keyword}
Search widgets…,Tìm widget…
Searching...,Đang tìm...
Search…,Tìm kiếm…
See all orders →,Xem tất cả đơn hàng →
Select,Chọn
Select a carrier,Chọn đơn vị vận chuyển
Select at least one item to ship,Chọn ít nhất một mục để giao
Select groups the attribute belongs to,Chọn nhóm chứa thuộc tính
Select shipping method,Chọn cách giao hàng
Select sort,Chọn sắp xếp
"Select the items going in this shipment, then add the carrier & tracking.","Chọn các mục trong lô giao này, rồi thêm đơn vị vận chuyển và mã theo dõi."
Setting,Cài đặt
Settings,Cài đặt
Shipment Status,Trạng thái giao hàng
Shipment canceled,Đã hủy giao hàng
Shipment created,Đã tạo giao hàng
Shipment marked delivered,Đã đánh dấu giao hàng thành công
Shipments,Giao hàng
Shipped,Đã giao
Shipping (${method}),Giao hàng (${method})
Shipping Setting,Cài đặt giao hàng
Show,Hiện
Show all ${count} options,Hiện tất cả ${count} tùy chọn
Show on storefront,Hiện trên cửa hàng
Showing ${showing} of ${total},Hiện ${showing} trên ${total}
Showing ${start}-${end} of ${total} results,Hiện ${start}-${end} trên ${total} kết quả
Sidebar,Thanh bên
Sign in to view your orders,Đăng nhập để xem đơn hàng
Simple,Đơn giản
Sky,Xanh da trời
Sold out,Hết hàng
Some error occurred. Please try again later.,Đã xảy ra lỗi. Vui lòng thử lại sau.
Some products are not available,Một số sản phẩm không khả dụng
Something went wrong! Please try again.,Đã xảy ra lỗi! Vui lòng thử lại.
Something went wrong. Please try again later.,Đã xảy ra lỗi. Vui lòng thử lại sau.
Something wrong. Please try again,Có lỗi. Vui lòng thử lại
Sort Order,Thứ tự sắp xếp
Sort order,Thứ tự sắp xếp
Status,Trạng thái
Stock,Tồn kho
Stripe is not loaded. Please try again.,Stripe chưa tải. Vui lòng thử lại.
Style,Kiểu
Sub-fields,Trường con
Submit Cancellation,Gửi yêu cầu hủy
Successfully logged in,Đăng nhập thành công
Successfully logged out,Đăng xuất thành công
Tax Setting,Cài đặt thuế
Test failure,Thử nghiệm thất bại
Test failure:,Thử nghiệm thất bại:
Test success,Thử nghiệm thành công
Test success:,Thử nghiệm thành công:
Text,Văn bản
Textarea,Vùng văn bản
The carrier will mark the tracking number as invalid. You will need to purchase a new label if you still intend to ship.,Đơn vị vận chuyển sẽ đánh dấu mã theo dõi không hợp lệ. Bạn cần mua nhãn mới nếu vẫn muốn giao hàng.
The customer will receive a delivery confirmation email.,Khách hàng sẽ nhận email xác nhận giao hàng.
There is no category,Không có danh mục
There is no file to display.,Không có tệp để hiển thị.
There is no sub folder.,Không có thư mục con.
There was an error:,Đã có lỗi:
This tracking link has expired,Liên kết theo dõi đã hết hạn
This tracking link is no longer valid,Liên kết theo dõi không còn hợp lệ
Thumbnail,Ảnh thu nhỏ
Time must be after ${min},Giờ phải sau ${min}
Time must be before ${max},Giờ phải trước ${max}
Toggle Sidebar,Bật/tắt thanh bên
Token is invalid or expired,Token không hợp lệ hoặc đã hết hạn
Too many items requested,Yêu cầu quá nhiều mục
Track,Theo dõi
Track shipment →,Theo dõi giao hàng →
Track your order,Theo dõi đơn hàng
Tracking info updated,Đã cập nhật thông tin theo dõi
Tracking link,Liên kết theo dõi
Tracking links are good for a limited time. Sign in to your account to see the current status of your order.,Liên kết theo dõi chỉ có hiệu lực trong thời gian giới hạn. Đăng nhập tài khoản để xem trạng thái hiện tại của đơn hàng.
Tracking number,Mã theo dõi
Type,Loại
Type / to see the available blocks,Gõ / để xem các khối có sẵn
UPDATE PASSWORD,CẬP NHẬT MẬT KHẨU
Update address API not available,API cập nhật địa chỉ không khả dụng
Update field,Cập nhật trường
Upload,Tải lên
Validation,Kiểm tra
Value,Giá trị
Value must be a whole number,Giá trị phải là số nguyên
Value must be at least ${min},Giá trị phải tối thiểu ${min}
Value must be at most ${max},Giá trị phải tối đa ${max}
View All Products,Xem tất cả sản phẩm
View JSON,Xem JSON
View all customers,Xem tất cả khách hàng
Visible to customer,Hiển thị cho khách hàng
Void Label,Hủy nhãn
Void label,Hủy nhãn
Void this shipping label?,Hủy nhãn giao hàng này?
"We could not find this order. It may have been removed, or it may belong to a different account.","Không tìm thấy đơn hàng này. Có thể đã bị xóa, hoặc thuộc về tài khoản khác."
"We could not verify this link. If you received it in an email from us, please try again from the most recent message, or sign in to your account.","Không thể xác minh liên kết này. Nếu bạn nhận được trong email từ chúng tôi, hãy thử lại từ tin nhắn mới nhất, hoặc đăng nhập tài khoản."
We have sent you an email with a link to reset your password. Please check your inbox.,Chúng tôi đã gửi email kèm liên kết đặt lại mật khẩu. Vui lòng kiểm tra hộp thư.
Weekly,Hàng tuần
Welcome to our store!,Chào mừng đến cửa hàng!
"Where you ship, shipping methods and delivery fee","Nơi giao, phương thức và phí giao hàng"
White,Trắng
Yes,Có
You are already logged in,Bạn đã đăng nhập
You are here:,Bạn đang ở:
You have no attribute groups to display,Không có nhóm thuộc tính để hiển thị
You have no categories to display,Không có danh mục để hiển thị
You have no collections to display,Không có bộ sưu tập để hiển thị
You have no products to display,Không có sản phẩm để hiển thị
You have not placed any orders yet.,Bạn chưa đặt đơn hàng nào.
You paid for,Bạn đã thanh toán cho
You will be redirected to PayPal for payment processing.,Bạn sẽ được chuyển đến PayPal để xử lý thanh toán.
Your Orders,Đơn hàng của bạn
Your order #${number} has been delivered,Đơn hàng #${number} đã được giao
Your order #${number} is on the way,Đơn hàng #${number} đang trên đường
Your order has been confirmed!,Đơn hàng đã được xác nhận!
Your password has been updated successfully.,Mật khẩu đã được cập nhật thành công.
across,trên
available to ship,sẵn sàng giao
breadcrumb,đường dẫn
e.g. Care instructions,vd. Hướng dẫn bảo quản
"e.g. New, Sale, Limited","vd. Mới, Giảm giá, Giới hạn"
e.g. Question,vd. Câu hỏi
e.g. care_instructions,vd. care_instructions
e.g. question,vd. question
item,mục
items,mục
left to ship,còn lại để giao
of,trên
of ${count},trên ${count}
unit,đơn vị
units,đơn vị
${count} changes published.,Đã xuất bản ${count} thay đổi.
${count} child widgets,${count} tiện ích con
${count} countries,${count} quốc gia
${count} items,${count} mục
${count} on ${route},${count} trên ${route}
${count} ops total,Tổng ${count} thao tác
${count} pending ops,${count} thao tác chờ
${count} pending ops on,${count} thao tác chờ trên
${count} routes,${count} tuyến
${direction} failed,${direction} thất bại
${method} — ${zone} rate,${method} — mức ${zone}
${method} — new rate,${method} — mức mới
${name} attached to ${zone},Đã gắn ${name} vào ${zone}
${name} configuration for ${zone},Cấu hình ${name} cho ${zone}
${name} configuration for this zone,Cấu hình ${name} cho khu vực này
${name} configuration saved for ${zone},Đã lưu cấu hình ${name} cho ${zone}
${name} detached,Đã gỡ ${name}
${name} is required,${name} là bắt buộc
${title} settings,Cài đặt ${title}
${total} changes will go live immediately.,${total} thay đổi sẽ áp dụng ngay.
${total} items,${total} mục
(envelope),(phong bì)
+ Add Line,+ Thêm dòng
+ Add Method,+ Thêm phương thức
+ Add Rate,+ Thêm mức
+ Add placement,+ Thêm vị trí
+ Attach Provider,+ Gắn nhà cung cấp
+ New package,+ Gói mới
+${count} more,+${count} nữa
", +${count} more",", +${count} nữa"
", last updated",", cập nhật lần cuối"
0 for flat envelopes,0 cho phong bì dẹt
1 change published.,Đã xuất bản 1 thay đổi.
1 change will go live immediately.,1 thay đổi sẽ áp dụng ngay.
1 child widget,1 tiện ích con
1 op total,Tổng 1 thao tác
1 pending op,1 thao tác chờ
1 pending op on,1 thao tác chờ trên
A package is required for shippable products,Sản phẩm giao hàng cần một gói
A rollout plan saves your current edits as a snapshot and applies them automatically during a scheduled window.,Kế hoạch triển khai lưu chỉnh sửa hiện tại thành bản chụp và tự áp dụng trong khung giờ đã hẹn.
Action,Hành động
Actions,Hành động
Add,Thêm
Add Products,Thêm sản phẩm
Add Rate,Thêm mức
Add Shipping Method,Thêm phương thức giao hàng
Add Tax Rate,Thêm mức thuế
Add Variant,Thêm biến thể
Add products to this category by selecting them from the list below.,Thêm sản phẩm vào danh mục này bằng cách chọn từ danh sách dưới.
Add rate,Thêm mức
Added,Đã thêm
Adding to Column ${number},Đang thêm vào Cột ${number}
Additional languages,Ngôn ngữ bổ sung
Admin panel language,Ngôn ngữ trang quản trị
Affects ${count} pages,Ảnh hưởng ${count} trang
Affects 1 page,Ảnh hưởng 1 trang
All pages,Tất cả trang
All registered providers are already attached to this zone.,Mọi nhà cung cấp đã đăng ký đều đã gắn vào khu vực này.
All routes,Tất cả tuyến
Also shown on ${routes},Còn hiển thị trên ${routes}
Also shown on ${routes} +${count},Còn hiển thị trên ${routes} +${count}
Amount must be greater than or equal to 0,Số tiền phải lớn hơn hoặc bằng 0
Amount must be less than or equal to ${value} ${currency},Số tiền phải nhỏ hơn hoặc bằng ${value} ${currency}
Apply a condition?,Áp dụng điều kiện?
Area,Vùng
Area is required,Vùng là bắt buộc
At least one country is required,Cần ít nhất một quốc gia
Attach,Gắn
Attach Provider to ${zone},Gắn nhà cung cấp vào ${zone}
Attached Providers,Nhà cung cấp đã gắn
Attribute Name,Tên thuộc tính
Attribute code is required,Mã thuộc tính là bắt buộc
Attribute created successfully!,Đã tạo thuộc tính!
Attribute group,Nhóm thuộc tính
Attribute name is required,Tên thuộc tính là bắt buộc
Authorize only,Chỉ ủy quyền
Auto-saves while you edit,Tự lưu khi bạn sửa
Back To Dashboard,Về bảng điều khiển
Base calculation address,Địa chỉ tính cơ sở
Based on cart subtotal,Theo tạm tính giỏ hàng
Based on cart weight,Theo cân nặng giỏ hàng
Basic configuration,Cấu hình cơ bản
Boolean,Boolean
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,Phương thức giao hàng tích hợp với mức theo khu vực. Hãy gắn Core vào một khu vực trong Cài đặt → Giao hàng trước; rồi thêm phương thức ở đây và cấu hình mức cho từng khu vực.
Buy X get Y,Mua X tặng Y
CMS,CMS
Calculation type,Loại tính
Can not change the attribute group of a product that is already in a variant group.,Không thể đổi nhóm thuộc tính của sản phẩm đã thuộc nhóm biến thể.
Cancel rollout,Hủy triển khai
Cancel rollout plan?,Hủy kế hoạch triển khai?
Canvas device width,Bề rộng thiết bị canvas
Capture,Thu tiền
Capture Payment,Thu tiền thanh toán
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,Gợi ý hãng vận chuyển cho xử lý đơn — không hiển thị khi thanh toán. NewShipmentDialog dùng nó để chọn sẵn hãng.
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,Mã dịch vụ riêng của hãng dùng khi mua nhãn (CreateLabelInput.serviceCode). Tự do — hãy kiểm tra mã chính xác trong tài liệu API của hãng. Để trống để hãng tự chọn dịch vụ mặc định.
Cash On Delivery Payment,Thanh toán khi nhận hàng
"Catalog, Search","Danh mục, Tìm kiếm"
Category Image,Hình ảnh danh mục
Category Name,Tên danh mục
Category created successfully!,Đã tạo danh mục!
Category name is required,Tên danh mục là bắt buộc
Change,Thay đổi
Choose Attribute Groups,Chọn nhóm thuộc tính
Choose Categories,Chọn danh mục
Choose Collections,Chọn bộ sưu tập
Choose SKUs,Chọn SKU
Choose how much of your unpublished work to discard. The published storefront is not affected.,Chọn lượng công việc chưa xuất bản cần bỏ. Cửa hàng đã xuất bản không bị ảnh hưởng.
Choose where you ship and how much you charge for shipping.,Chọn nơi bạn giao hàng và mức phí giao hàng.
Clear filter,Xóa bộ lọc
Clear filters,Xóa bộ lọc
Client ID,Client ID
Client Secret,Client Secret
