Welcome Back!,¡Bienvenido de nuevo!
Allow multiple,Permitir varios
An unexpected error occurred. Please try again.,Se produjo un error inesperado. Inténtalo de nuevo.
Apply Filters,Aplicar filtros
Are you sure you want to mark the selected orders as shipped?,¿Seguro que quieres marcar los pedidos seleccionados como enviados?
Are you sure?,¿Estás seguro?
Attribute Group,Grupo de atributos
Attribute code is used in API and must be unique,El código de atributo se usa en la API y debe ser único
Attribute options,Opciones de atributo
Attributes,Atributos
Available shipping methods will appear once you provide your address details,Los métodos de envío disponibles aparecerán cuando proporciones los datos de tu dirección
Best Sellers,Más vendidos
Best customers,Mejores clientes
Billing address,Dirección de facturación
Black,Negro
Buy qty,Cantidad de compra
Buy qty is required,La cantidad de compra es obligatoria
Can not process payment. Please try again later.,No se puede procesar el pago. Inténtalo de nuevo más tarde.
Can't be undone,No se puede deshacer
Cancel,Cancelar
Cancel Order,Cancelar pedido
Cancel shipment,Cancelar envío
Cancel this shipment?,¿Cancelar este envío?
Canceled,Cancelado
Cancelled,Cancelado
Cannot add billing address: cart not initialized,No se puede añadir la dirección de facturación: el carrito no está inicializado
Cannot add contact info: cart not initialized,No se puede añadir la información de contacto: el carrito no está inicializado
Cannot add payment method: cart not initialized,No se puede añadir el método de pago: el carrito no está inicializado
Cannot add shipping address: cart not initialized,No se puede añadir la dirección de envío: el carrito no está inicializado
Cannot add shipping method: cart not initialized,No se puede añadir el método de envío: el carrito no está inicializado
Cannot add shipping method: providerCode is required,No se puede añadir el método de envío: providerCode es obligatorio
Cannot apply coupon: cart not initialized,No se puede aplicar el cupón: el carrito no está inicializado
Cannot remove coupon: cart not initialized,No se puede eliminar el cupón: el carrito no está inicializado
Carrier,Transportista
Carrier is required,El transportista es obligatorio
Cart ID is required to checkout,El ID del carrito es obligatorio para finalizar la compra
Cart is not initialized,El carrito no está inicializado
Catalog,Catálogo
Categories,Categorías
Category,Categoría
Charcoal,Antracita
Checkout success,Compra finalizada con éxito
Choose Product SKU,Elegir SKU del producto
Choose SKU,Elegir SKU
Clear All,Borrar todo
Clear Filters,Borrar filtros
Clear all,Borrar todo
Clear categories,Borrar categorías
Close fullscreen view,Cerrar vista en pantalla completa
Code,Código
Collections,Colecciones
Comma-separated; renders the value as a dropdown.,Separados por comas; muestra el valor como una lista desplegable.
Completed,Completado
Configurable,Configurable
Configure tax classes and tax rates,Configura las clases de impuestos y las tasas de impuestos
Confirm,Confirmar
Contact for pricing,Consultar precio
Conveniently pay with cash at your doorstep when your order is delivered.,Paga cómodamente en efectivo en tu puerta cuando se entregue tu pedido.
Coupon applied successfully!,¡Cupón aplicado correctamente!
Coupon code is required,El código de cupón es obligatorio
Coupon does not match,El cupón no coincide
Coupon removed successfully!,¡Cupón eliminado correctamente!
Cream,Crema
Create,Crear
Create a new attribute,Crear un nuevo atributo
Create a new group,Crear un nuevo grupo
Create a new package,Crear un nuevo paquete
Create shipment,Crear envío
Created,Creado
Custom URL,URL personalizada
Custom field created,Campo personalizado creado
Custom field updated,Campo personalizado actualizado
Custom fields,Campos personalizados
Custom fields (JSON),Campos personalizados (JSON)
Custom fields saved,Campos personalizados guardados
Customer Information,Información del cliente
Customer does not have any order yet.,El cliente aún no tiene ningún pedido.
Customer notes,Notas del cliente
Daily,Diario
Date and time must be after ${min},La fecha y hora deben ser posteriores a ${min}
Date and time must be before ${max},La fecha y hora deben ser anteriores a ${max}
Date must be after ${min},La fecha debe ser posterior a ${min}
Date must be before ${max},La fecha debe ser anterior a ${max}
Delete ${count} coupons,Eliminar ${count} cupones
Delete ${count} products,Eliminar ${count} productos
Delete address API not available,La API para eliminar la dirección no está disponible
Delivered,Entregado
Description,Descripción
Disable,Deshabilitar
Disable ${count} coupons,Deshabilitar ${count} cupones
Disable ${count} customers,Deshabilitar ${count} clientes
Disable ${count} products,Deshabilitar ${count} productos
Disabled,Deshabilitado
Discount percent,Porcentaje de descuento
Discount percent is required,El porcentaje de descuento es obligatorio
Display on Frontend?,¿Mostrar en el frontend?
Displays the mobile sidebar.,Muestra la barra lateral móvil.
Done,Listo
Drag to reorder,Arrastra para reordenar
Duplicate,Duplicar
Edit custom field,Editar campo personalizado
Edit field settings,Editar ajustes del campo
Edit package,Editar paquete
Edit tracking info,Editar información de seguimiento
Editing ${name},Editando ${name}
Email a shipment confirmation,Enviar por correo una confirmación de envío
Email a shipment confirmation with tracking details,Enviar por correo una confirmación de envío con los detalles de seguimiento
Email is required,El correo electrónico es obligatorio
Enable,Habilitar
Enable ${count} coupons,Habilitar ${count} cupones
Enable ${count} customers,Habilitar ${count} clientes
Enable ${count} products,Habilitar ${count} productos
Enabled,Habilitado
Enter attribute code,Introduce el código del atributo
Enter attribute name,Introduce el nombre del atributo
Enter text,Introduce el texto
Enter value for ${attribute},Introduce el valor para ${attribute}
Enter your email,Introduce tu correo electrónico
Enter your new password,Introduce tu nueva contraseña
Enter your password,Introduce tu contraseña
Error,Error
Failed to add address,No se pudo añadir la dirección
Failed to add billing address,No se pudo añadir la dirección de facturación
Failed to add billing address.,No se pudo añadir la dirección de facturación.
Failed to add contact info,No se pudo añadir la información de contacto
Failed to add contact info.,No se pudo añadir la información de contacto.
Failed to add item to cart,No se pudo añadir el artículo al carrito
Failed to add payment method,No se pudo añadir el método de pago
Failed to add payment method.,No se pudo añadir el método de pago.
Failed to add product to cart,No se pudo añadir el producto al carrito
Failed to add shipping address,No se pudo añadir la dirección de envío
Failed to add shipping address.,No se pudo añadir la dirección de envío.
Failed to add shipping method,No se pudo añadir el método de envío
Failed to add shipping method.,No se pudo añadir el método de envío.
Failed to apply coupon,No se pudo aplicar el cupón
Failed to cancel shipment,No se pudo cancelar el envío
Failed to checkout,No se pudo finalizar la compra
Failed to create field,No se pudo crear el campo
Failed to create shipment,No se pudo crear el envío
Failed to delete address,No se pudo eliminar la dirección
Failed to load custom fields,No se pudieron cargar los campos personalizados
Failed to mark delivered,No se pudo marcar como entregado
Failed to place order,No se pudo realizar el pedido
Failed to place order. Please try again.,No se pudo realizar el pedido. Inténtalo de nuevo.
Failed to remove coupon,No se pudo eliminar el cupón
Failed to remove coupon.,No se pudo eliminar el cupón.
Failed to save custom fields,No se pudieron guardar los campos personalizados
Failed to set shipping method,No se pudo establecer el método de envío
Failed to set shipping note,No se pudo establecer la nota de envío
Failed to update address,No se pudo actualizar la dirección
Failed to update field,No se pudo actualizar el campo
Failed to update shipment,No se pudo actualizar el envío
Failed to update tracking info,No se pudo actualizar la información de seguimiento
Failed to void label,No se pudo anular la etiqueta
Failed!,¡Error!
Fields applicable to this entity type. Adding a field applies it to all entities of this type.,"Campos aplicables a este tipo de entidad. Al añadir un campo, se aplica a todas las entidades de este tipo."
File size must be less than ${maxSize},El tamaño del archivo debe ser menor que ${maxSize}
Filter Products,Filtrar productos
Filters,Filtros
First,Primero
Free,Gratis
Free shipping,Envío gratis
Free shipping ?,¿Envío gratis?
Fulfill ${count} orders,Cumplir ${count} pedidos
Full Name is required,El nombre completo es obligatorio
Fully shipped,Enviado por completo
General,General
Get qty,Cantidad a recibir
Get qty is required,La cantidad a recibir es obligatoria
Ghost,Fantasma
Go,Ir
Go to Login,Ir a Iniciar sesión
Go to next page,Ir a la página siguiente
Go to previous page,Ir a la página anterior
Hello,Hola
Hide from storefront,Ocultar de la tienda
ID,ID
In Stock,En existencia
Inactive,Inactivo
Inclusive of tax ${totalTaxAmount},Impuestos incluidos ${totalTaxAmount}
Insert,Insertar
Invalid address,Dirección no válida
Invalid cart,Carrito no válido
Invalid cart id,ID de carrito no válido
Invalid coupon,Cupón no válido
Invalid customer,Cliente no válido
Invalid customer id,ID de cliente no válido
Invalid email or password,Correo electrónico o contraseña no válidos
Invalid format,Formato no válido
Invalid quantity,Cantidad no válida
Is Filterable?,¿Es filtrable?
Is Required?,¿Es obligatorio?
Item,Artículo
Items,Artículos
Items in this shipment will return to the order's unshipped pool. This action cannot be undone.,Los artículos de este envío volverán al conjunto de artículos no enviados del pedido. Esta acción no se puede deshacer.
Key,Clave
Key is required,La clave es obligatoria
Label,Etiqueta
Label voided,Etiqueta anulada
Language,Idioma
Last,Último
Lifetime Sales,Ventas totales
Light gray,Gris claro
Limit,Límite
Link,Enlace
Loading,Cargando
Log in,Iniciar sesión
Logging in...,Iniciando sesión...
Logging out...,Cerrando sesión...
Login failed,Error al iniciar sesión
Logout failed,Error al cerrar sesión
Look like you just started. No bestsellers yet.,Parece que acabas de empezar. Aún no hay productos más vendidos.
"Lowercase letters, digits, underscore. Immutable.","Letras minúsculas, dígitos y guion bajo. Inmutable."
Manage the general information of the attribute.,Gestiona la información general del atributo.
Manage the setting of the attribute.,Gestiona la configuración del atributo.
Mark as shipped,Marcar como enviado
Mark delivered,Marcar como entregado
Mark shipment as delivered?,¿Marcar el envío como entregado?
Max length,Longitud máxima
Max of Y,Máximo de Y
Max of Y is required,El máximo de Y es obligatorio
Max value,Valor máximo
Min length,Longitud mínima
Min value,Valor mínimo
Minimum quantity,Cantidad mínima
Mint,Menta
Monthly,Mensual
More,Más
More pages,Más páginas
Move down,Mover abajo
Move up,Mover arriba
Multiselect,Selección múltiple
Must be at least ${n},Debe ser al menos ${n}
Must be at least ${n} characters,Debe tener al menos ${n} caracteres
Must be at most ${n},Debe ser como máximo ${n}
Must be at most ${n} characters,Debe tener como máximo ${n} caracteres
"Must start with a letter; lowercase letters, digits, underscore only","Debe empezar con una letra; solo letras minúsculas, dígitos y guion bajo"
Name is required,El nombre es obligatorio
New Product,Nuevo producto
New Widget,Nuevo widget
New folder,Nueva carpeta
Next,Siguiente
Next slide,Diapositiva siguiente
No,No
No address data received,No se recibieron datos de dirección
"No attribute groups found for query ""${query}""","No se encontraron grupos de atributos para la consulta ""${query}"""
No carriers registered,No hay transportistas registrados
"No categories found for ""${term}""","No se encontraron categorías para ""${term}"""
"No categories found for query ""${query}""","No se encontraron categorías para la consulta ""${query}"""
"No collections found for query ""${query}""","No se encontraron colecciones para la consulta ""${query}"""
No coupon to remove,No hay cupón que eliminar
No custom fields yet.,Aún no hay campos personalizados.
No data available,No hay datos disponibles
No free shipping,Sin envío gratis
No limit,Sin límite
No maximum,Sin máximo
No minimum,Sin mínimo
No notes from customer,Sin notas del cliente
"No options found for ""${code}""","No se encontraron opciones para ""${code}"""
"No products found for query ""${query}""","No se encontraron productos para la consulta ""${query}"""
No shipments yet — your order is being prepared.,Aún no hay envíos — tu pedido se está preparando.
No shipping is required for this order,Este pedido no requiere envío
No shipping methods available,No hay métodos de envío disponibles
No shipping options are available for your location,No hay opciones de envío disponibles para tu ubicación
No shipping required,No se requiere envío
No widgets match your search.,Ningún widget coincide con tu búsqueda.
None,Ninguno
Not set,Sin definir
Not visible to customers,No visible para los clientes
Notify customer,Notificar al cliente
Open in new tab,Abrir en una pestaña nueva
Operator,Operador
Option text,Texto de la opción
Optional help text shown to admins.,Texto de ayuda opcional mostrado a los administradores.
Order Placed,Pedido realizado
Order detail,Detalle del pedido
Order must contain products matching all conditions below,El pedido debe contener productos que cumplan todas las condiciones siguientes
Order not found,Pedido no encontrado
Orders,Pedidos
Others,Otros
Out of Stock,Agotado
Outline,Contorno
Overview of sales data over selected periods,Resumen de los datos de ventas en los periodos seleccionados
Overview of total sales and order status over the lifetime of your store,Resumen de las ventas totales y el estado de los pedidos durante toda la vida de tu tienda
Page,Página
Page ${currentPage} of ${totalPages},Página ${currentPage} de ${totalPages}
Page not found,Página no encontrada
Password is required,La contraseña es obligatoria
Password must be at least ${minLength} characters long,La contraseña debe tener al menos ${minLength} caracteres
Paste a URL or a relative path starting with ,Pega una URL o una ruta relativa que empiece por 
Pattern (regex),Patrón (regex)
Pay with PayPal,Pagar con PayPal
Pay with Stripe,Pagar con Stripe
Payment Status,Estado del pago
Placing Order...,Realizando pedido...
Please enter a coupon code,Introduce un código de cupón
Please enter a valid URL,Introduce una URL válida
Please enter a valid email address,Introduce una dirección de correo electrónico válida
Please enter your email to receive a reset link,Introduce tu correo electrónico para recibir un enlace de restablecimiento
Please provide billing address to proceed,Proporciona la dirección de facturación para continuar
Please select a payment method,Selecciona un método de pago
Please select a shipping method,Selecciona un método de envío
Please sign in to your account,Inicia sesión en tu cuenta
Position,Posición
Previous,Anterior
Previous slide,Diapositiva anterior
Price: ${value},Precio: ${value}
Primary,Principal
Print Label,Imprimir etiqueta
Processing Payment...,Procesando pago...
Product Description,Descripción del producto
Product is out of stock,El producto está agotado
Product name is required,El nombre del producto es obligatorio
Product not found,Producto no encontrado
Product type,Tipo de producto
Products,Productos
Reason for cancellation,Motivo de la cancelación
Reason is required,El motivo es obligatorio
Recently placed orders by this customer,Pedidos realizados recientemente por este cliente
Redirecting to PayPal...,Redirigiendo a PayPal...
Reference type,Tipo de referencia
Registration failed,Error en el registro
Remove item,Eliminar artículo
Remove sub-field,Eliminar subcampo
Required,Obligatorio
Requires at least one item to create a cart,Se requiere al menos un artículo para crear un carrito
Reset Password,Restablecer contraseña
Reset Your Password,Restablece tu contraseña
Reset password,Restablecer contraseña
Reset your password,Restablece tu contraseña
Root,Raíz
SKU,SKU
SKU ${sku},SKU ${sku}
SKU must be unique,El SKU debe ser único
SKU: ${sku},SKU: ${sku}
Sale Statistics,Estadísticas de ventas
Save custom fields,Guardar campos personalizados
Save field,Guardar campo
Saved successfully!,¡Guardado correctamente!
Search attribute groups,Buscar grupos de atributos
Search categories,Buscar categorías
Search collections,Buscar colecciones
"Search for products, orders, and other resources","Buscar productos, pedidos y otros recursos"
Search products,Buscar productos
Search results for: ${keyword},Resultados de búsqueda para: ${keyword}
Search widgets…,Buscar widgets…
Searching...,Buscando...
Search…,Buscar…
See all orders →,Ver todos los pedidos →
Select,Seleccionar
Select a carrier,Selecciona un transportista
Select at least one item to ship,Selecciona al menos un artículo para enviar
Select groups the attribute belongs to,Selecciona los grupos a los que pertenece el atributo
Select shipping method,Selecciona el método de envío
Select sort,Seleccionar orden
"Select the items going in this shipment, then add the carrier & tracking.",Selecciona los artículos que van en este envío y luego añade el transportista y el seguimiento.
Setting,Ajuste
Settings,Ajustes
Shipment Status,Estado del envío
Shipment canceled,Envío cancelado
Shipment created,Envío creado
Shipment marked delivered,Envío marcado como entregado
Shipments,Envíos
Shipped,Enviado
Shipping (${method}),Envío (${method})
Shipping Setting,Ajuste de envío
Show,Mostrar
Show all ${count} options,Mostrar las ${count} opciones
Show on storefront,Mostrar en la tienda
Showing ${showing} of ${total},Mostrando ${showing} de ${total}
Showing ${start}-${end} of ${total} results,Mostrando ${start}-${end} de ${total} resultados
Sidebar,Barra lateral
Sign in to view your orders,Inicia sesión para ver tus pedidos
Simple,Simple
Sky,Cielo
Sold out,Agotado
Some error occurred. Please try again later.,Se produjo un error. Inténtalo de nuevo más tarde.
Some products are not available,Algunos productos no están disponibles
Something went wrong! Please try again.,¡Algo salió mal! Vuelve a intentarlo.
Something went wrong. Please try again later.,Algo salió mal. Vuelve a intentarlo más tarde.
Something wrong. Please try again,Algo salió mal. Vuelve a intentarlo
Sort Order,Orden
Sort order,Orden
Status,Estado
Stock,Existencias
Stripe is not loaded. Please try again.,Stripe no se ha cargado. Vuelve a intentarlo.
Style,Estilo
Sub-fields,Subcampos
Submit Cancellation,Enviar cancelación
Successfully logged in,Sesión iniciada correctamente
Successfully logged out,Sesión cerrada correctamente
Tax Setting,Configuración de impuestos
Test failure,Prueba fallida
Test failure:,Prueba fallida:
Test success,Prueba exitosa
Test success:,Prueba exitosa:
Text,Texto
Textarea,Área de texto
The carrier will mark the tracking number as invalid. You will need to purchase a new label if you still intend to ship.,El transportista marcará el número de seguimiento como no válido. Deberás comprar una nueva etiqueta si aún tienes la intención de enviar.
The customer will receive a delivery confirmation email.,El cliente recibirá un correo electrónico de confirmación de entrega.
There is no category,No hay ninguna categoría
There is no file to display.,No hay ningún archivo para mostrar.
There is no sub folder.,No hay ninguna subcarpeta.
There was an error:,Se produjo un error:
This tracking link has expired,Este enlace de seguimiento ha caducado
This tracking link is no longer valid,Este enlace de seguimiento ya no es válido
Thumbnail,Miniatura
Time must be after ${min},La hora debe ser posterior a ${min}
Time must be before ${max},La hora debe ser anterior a ${max}
Toggle Sidebar,Mostrar/ocultar barra lateral
Token is invalid or expired,El token no es válido o ha caducado
Too many items requested,Se solicitaron demasiados elementos
Track,Seguir
Track shipment →,Seguir envío →
Track your order,Sigue tu pedido
Tracking info updated,Información de seguimiento actualizada
Tracking link,Enlace de seguimiento
Tracking links are good for a limited time. Sign in to your account to see the current status of your order.,Los enlaces de seguimiento tienen una validez limitada. Inicia sesión en tu cuenta para ver el estado actual de tu pedido.
Tracking number,Número de seguimiento
Type,Tipo
Type / to see the available blocks,Escribe / para ver los bloques disponibles
UPDATE PASSWORD,ACTUALIZAR CONTRASEÑA
Update address API not available,La API de actualización de dirección no está disponible
Update field,Actualizar campo
Upload,Subir
Validation,Validación
Value,Valor
Value must be a whole number,El valor debe ser un número entero
Value must be at least ${min},El valor debe ser al menos ${min}
Value must be at most ${max},El valor debe ser como máximo ${max}
View All Products,Ver todos los productos
View JSON,Ver JSON
View all customers,Ver todos los clientes
Visible to customer,Visible para el cliente
Void Label,Anular etiqueta
Void label,Anular etiqueta
Void this shipping label?,¿Anular esta etiqueta de envío?
"We could not find this order. It may have been removed, or it may belong to a different account.",No pudimos encontrar este pedido. Es posible que se haya eliminado o que pertenezca a otra cuenta.
"We could not verify this link. If you received it in an email from us, please try again from the most recent message, or sign in to your account.","No pudimos verificar este enlace. Si lo recibiste en un correo electrónico nuestro, vuelve a intentarlo desde el mensaje más reciente o inicia sesión en tu cuenta."
We have sent you an email with a link to reset your password. Please check your inbox.,Te hemos enviado un correo electrónico con un enlace para restablecer tu contraseña. Revisa tu bandeja de entrada.
Weekly,Semanal
Welcome to our store!,¡Bienvenido a nuestra tienda!
"Where you ship, shipping methods and delivery fee","A dónde envías, métodos de envío y tarifa de entrega"
White,Blanco
Yes,Sí
You are already logged in,Ya has iniciado sesión
You are here:,Estás aquí:
You have no attribute groups to display,No tienes grupos de atributos para mostrar
You have no categories to display,No tienes categorías para mostrar
You have no collections to display,No tienes colecciones para mostrar
You have no products to display,No tienes productos para mostrar
You have not placed any orders yet.,Aún no has realizado ningún pedido.
You paid for,Pagaste por
You will be redirected to PayPal for payment processing.,Serás redirigido a PayPal para procesar el pago.
Your Orders,Tus pedidos
Your order #${number} has been delivered,Tu pedido n.º ${number} ha sido entregado
Your order #${number} is on the way,Tu pedido n.º ${number} está en camino
Your order has been confirmed!,¡Tu pedido ha sido confirmado!
Your password has been updated successfully.,Tu contraseña se ha actualizado correctamente.
across,de
available to ship,disponible para enviar
breadcrumb,ruta de navegación
e.g. Care instructions,p. ej. Instrucciones de cuidado
"e.g. New, Sale, Limited","p. ej. Nuevo, Oferta, Limitado"
e.g. Question,p. ej. Pregunta
e.g. care_instructions,p. ej. care_instructions
e.g. question,p. ej. question
item,artículo
items,artículos
left to ship,por enviar
of,de
of ${count},de ${count}
unit,unidad
units,unidades
${count} changes published.,${count} cambios publicados.
${count} child widgets,${count} widgets secundarios
${count} countries,${count} países
${count} on ${route},${count} en ${route}
${count} ops total,${count} operaciones en total
${count} pending ops,${count} operaciones pendientes
${count} pending ops on,${count} operaciones pendientes en
${count} routes,${count} rutas
${direction} failed,${direction} falló
${method} — ${zone} rate,Tarifa de ${method} — ${zone}
${method} — new rate,${method} — nueva tarifa
${name} attached to ${zone},${name} adjuntado a ${zone}
${name} configuration for ${zone},Configuración de ${name} para ${zone}
${name} configuration for this zone,Configuración de ${name} para esta zona
${name} configuration saved for ${zone},Configuración de ${name} guardada para ${zone}
${name} detached,${name} desvinculado
${name} is required,${name} es obligatorio
${title} settings,Configuración de ${title}
${total} changes will go live immediately.,${total} cambios se publicarán de inmediato.
${total} items,${total} artículos
(envelope),(sobre)
+ Add Line,+ Añadir línea
+ Add Method,+ Añadir método
+ Add Rate,+ Añadir tarifa
+ Add placement,+ Añadir ubicación
+ Attach Provider,+ Adjuntar proveedor
+ New package,+ Nuevo paquete
+${count} more,+${count} más
", +${count} more",", +${count} más"
", last updated",", última actualización"
0 for flat envelopes,0 para sobres planos
1 change published.,1 cambio publicado.
1 change will go live immediately.,1 cambio se publicará de inmediato.
1 child widget,1 widget secundario
1 op total,1 operación en total
1 pending op,1 operación pendiente
1 pending op on,1 operación pendiente en
A package is required for shippable products,Se requiere un paquete para los productos enviables
A rollout plan saves your current edits as a snapshot and applies them automatically during a scheduled window.,Un plan de implementación guarda tus ediciones actuales como una instantánea y las aplica automáticamente durante una ventana programada.
Action,Acción
Actions,Acciones
Add,Añadir
Add Products,Añadir productos
Add Rate,Añadir tarifa
Add Shipping Method,Añadir método de envío
Add Tax Rate,Añadir tasa de impuesto
Add Variant,Añadir variante
Add products to this category by selecting them from the list below.,Añade productos a esta categoría seleccionándolos de la lista de abajo.
Add rate,Añadir tarifa
Added,Añadido
Adding to Column ${number},Añadiendo a la columna ${number}
Additional languages,Idiomas adicionales
Admin panel language,Idioma del panel de administración
Affects ${count} pages,Afecta a ${count} páginas
Affects 1 page,Afecta a 1 página
All pages,Todas las páginas
All registered providers are already attached to this zone.,Todos los proveedores registrados ya están asociados a esta zona.
All routes,Todas las rutas
Also shown on ${routes},También se muestra en ${routes}
Also shown on ${routes} +${count},También se muestra en ${routes} +${count}
Amount must be greater than or equal to 0,El importe debe ser mayor o igual que 0
Amount must be less than or equal to ${value} ${currency},El importe debe ser menor o igual que ${value} ${currency}
Apply a condition?,¿Aplicar una condición?
Area,Área
Area is required,El área es obligatoria
At least one country is required,Se requiere al menos un país
Attach,Asociar
Attach Provider to ${zone},Asociar proveedor a ${zone}
Attached Providers,Proveedores asociados
Attribute Name,Nombre del atributo
Attribute code is required,El código del atributo es obligatorio
Attribute created successfully!,¡Atributo creado correctamente!
Attribute group,Grupo de atributos
Attribute name is required,El nombre del atributo es obligatorio
Authorize only,Solo autorizar
Auto-saves while you edit,Se guarda automáticamente mientras editas
Back To Dashboard,Volver al panel
Base calculation address,Dirección de cálculo base
Based on cart subtotal,Según el subtotal del carrito
Based on cart weight,Según el peso del carrito
Basic configuration,Configuración básica
Boolean,Booleano
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,Métodos de envío integrados con tarifas por zona. Primero asocia Core a una zona en Configuración → Envío; luego añade métodos aquí y configura sus tarifas por zona.
Buy X get Y,Compra X y llévate Y
CMS,CMS
Calculation type,Tipo de cálculo
Can not change the attribute group of a product that is already in a variant group.,No se puede cambiar el grupo de atributos de un producto que ya está en un grupo de variantes.
Cancel rollout,Cancelar despliegue
Cancel rollout plan?,¿Cancelar el plan de despliegue?
Canvas device width,Ancho del dispositivo del lienzo
Capture,Capturar
Capture Payment,Capturar pago
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,Sugerencia de transportista para la preparación del pedido — nunca se muestra en el pago. NewShipmentDialog lo usa para preseleccionar el transportista.
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,Código de servicio específico del transportista que se usa al comprar una etiqueta (CreateLabelInput.serviceCode). Formato libre — verifica el token exacto en la documentación de la API del transportista. Déjalo en blanco para que el transportista elija su servicio predeterminado.
Cash On Delivery Payment,Pago contra reembolso
"Catalog, Search","Catálogo, Búsqueda"
Category Image,Imagen de la categoría
Category Name,Nombre de la categoría
Category created successfully!,¡Categoría creada correctamente!
Category name is required,El nombre de la categoría es obligatorio
Choose Attribute Groups,Elegir grupos de atributos
Choose Categories,Elegir categorías
Choose Collections,Elegir colecciones
Choose SKUs,Elegir SKU
Choose how much of your unpublished work to discard. The published storefront is not affected.,Elige cuánto de tu trabajo no publicado descartar. La tienda publicada no se ve afectada.
Choose where you ship and how much you charge for shipping.,Elige a dónde envías y cuánto cobras por el envío.
Clear filter,Borrar filtro
Clear filters,Borrar filtros
Client ID,ID de cliente
Client Secret,Secreto de cliente
Close,Cerrar
Close settings,Cerrar configuración
Close — continue draft,Cerrar — continuar borrador
Cms Pages,Páginas CMS
Collapse left rail,Contraer panel izquierdo
Collapse panel,Contraer panel
Collection Code,Código de colección
Collection Name,Nombre de la colección
Collection code is required,El código de colección es obligatorio
Collection code must be alphanumeric and can include underscores or dashes.,El código de colección debe ser alfanumérico y puede incluir guiones bajos o guiones.
Collection created successfully!,¡Colección creada correctamente!
Color,Color
Commerce,Comercio
Compound,Compuesto
Condition,Condición
Configure,Configurar
Configure cost and conditions per zone. Zones without a rate don't offer this method.,Configura el coste y las condiciones por zona. Las zonas sin tarifa no ofrecen este método.
Configure rate,Configurar tarifa
Configure the available payment methods,Configura los métodos de pago disponibles
Configure the settings for the ${name} widget.,Configura los ajustes del widget ${name}.
Configure the tax classes that will be available to your customers at checkout.,Configura las clases de impuestos que estarán disponibles para tus clientes al pagar.
Configure your Cash On Delivery payment gateway settings,Configura los ajustes de tu pasarela de pago contra reembolso
Configure your Paypal payment gateway settings,Configura los ajustes de tu pasarela de pago de PayPal
Configure your Stripe payment gateway settings,Configura los ajustes de tu pasarela de pago de Stripe
