Welcome Back!,Bentornato!
Cannot add shipping method: providerCode is required,Impossibile aggiungere il metodo di spedizione: providerCode è obbligatorio
Cannot apply coupon: cart not initialized,Impossibile applicare il coupon: carrello non inizializzato
Cannot remove coupon: cart not initialized,Impossibile rimuovere il coupon: carrello non inizializzato
Carrier,Corriere
Carrier is required,Il corriere è obbligatorio
Cart ID is required to checkout,L'ID del carrello è obbligatorio per il checkout
Cart is not initialized,Il carrello non è inizializzato
Catalog,Catalogo
Categories,Categorie
Category,Categoria
Charcoal,Antracite
Checkout success,Checkout completato
Choose Product SKU,Scegli lo SKU del prodotto
Choose SKU,Scegli SKU
City is required,La città è obbligatoria
Clear All,Cancella tutto
Clear Filters,Cancella filtri
Clear all,Cancella tutto
Clear categories,Cancella categorie
Close fullscreen view,Chiudi vista a schermo intero
Code,Codice
Collections,Collezioni
Comma-separated; renders the value as a dropdown.,Separati da virgola; mostra il valore come menu a discesa.
Completed,Completato
Configurable,Configurabile
Configure tax classes and tax rates,Configura le classi e le aliquote fiscali
Confirm,Conferma
Contact for pricing,Contatta per i prezzi
Conveniently pay with cash at your doorstep when your order is delivered.,Paga comodamente in contanti alla consegna del tuo ordine.
Coupon applied successfully!,Coupon applicato con successo!
Coupon code is required,Il codice coupon è obbligatorio
Coupon does not match,Il coupon non corrisponde
Coupon removed successfully!,Coupon rimosso con successo!
Cream,Crema
Create,Crea
Create a new attribute,Crea un nuovo attributo
Create a new group,Crea un nuovo gruppo
Create a new package,Crea un nuovo pacco
Create shipment,Crea spedizione
Created,Creato
Custom URL,URL personalizzato
Custom field created,Campo personalizzato creato
Custom field updated,Campo personalizzato aggiornato
Custom fields,Campi personalizzati
Custom fields (JSON),Campi personalizzati (JSON)
Custom fields saved,Campi personalizzati salvati
Customer Information,Informazioni cliente
Customer does not have any order yet.,Il cliente non ha ancora effettuato alcun ordine.
Customer notes,Note cliente
Daily,Giornaliero
Date and time must be after ${min},La data e l'ora devono essere successive a ${min}
Date and time must be before ${max},La data e l'ora devono essere precedenti a ${max}
Date must be after ${min},La data deve essere successiva a ${min}
Date must be before ${max},La data deve essere precedente a ${max}
Delete ${count} coupons,Elimina ${count} coupon
Delete ${count} products,Elimina ${count} prodotti
Delete address API not available,API di eliminazione indirizzo non disponibile
Delivered,Consegnato
Description,Descrizione
Disable,Disabilita
Disable ${count} coupons,Disabilita ${count} coupon
Disable ${count} customers,Disabilita ${count} clienti
Disable ${count} products,Disabilita ${count} prodotti
Disabled,Disabilitato
Discount percent,Percentuale di sconto
Discount percent is required,La percentuale di sconto è obbligatoria
Display on Frontend?,Mostra nel frontend?
Displays the mobile sidebar.,Mostra la barra laterale mobile.
Done,Fatto
Drag to reorder,Trascina per riordinare
Duplicate,Duplica
Edit custom field,Modifica campo personalizzato
Edit field settings,Modifica impostazioni campo
Edit package,Modifica pacco
Edit tracking info,Modifica info di tracciamento
Editing ${name},Modifica di ${name}
Email a shipment confirmation,Invia una conferma di spedizione via email
Email a shipment confirmation with tracking details,Invia via email una conferma di spedizione con i dettagli di tracciamento
Email is required,L'email è obbligatoria
Enable,Abilita
Enable ${count} coupons,Abilita ${count} coupon
Enable ${count} customers,Abilita ${count} clienti
Enable ${count} products,Abilita ${count} prodotti
Enabled,Abilitato
Enter attribute code,Inserisci il codice attributo
Enter attribute name,Inserisci il nome attributo
Enter text,Inserisci testo
Enter value for ${attribute},Inserisci il valore per ${attribute}
Enter your email,Inserisci la tua email
Enter your new password,Inserisci la tua nuova password
Enter your password,Inserisci la tua password
Error,Errore
Failed to add address,Impossibile aggiungere l'indirizzo
Failed to add billing address,Impossibile aggiungere l'indirizzo di fatturazione
Failed to add billing address.,Impossibile aggiungere l'indirizzo di fatturazione.
Failed to add contact info,Impossibile aggiungere le info di contatto
Failed to add contact info.,Impossibile aggiungere le info di contatto.
Failed to add item to cart,Impossibile aggiungere l'articolo al carrello
Failed to add payment method,Impossibile aggiungere il metodo di pagamento
Failed to add payment method.,Impossibile aggiungere il metodo di pagamento.
Failed to add product to cart,Impossibile aggiungere il prodotto al carrello
Failed to add shipping address,Impossibile aggiungere l'indirizzo di spedizione
Failed to add shipping address.,Impossibile aggiungere l'indirizzo di spedizione.
Failed to add shipping method,Impossibile aggiungere il metodo di spedizione
Failed to add shipping method.,Impossibile aggiungere il metodo di spedizione.
Failed to apply coupon,Impossibile applicare il coupon
Failed to cancel shipment,Impossibile annullare la spedizione
Failed to checkout,Impossibile completare il checkout
Failed to create field,Impossibile creare il campo
Failed to create shipment,Impossibile creare la spedizione
Failed to delete address,Impossibile eliminare l'indirizzo
Failed to load custom fields,Impossibile caricare i campi personalizzati
Failed to mark delivered,Impossibile contrassegnare come consegnato
Failed to place order,Impossibile effettuare l'ordine
Failed to place order. Please try again.,Impossibile effettuare l'ordine. Riprova.
Failed to remove coupon,Impossibile rimuovere il coupon
Failed to remove coupon.,Impossibile rimuovere il coupon.
Failed to save custom fields,Impossibile salvare i campi personalizzati
Failed to set shipping method,Impossibile impostare il metodo di spedizione
Failed to set shipping note,Impossibile impostare la nota di spedizione
Failed to update address,Impossibile aggiornare l'indirizzo
Failed to update field,Impossibile aggiornare il campo
Failed to update shipment,Impossibile aggiornare la spedizione
Failed to update tracking info,Impossibile aggiornare le info di tracciamento
Failed to void label,Impossibile annullare l'etichetta
Failed!,Operazione non riuscita!
Fields applicable to this entity type. Adding a field applies it to all entities of this type.,Campi applicabili a questo tipo di entità. L'aggiunta di un campo lo applica a tutte le entità di questo tipo.
File size must be less than ${maxSize},La dimensione del file deve essere inferiore a ${maxSize}
Filter Products,Filtra prodotti
Filters,Filtri
First,Primo
Free,Gratis
Free shipping,Spedizione gratuita
Free shipping ?,Spedizione gratuita?
Fulfill ${count} orders,Evadi ${count} ordini
Full Name is required,Il nome completo è obbligatorio
Fully shipped,Spedito completamente
General,Generale
Get qty,Quantità ottenuta
Get qty is required,La quantità ottenuta è obbligatoria
Ghost,Ghost
Go,Vai
Go to Login,Vai al login
Go to next page,Vai alla pagina successiva
Go to previous page,Vai alla pagina precedente
Hello,Ciao
Hide from storefront,Nascondi dal negozio
ID,ID
In Stock,Disponibile
Inactive,Inattivo
Inclusive of tax ${totalTaxAmount},Tasse incluse ${totalTaxAmount}
Insert,Inserisci
Invalid address,Indirizzo non valido
Invalid cart,Carrello non valido
Invalid cart id,ID carrello non valido
Invalid coupon,Coupon non valido
Invalid customer,Cliente non valido
Invalid customer id,ID cliente non valido
Invalid email or password,Email o password non validi
Invalid format,Formato non valido
Invalid quantity,Quantità non valida
Is Filterable?,È filtrabile?
Is Required?,È obbligatorio?
Item,Articolo
Items,Articoli
Items in this shipment will return to the order's unshipped pool. This action cannot be undone.,Gli articoli di questa spedizione torneranno nel pool non spedito dell'ordine. Questa azione non può essere annullata.
Key,Chiave
Key is required,La chiave è obbligatoria
Label,Etichetta
Label voided,Etichetta annullata
Language,Lingua
Last,Ultimo
Lifetime Sales,Vendite totali
Light gray,Grigio chiaro
Limit,Limite
Link,Link
Loading,Caricamento
Log in,Accedi
Logging in...,Accesso in corso...
Logging out...,Disconnessione in corso...
Login failed,Accesso non riuscito
Logout failed,Disconnessione non riuscita
Look like you just started. No bestsellers yet.,Sembra che tu abbia appena iniziato. Ancora nessun bestseller.
"Lowercase letters, digits, underscore. Immutable.","Lettere minuscole, cifre, trattino basso. Immutabile."
Manage the general information of the attribute.,Gestisci le informazioni generali dell'attributo.
Manage the setting of the attribute.,Gestisci le impostazioni dell'attributo.
Mark as shipped,Contrassegna come spedito
Mark delivered,Contrassegna come consegnato
Mark shipment as delivered?,Contrassegnare la spedizione come consegnata?
Max length,Lunghezza massima
Max of Y,Massimo di Y
Max of Y is required,Il massimo di Y è obbligatorio
Max value,Valore massimo
Min length,Lunghezza minima
Min value,Valore minimo
Minimum quantity,Quantità minima
Mint,Menta
Monthly,Mensile
More,Altro
More pages,Altre pagine
Move down,Sposta giù
Move up,Sposta su
Multiselect,Selezione multipla
Must be at least ${n},Deve essere almeno ${n}
Must be at least ${n} characters,Deve avere almeno ${n} caratteri
Must be at most ${n},Deve essere al massimo ${n}
Must be at most ${n} characters,Deve avere al massimo ${n} caratteri
"Must start with a letter; lowercase letters, digits, underscore only","Deve iniziare con una lettera; solo lettere minuscole, cifre e trattino basso"
Name is required,Il nome è obbligatorio
New Product,Nuovo prodotto
New Widget,Nuovo widget
New folder,Nuova cartella
Next,Avanti
Next slide,Slide successiva
No,No
No address data received,Nessun dato di indirizzo ricevuto
"No attribute groups found for query ""${query}""","Nessun gruppo di attributi trovato per la ricerca ""${query}"""
No carriers registered,Nessun corriere registrato
"No categories found for ""${term}""","Nessuna categoria trovata per ""${term}"""
"No categories found for query ""${query}""","Nessuna categoria trovata per la ricerca ""${query}"""
"No collections found for query ""${query}""","Nessuna collezione trovata per la ricerca ""${query}"""
No coupon to remove,Nessun coupon da rimuovere
No custom fields yet.,Ancora nessun campo personalizzato.
No data available,Nessun dato disponibile
No free shipping,Nessuna spedizione gratuita
No limit,Nessun limite
No maximum,Nessun massimo
No minimum,Nessun minimo
No notes from customer,Nessuna nota dal cliente
"No options found for ""${code}""","Nessuna opzione trovata per ""${code}"""
"No products found for query ""${query}""","Nessun prodotto trovato per la ricerca ""${query}"""
No shipments yet — your order is being prepared.,Ancora nessuna spedizione — il tuo ordine è in preparazione.
No shipping is required for this order,Per questo ordine non è richiesta alcuna spedizione
No shipping methods available,Nessun metodo di spedizione disponibile
No shipping options are available for your location,Nessuna opzione di spedizione disponibile per la tua località
No shipping required,Nessuna spedizione richiesta
No widgets match your search.,Nessun widget corrisponde alla tua ricerca.
None,Nessuno
Not set,Non impostato
Not visible to customers,Non visibile ai clienti
Notify customer,Notifica al cliente
Open in new tab,Apri in una nuova scheda
Operator,Operatore
Option text,Testo opzione
Optional help text shown to admins.,Testo di aiuto opzionale mostrato agli amministratori.
Order Placed,Ordine effettuato
Order detail,Dettaglio ordine
Order must contain products matching all conditions below,L'ordine deve contenere prodotti che soddisfano tutte le condizioni seguenti
Order not found,Ordine non trovato
Orders,Ordini
Others,Altri
Out of Stock,Esaurito
Outline,Contorno
Overview of sales data over selected periods,Panoramica dei dati di vendita per i periodi selezionati
Overview of total sales and order status over the lifetime of your store,Panoramica delle vendite totali e dello stato degli ordini durante l'intera vita del tuo negozio
Page,Pagina
Page ${currentPage} of ${totalPages},Pagina ${currentPage} di ${totalPages}
Page not found,Pagina non trovata
Password is required,La password è obbligatoria
Password must be at least ${minLength} characters long,La password deve avere almeno ${minLength} caratteri
Paste a URL or a relative path starting with ,Incolla un URL o un percorso relativo che inizia con 
Pattern (regex),Pattern (regex)
Pay with PayPal,Paga con PayPal
Pay with Stripe,Paga con Stripe
Payment Status,Stato del pagamento
Placing Order...,Invio ordine in corso...
Please enter a coupon code,Inserisci un codice coupon
Please enter a valid URL,Inserisci un URL valido
Please enter a valid email address,Inserisci un indirizzo email valido
Please enter your email to receive a reset link,Inserisci la tua email per ricevere un link di reimpostazione
Please provide billing address to proceed,Fornisci l'indirizzo di fatturazione per procedere
Please select a payment method,Seleziona un metodo di pagamento
Please select a shipping method,Seleziona un metodo di spedizione
Please sign in to your account,Accedi al tuo account
Position,Posizione
Previous,Precedente
Previous slide,Slide precedente
Price: ${value},Prezzo: ${value}
Primary,Primario
Print Label,Stampa etichetta
Processing Payment...,Elaborazione del pagamento...
Product Description,Descrizione prodotto
Product is out of stock,Il prodotto è esaurito
Product name is required,Il nome del prodotto è obbligatorio
Product not found,Prodotto non trovato
Product type,Tipo di prodotto
Products,Prodotti
Reason for cancellation,Motivo dell'annullamento
Reason is required,Il motivo è obbligatorio
Recently placed orders by this customer,Ordini effettuati di recente da questo cliente
Redirecting to PayPal...,Reindirizzamento a PayPal...
Reference type,Tipo di riferimento
Registration failed,Registrazione non riuscita
Remove item,Rimuovi articolo
Remove sub-field,Rimuovi sottocampo
Required,Obbligatorio
Requires at least one item to create a cart,È necessario almeno un articolo per creare un carrello
Reset Password,Reimposta password
Reset Your Password,Reimposta la tua password
Reset password,Reimposta password
Reset your password,Reimposta la tua password
Root,Radice
SKU,SKU
SKU ${sku},SKU ${sku}
SKU must be unique,Lo SKU deve essere univoco
SKU: ${sku},SKU: ${sku}
Sale Statistics,Statistiche di vendita
Save custom fields,Salva campi personalizzati
Save field,Salva campo
Saved successfully!,Salvato con successo!
Search attribute groups,Cerca gruppi di attributi
Search categories,Cerca categorie
Search collections,Cerca collezioni
"Search for products, orders, and other resources","Cerca prodotti, ordini e altre risorse"
Search products,Cerca prodotti
Search results for: ${keyword},Risultati della ricerca per: ${keyword}
Search widgets…,Cerca widget…
Searching...,Ricerca in corso...
Search…,Cerca…
See all orders →,Vedi tutti gli ordini →
Select,Seleziona
Select a carrier,Seleziona un corriere
Select at least one item to ship,Seleziona almeno un articolo da spedire
Select groups the attribute belongs to,Seleziona i gruppi a cui appartiene l'attributo
Select shipping method,Seleziona il metodo di spedizione
Select sort,Seleziona ordinamento
"Select the items going in this shipment, then add the carrier & tracking.","Seleziona gli articoli da includere in questa spedizione, poi aggiungi il corriere e il tracciamento."
Setting,Impostazione
Settings,Impostazioni
Shipment Status,Stato della spedizione
Shipment canceled,Spedizione annullata
Shipment created,Spedizione creata
Shipment marked delivered,Spedizione contrassegnata come consegnata
Shipments,Spedizioni
Shipped,Spedito
Shipping (${method}),Spedizione (${method})
Shipping Setting,Impostazione di spedizione
Show,Mostra
Show all ${count} options,Mostra tutte le ${count} opzioni
Show on storefront,Mostra nel negozio
Showing ${showing} of ${total},Visualizzati ${showing} di ${total}
Showing ${start}-${end} of ${total} results,Visualizzati ${start}-${end} di ${total} risultati
Sidebar,Barra laterale
Sign in to view your orders,Accedi per visualizzare i tuoi ordini
Simple,Semplice
Sky,Cielo
Sold out,Esaurito
Some error occurred. Please try again later.,Si è verificato un errore. Riprova più tardi.
Some products are not available,Alcuni prodotti non sono disponibili
Something went wrong! Please try again.,Si è verificato un errore! Riprova.
Something went wrong. Please try again later.,Si è verificato un errore. Riprova più tardi.
Something wrong. Please try again,Si è verificato un errore. Riprova
Sort Order,Ordinamento
Sort order,Ordinamento
Status,Stato
Stock,Scorte
Stripe is not loaded. Please try again.,Stripe non è caricato. Riprova.
Style,Stile
Sub-fields,Sottocampi
Submit Cancellation,Invia annullamento
Successfully logged in,Accesso effettuato con successo
Successfully logged out,Disconnessione effettuata con successo
Tax Setting,Impostazioni imposte
Test failure,Test fallito
Test failure:,Test fallito:
Test success,Test riuscito
Test success:,Test riuscito:
Text,Testo
Textarea,Area di testo
The carrier will mark the tracking number as invalid. You will need to purchase a new label if you still intend to ship.,Il corriere contrassegnerà il numero di tracciabilità come non valido. Dovrai acquistare una nuova etichetta se intendi comunque effettuare la spedizione.
The customer will receive a delivery confirmation email.,Il cliente riceverà un'email di conferma della consegna.
There is no category,Non c'è alcuna categoria
There is no file to display.,Non c'è alcun file da visualizzare.
There is no sub folder.,Non c'è alcuna sottocartella.
There was an error:,Si è verificato un errore:
This tracking link has expired,Questo link di tracciabilità è scaduto
This tracking link is no longer valid,Questo link di tracciabilità non è più valido
Thumbnail,Miniatura
Time must be after ${min},L'orario deve essere successivo a ${min}
Time must be before ${max},L'orario deve essere precedente a ${max}
Toggle Sidebar,Attiva/disattiva barra laterale
Token is invalid or expired,Il token non è valido o è scaduto
Too many items requested,Troppi elementi richiesti
Track,Traccia
Track shipment →,Traccia spedizione →
Track your order,Traccia il tuo ordine
Tracking info updated,Informazioni di tracciabilità aggiornate
Tracking link,Link di tracciabilità
Tracking links are good for a limited time. Sign in to your account to see the current status of your order.,I link di tracciabilità sono validi per un tempo limitato. Accedi al tuo account per vedere lo stato attuale del tuo ordine.
Tracking number,Numero di tracciabilità
Type,Tipo
Type / to see the available blocks,Digita / per vedere i blocchi disponibili
UPDATE PASSWORD,AGGIORNA PASSWORD
Update address API not available,API di aggiornamento indirizzo non disponibile
Update field,Aggiorna campo
Upload,Carica
Validation,Validazione
Value,Valore
Value must be a whole number,Il valore deve essere un numero intero
Value must be at least ${min},Il valore deve essere almeno ${min}
Value must be at most ${max},Il valore deve essere al massimo ${max}
View All Products,Vedi tutti i prodotti
View JSON,Visualizza JSON
View all customers,Vedi tutti i clienti
Visible to customer,Visibile al cliente
Void Label,Annulla etichetta
Void label,Annulla etichetta
Void this shipping label?,Annullare questa etichetta di spedizione?
"We could not find this order. It may have been removed, or it may belong to a different account.",Non abbiamo trovato questo ordine. Potrebbe essere stato rimosso o appartenere a un account diverso.
"We could not verify this link. If you received it in an email from us, please try again from the most recent message, or sign in to your account.","Non abbiamo potuto verificare questo link. Se l'hai ricevuto in un'email da parte nostra, riprova dal messaggio più recente o accedi al tuo account."
We have sent you an email with a link to reset your password. Please check your inbox.,Ti abbiamo inviato un'email con un link per reimpostare la password. Controlla la tua casella di posta.
Weekly,Settimanale
Welcome to our store!,Benvenuto nel nostro negozio!
"Where you ship, shipping methods and delivery fee","Dove spedisci, metodi di spedizione e costo di consegna"
White,Bianco
Yes,Sì
You are already logged in,Hai già effettuato l'accesso
You are here:,Ti trovi qui:
You have no attribute groups to display,Non hai gruppi di attributi da visualizzare
You have no categories to display,Non hai categorie da visualizzare
You have no collections to display,Non hai collezioni da visualizzare
You have no products to display,Non hai prodotti da visualizzare
You have not placed any orders yet.,Non hai ancora effettuato alcun ordine.
You paid for,Hai pagato per
You will be redirected to PayPal for payment processing.,Sarai reindirizzato a PayPal per l'elaborazione del pagamento.
Your Orders,I tuoi ordini
Your order #${number} has been delivered,Il tuo ordine #${number} è stato consegnato
Your order #${number} is on the way,Il tuo ordine #${number} è in arrivo
Your order has been confirmed!,Il tuo ordine è stato confermato!
Your password has been updated successfully.,La tua password è stata aggiornata con successo.
across,su
available to ship,disponibile per la spedizione
breadcrumb,breadcrumb
e.g. Care instructions,es. Istruzioni per la cura
"e.g. New, Sale, Limited","es. Nuovo, Saldo, Limitato"
e.g. Question,es. Domanda
e.g. care_instructions,es. care_instructions
e.g. question,es. question
item,articolo
items,articoli
left to ship,ancora da spedire
of,di
of ${count},di ${count}
unit,unità
units,unità
${count} changes published.,${count} modifiche pubblicate.
${count} child widgets,${count} widget figli
${count} countries,${count} paesi
${count} on ${route},${count} su ${route}
${count} ops total,${count} operazioni totali
${count} pending ops,${count} operazioni in sospeso
${count} pending ops on,${count} operazioni in sospeso su
${count} routes,${count} percorsi
${direction} failed,${direction} non riuscito
${method} — ${zone} rate,${method} — tariffa ${zone}
${method} — new rate,${method} — nuova tariffa
${name} attached to ${zone},${name} collegato a ${zone}
${name} configuration for ${zone},Configurazione di ${name} per ${zone}
${name} configuration for this zone,Configurazione di ${name} per questa zona
${name} configuration saved for ${zone},Configurazione di ${name} salvata per ${zone}
${name} detached,${name} scollegato
${name} is required,${name} è obbligatorio
${title} settings,Impostazioni di ${title}
${total} changes will go live immediately.,${total} modifiche andranno subito online.
${total} items,${total} articoli
(envelope),(busta)
+ Add Line,+ Aggiungi riga
+ Add Method,+ Aggiungi metodo
+ Add Rate,+ Aggiungi tariffa
+ Add placement,+ Aggiungi posizionamento
+ Attach Provider,+ Collega fornitore
+ New package,+ Nuovo pacco
+${count} more,+${count} altri
", +${count} more",", +${count} altri"
", last updated",", ultimo aggiornamento"
0 for flat envelopes,0 per buste piatte
1 change published.,1 modifica pubblicata.
1 change will go live immediately.,1 modifica andrà subito online.
1 child widget,1 widget figlio
1 op total,1 operazione totale
1 pending op,1 operazione in sospeso
1 pending op on,1 operazione in sospeso su
A package is required for shippable products,È necessario un pacco per i prodotti spedibili
A rollout plan saves your current edits as a snapshot and applies them automatically during a scheduled window.,Un piano di rilascio salva le tue modifiche attuali come istantanea e le applica automaticamente durante una finestra programmata.
Action,Azione
Actions,Azioni
Add,Aggiungi
Add Products,Aggiungi prodotti
Add Rate,Aggiungi tariffa
Add Shipping Method,Aggiungi metodo di spedizione
Add Tax Rate,Aggiungi aliquota fiscale
Add Variant,Aggiungi variante
Add products to this category by selecting them from the list below.,Aggiungi prodotti a questa categoria selezionandoli dall'elenco sottostante.
Add rate,Aggiungi tariffa
Added,Aggiunto
Adding to Column ${number},Aggiunta alla colonna ${number}
Additional languages,Lingue aggiuntive
Admin panel language,Lingua del pannello di amministrazione
Affects ${count} pages,Interessa ${count} pagine
Affects 1 page,Interessa 1 pagina
All pages,Tutte le pagine
All registered providers are already attached to this zone.,Tutti i provider registrati sono già collegati a questa zona.
All routes,Tutti i percorsi
Also shown on ${routes},Mostrato anche su ${routes}
Also shown on ${routes} +${count},Mostrato anche su ${routes} +${count}
Amount must be greater than or equal to 0,L'importo deve essere maggiore o uguale a 0
Amount must be less than or equal to ${value} ${currency},L'importo deve essere minore o uguale a ${value} ${currency}
Apply a condition?,Applicare una condizione?
Area,Area
Area is required,L'area è obbligatoria
At least one country is required,È richiesto almeno un paese
Attach,Collega
Attach Provider to ${zone},Collega provider a ${zone}
Attached Providers,Provider collegati
Attribute Name,Nome attributo
Attribute code is required,Il codice attributo è obbligatorio
Attribute created successfully!,Attributo creato con successo!
Attribute group,Gruppo di attributi
Attribute name is required,Il nome attributo è obbligatorio
Authorize only,Solo autorizzazione
Auto-saves while you edit,Salvataggio automatico durante la modifica
Back To Dashboard,Torna alla dashboard
Base calculation address,Indirizzo di calcolo base
Based on cart subtotal,In base al subtotale del carrello
Based on cart weight,In base al peso del carrello
Basic configuration,Configurazione di base
Boolean,Booleano
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,Metodi di spedizione integrati con tariffe per zona. Collega prima Core a una zona in Impostazioni → Spedizione; poi aggiungi i metodi qui e configura le relative tariffe per zona.
Buy X get Y,Compra X ottieni Y
CMS,CMS
Calculation type,Tipo di calcolo
Can not change the attribute group of a product that is already in a variant group.,Impossibile modificare il gruppo di attributi di un prodotto che fa già parte di un gruppo di varianti.
Cancel rollout,Annulla distribuzione
Cancel rollout plan?,Annullare il piano di distribuzione?
Canvas device width,Larghezza dispositivo canvas
Capture,Cattura
Capture Payment,Cattura pagamento
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,Suggerimento del corriere per l'evasione — mai mostrato al checkout. NewShipmentDialog lo usa per preselezionare il corriere.
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,Codice servizio specifico del corriere usato all'acquisto di un'etichetta (CreateLabelInput.serviceCode). Formato libero — verifica il token esatto nella documentazione API del corriere. Lascia vuoto per far scegliere al corriere il servizio predefinito.
Cash On Delivery Payment,Pagamento alla consegna
"Catalog, Search","Catalogo, ricerca"
Category Image,Immagine categoria
Category Name,Nome categoria
Category created successfully!,Categoria creata con successo!
Category name is required,Il nome categoria è obbligatorio
Choose Attribute Groups,Scegli gruppi di attributi
Choose Categories,Scegli categorie
Choose Collections,Scegli raccolte
Choose SKUs,Scegli SKU
Choose how much of your unpublished work to discard. The published storefront is not affected.,Scegli quanto del tuo lavoro non pubblicato scartare. Il negozio pubblicato non viene modificato.
Choose where you ship and how much you charge for shipping.,Scegli dove spedisci e quanto addebiti per la spedizione.
Clear filter,Cancella filtro
Clear filters,Cancella filtri
Client ID,Client ID
Client Secret,Client Secret
Close,Chiudi
Close settings,Chiudi impostazioni
Close — continue draft,Chiudi — continua bozza
Cms Pages,Pagine CMS
Collapse left rail,Comprimi barra sinistra
Collapse panel,Comprimi pannello
Collection Code,Codice raccolta
Collection Name,Nome raccolta
