Welcome Back!,Тавтай морилно уу!
Enable,Идэвхжүүлэх
Enable ${count} coupons,${count} купоныг идэвхжүүлэх
Enable ${count} customers,${count} харилцагчийг идэвхжүүлэх
Enable ${count} products,${count} бүтээгдэхүүнийг идэвхжүүлэх
Enabled,Идэвхжсэн
Enter attribute code,Шинж чанарын код оруулна уу
Enter attribute name,Шинж чанарын нэр оруулна уу
Enter text,Текст оруулна уу
Enter value for ${attribute},${attribute}-ийн утгыг оруулна уу
Enter your email,Имэйлээ оруулна уу
Enter your new password,Шинэ нууц үгээ оруулна уу
Enter your password,Нууц үгээ оруулна уу
Error,Алдаа
Failed to add address,Хаяг нэмж чадсангүй
Failed to add billing address,Төлбөрийн хаяг нэмж чадсангүй
Failed to add billing address.,Төлбөрийн хаяг нэмж чадсангүй.
Failed to add contact info,Холбоо барих мэдээлэл нэмж чадсангүй
Failed to add contact info.,Холбоо барих мэдээлэл нэмж чадсангүй.
Failed to add item to cart,Барааг сагсанд нэмж чадсангүй
Failed to add payment method,Төлбөрийн арга нэмж чадсангүй
Failed to add payment method.,Төлбөрийн арга нэмж чадсангүй.
Failed to add product to cart,Бүтээгдэхүүнийг сагсанд нэмж чадсангүй
Failed to add shipping address,Хүргэлтийн хаяг нэмж чадсангүй
Failed to add shipping address.,Хүргэлтийн хаяг нэмж чадсангүй.
Failed to add shipping method,Хүргэлтийн арга нэмж чадсангүй
Failed to add shipping method.,Хүргэлтийн арга нэмж чадсангүй.
Failed to apply coupon,Купоныг хэрэглэж чадсангүй
Failed to cancel shipment,Хүргэлтийг цуцалж чадсангүй
Failed to checkout,Захиалга баталгаажуулж чадсангүй
Failed to create field,Талбар үүсгэж чадсангүй
Failed to create shipment,Хүргэлт үүсгэж чадсангүй
Failed to delete address,Хаяг устгаж чадсангүй
Failed to load custom fields,Тусгай талбаруудыг ачаалж чадсангүй
Failed to mark delivered,Хүргэгдсэн гэж тэмдэглэж чадсангүй
Failed to place order,Захиалга өгч чадсангүй
Failed to place order. Please try again.,Захиалга өгч чадсангүй. Дахин оролдоно уу.
Failed to remove coupon,Купоныг хасч чадсангүй
Failed to remove coupon.,Купоныг хасч чадсангүй.
Failed to save custom fields,Тусгай талбаруудыг хадгалж чадсангүй
Failed to set shipping method,Хүргэлтийн аргыг тохируулж чадсангүй
Failed to set shipping note,Хүргэлтийн тэмдэглэлийг тохируулж чадсангүй
Failed to update address,Хаягийг шинэчилж чадсангүй
Failed to update field,Талбарыг шинэчилж чадсангүй
Failed to update shipment,Хүргэлтийг шинэчилж чадсангүй
Failed to update tracking info,Хүргэлтийн мэдээллийг шинэчилж чадсангүй
Failed to void label,Шошгыг хүчингүй болгож чадсангүй
Failed!,Амжилтгүй!
Fields applicable to this entity type. Adding a field applies it to all entities of this type.,Энэ төрлийн объектод хамаарах талбарууд. Талбар нэмбэл энэ төрлийн бүх объектод хэрэгжинэ.
File size must be less than ${maxSize},Файлын хэмжээ ${maxSize}-аас бага байх ёстой
Filter Products,Бүтээгдэхүүн шүүх
Filters,Шүүлтүүр
First,Эхний
Free,Үнэгүй
Free shipping,Үнэгүй хүргэлт
Free shipping ?,Үнэгүй хүргэлт үү?
Fulfill ${count} orders,${count} захиалгыг гүйцэтгэх
Full Name is required,Бүтэн нэр шаардлагатай
Fully shipped,Бүрэн илгээгдсэн
General,Ерөнхий
Get qty,Авах тоо хэмжээ
Get qty is required,Авах тоо хэмжээ шаардлагатай
Ghost,Хий
Go,Болсон
Go to Login,Нэвтрэх рүү очих
Go to next page,Дараагийн хуудас руу очих
Go to previous page,Өмнөх хуудас руу очих
Hello,Сайн байна уу
Hide from storefront,Дэлгүүрээс нуух
ID,ID
In Stock,Нөөцөд бий
Inactive,Идэвхгүй
Inclusive of tax ${totalTaxAmount},Татвар багтсан ${totalTaxAmount}
Insert,Оруулах
Invalid address,Буруу хаяг
Invalid cart,Буруу сагс
Invalid cart id,Буруу сагсны ID
Invalid coupon,Буруу купон
Invalid customer,Буруу харилцагч
Invalid customer id,Буруу харилцагчийн ID
Invalid email or password,Буруу имэйл эсвэл нууц үг
Invalid format,Буруу формат
Invalid quantity,Буруу тоо хэмжээ
Is Filterable?,Шүүлт хийх боломжтой юу?
Is Required?,Шаардлагатай юу?
Item,Бараа
Items,Бараанууд
Items in this shipment will return to the order's unshipped pool. This action cannot be undone.,Энэ хүргэлтийн бараанууд захиалгын илгээгдээгүй нөөц рүү буцна. Энэ үйлдлийг буцаах боломжгүй.
Key,Түлхүүр
Key is required,Түлхүүр шаардлагатай
Label,Шошго
Label voided,Шошго хүчингүй болсон
Language,Хэл
Last,Сүүлийн
Lifetime Sales,Нийт борлуулалт
Light gray,Цайвар саарал
Limit,Хязгаар
Link,Холбоос
Loading,Ачаалж байна
Log in,Нэвтрэх
Logging in...,Нэвтэрч байна...
Logging out...,Гарч байна...
Login failed,Нэвтрэлт амжилтгүй
Logout failed,Гарах амжилтгүй
Look like you just started. No bestsellers yet.,Та дөнгөж эхэлсэн бололтой. Хараахан шилдэг борлуулалттай бараа алга.
"Lowercase letters, digits, underscore. Immutable.","Жижиг үсэг, тоо, доогуур зураас. Өөрчлөгдөшгүй."
Manage the general information of the attribute.,Шинж чанарын ерөнхий мэдээллийг удирдах.
Manage the setting of the attribute.,Шинж чанарын тохиргоог удирдах.
Mark as shipped,Илгээгдсэн гэж тэмдэглэх
Mark delivered,Хүргэгдсэн гэж тэмдэглэх
Mark shipment as delivered?,Хүргэлтийг хүргэгдсэн гэж тэмдэглэх үү?
Max length,Дээд урт
Max of Y,Y-ийн дээд хэмжээ
Max of Y is required,Y-ийн дээд хэмжээ шаардлагатай
Max value,Дээд утга
Min length,Доод урт
Min value,Доод утга
Minimum quantity,Хамгийн бага тоо хэмжээ
Mint,Цайвар ногоон
Monthly,Сар бүр
More,Илүү
More pages,Дэлгэрэнгүй хуудас
Move down,Доош зөөх
Move up,Дээш зөөх
Multiselect,Олон сонголт
Must be at least ${n},Хамгийн багадаа ${n} байх ёстой
Must be at least ${n} characters,Хамгийн багадаа ${n} тэмдэгт байх ёстой
Must be at most ${n},Хамгийн ихдээ ${n} байх ёстой
Must be at most ${n} characters,Хамгийн ихдээ ${n} тэмдэгт байх ёстой
"Must start with a letter; lowercase letters, digits, underscore only","Үсгээр эхлэх ёстой; зөвхөн жижиг үсэг, тоо, доогуур зураас"
Name is required,Нэр оруулах шаардлагатай
New Product,Шинэ бүтээгдэхүүн
New Widget,Шинэ виджет
New folder,Шинэ хавтас
Next,Дараах
Next slide,Дараагийн слайд
No,Үгүй
No address data received,Хаягийн мэдээлэл хүлээж аваагүй
"No attribute groups found for query ""${query}""","""${query}"" хайлтаар атрибутын бүлэг олдсонгүй"
No carriers registered,Бүртгэгдсэн тээвэрлэгч байхгүй
"No categories found for ""${term}""","""${term}""-д тохирох ангилал олдсонгүй"
"No categories found for query ""${query}""","""${query}"" хайлтаар ангилал олдсонгүй"
"No collections found for query ""${query}""","""${query}"" хайлтаар цуглуулга олдсонгүй"
No coupon to remove,Устгах купон байхгүй
No custom fields yet.,Одоогоор тусгай талбар алга.
No data available,Мэдээлэл байхгүй
No free shipping,Үнэгүй хүргэлт байхгүй
No limit,Хязгааргүй
No maximum,Дээд хязгааргүй
No minimum,Доод хязгааргүй
No notes from customer,Үйлчлүүлэгчээс тэмдэглэл байхгүй
"No options found for ""${code}""","""${code}""-д тохирох сонголт олдсонгүй"
"No products found for query ""${query}""","""${query}"" хайлтаар бүтээгдэхүүн олдсонгүй"
No shipments yet — your order is being prepared.,Одоогоор илгээмж алга — таны захиалга бэлтгэгдэж байна.
No shipping is required for this order,Энэ захиалгад хүргэлт шаардлагагүй
No shipping methods available,Боломжтой хүргэлтийн арга байхгүй
No shipping options are available for your location,Таны байршилд хүргэлтийн сонголт байхгүй
No shipping required,Хүргэлт шаардлагагүй
No widgets match your search.,Таны хайлтад тохирох виджет алга.
None,Байхгүй
Not set,Тохируулаагүй
Not visible to customers,Үйлчлүүлэгчдэд харагдахгүй
Notify customer,Үйлчлүүлэгчид мэдэгдэх
Open in new tab,Шинэ табд нээх
Operator,Оператор
Option text,Сонголтын текст
Optional help text shown to admins.,Админд харагдах нэмэлт тусламжийн текст.
Order Placed,Захиалга өгсөн
Order detail,Захиалгын дэлгэрэнгүй
Order must contain products matching all conditions below,Захиалгад доорх бүх нөхцөлд тохирох бүтээгдэхүүн байх ёстой
Order not found,Захиалга олдсонгүй
Orders,Захиалгууд
Others,Бусад
Out of Stock,Дууссан
Outline,Контур
Overview of sales data over selected periods,Сонгосон хугацааны борлуулалтын тойм мэдээлэл
Overview of total sales and order status over the lifetime of your store,Дэлгүүрийн нийт борлуулалт болон захиалгын статусын тойм
Page,Хуудас
Page ${currentPage} of ${totalPages},${totalPages}-аас ${currentPage} дахь хуудас
Page not found,Хуудас олдсонгүй
Password is required,Нууц үг оруулах шаардлагатай
Password must be at least ${minLength} characters long,Нууц үг хамгийн багадаа ${minLength} тэмдэгт байх ёстой
Paste a URL or a relative path starting with ,URL эсвэл -ээр эхэлсэн харьцангуй замыг буулгана уу 
Pattern (regex),Загвар (regex)
Pay with PayPal,PayPal-аар төлөх
Pay with Stripe,Stripe-аар төлөх
Payment Status,Төлбөрийн статус
Placing Order...,Захиалга өгч байна...
Please enter a coupon code,Купоны код оруулна уу
Please enter a valid URL,Зөв URL оруулна уу
Please enter a valid email address,Зөв имэйл хаяг оруулна уу
Please enter your email to receive a reset link,Сэргээх холбоос авахын тулд имэйлээ оруулна уу
Please provide billing address to proceed,Үргэлжлүүлэхийн тулд төлбөрийн хаягаа оруулна уу
Please select a payment method,Төлбөрийн арга сонгоно уу
Please select a shipping method,Хүргэлтийн арга сонгоно уу
Please sign in to your account,Бүртгэлдээ нэвтэрнэ үү
Position,Байрлал
Previous,Өмнөх
Previous slide,Өмнөх слайд
Price: ${value},Үнэ: ${value}
Primary,Үндсэн
Print Label,Шошго хэвлэх
Processing Payment...,Төлбөр боловсруулж байна...
Product Description,Бүтээгдэхүүний тайлбар
Product is out of stock,Бүтээгдэхүүн дууссан
Product name is required,Бүтээгдэхүүний нэр оруулах шаардлагатай
Product not found,Бүтээгдэхүүн олдсонгүй
Product type,Бүтээгдэхүүний төрөл
Products,Бүтээгдэхүүнүүд
Reason for cancellation,Цуцлах шалтгаан
Reason is required,Шалтгаан оруулах шаардлагатай
Recently placed orders by this customer,Энэ үйлчлүүлэгчийн саяхан өгсөн захиалгууд
Redirecting to PayPal...,PayPal руу шилжүүлж байна...
Reference type,Лавлагааны төрөл
Registration failed,Бүртгэл амжилтгүй боллоо
Remove item,Зүйл устгах
Remove sub-field,Дэд талбар устгах
Required,Заавал
Requires at least one item to create a cart,Сагс үүсгэхэд хамгийн багадаа нэг зүйл шаардлагатай
Reset Password,Нууц үг сэргээх
Reset Your Password,Нууц үгээ сэргээх
Reset password,Нууц үг сэргээх
Reset your password,Нууц үгээ сэргээх
Root,Үндэс
SKU,SKU
SKU ${sku},SKU ${sku}
SKU must be unique,SKU давтагдашгүй байх ёстой
SKU: ${sku},SKU: ${sku}
Sale Statistics,Борлуулалтын статистик
Save custom fields,Тусгай талбар хадгалах
Save field,Талбар хадгалах
Saved successfully!,Амжилттай хадгаллаа!
Search attribute groups,Атрибутын бүлэг хайх
Search categories,Ангилал хайх
Search collections,Цуглуулга хайх
"Search for products, orders, and other resources","Бүтээгдэхүүн, захиалга болон бусад нөөц хайх"
Search products,Бүтээгдэхүүн хайх
Search results for: ${keyword},${keyword}-ийн хайлтын үр дүн
Search widgets…,Виджет хайх…
Searching...,Хайж байна...
Search…,Хайх…
See all orders →,Бүх захиалгыг харах →
Select,Сонгох
Select a carrier,Тээвэрлэгч сонгох
Select at least one item to ship,Илгээх дор хаяж нэг зүйл сонгоно уу
Select groups the attribute belongs to,Атрибут хамаарах бүлгүүдийг сонгоно уу
Select shipping method,Хүргэлтийн арга сонгох
Select sort,Эрэмбэлэлт сонгох
"Select the items going in this shipment, then add the carrier & tracking.",Энэ илгээмжид орох зүйлсийг сонгоод тээвэрлэгч ба хяналтын дугаарыг нэмнэ үү.
Setting,Тохиргоо
Settings,Тохиргоо
Shipment Status,Илгээмжийн статус
Shipment canceled,Илгээмж цуцлагдсан
Shipment created,Илгээмж үүсгэгдсэн
Shipment marked delivered,Илгээмжийг хүргэгдсэн гэж тэмдэглэв
Shipments,Илгээмжүүд
Shipped,Илгээгдсэн
Shipping (${method}),Хүргэлт (${method})
Shipping Setting,Хүргэлтийн тохиргоо
Show,Харуулах
Show all ${count} options,Бүх ${count} сонголтыг харуулах
Show on storefront,Дэлгүүрт харуулах
Showing ${showing} of ${total},${total}-аас ${showing} харуулж байна
Showing ${start}-${end} of ${total} results,${total} үр дүнгээс ${start}-${end} харуулж байна
Sidebar,Хажуугийн самбар
Sign in to view your orders,Захиалгаа харахын тулд нэвтэрнэ үү
Simple,Энгийн
Sky,Тэнгэр цэнхэр
Sold out,Бүрэн дууссан
Some error occurred. Please try again later.,Алдаа гарлаа. Дараа дахин оролдоно уу.
Some products are not available,Зарим бүтээгдэхүүн боломжгүй байна
Something went wrong! Please try again.,Алдаа гарлаа! Дахин оролдоно уу.
Something went wrong. Please try again later.,Алдаа гарлаа. Дараа дахин оролдоно уу.
Something wrong. Please try again,Алдаа гарлаа. Дахин оролдоно уу
Sort Order,Эрэмбэлэх дараалал
Sort order,Эрэмбэлэх дараалал
Status,Төлөв
Stock,Нөөц
Stripe is not loaded. Please try again.,Stripe ачаалагдаагүй байна. Дахин оролдоно уу.
Style,Загвар
Sub-fields,Дэд талбарууд
Submit Cancellation,Цуцлалт илгээх
Successfully logged in,Амжилттай нэвтэрлээ
Successfully logged out,Амжилттай гарлаа
Tax Setting,Татварын тохиргоо
Test failure,Тест амжилтгүй боллоо
Test failure:,Тест амжилтгүй:
Test success,Тест амжилттай боллоо
Test success:,Тест амжилттай:
Text,Текст
Textarea,Текстийн талбар
The carrier will mark the tracking number as invalid. You will need to purchase a new label if you still intend to ship.,Тээвэрлэгч хянах дугаарыг хүчингүй гэж тэмдэглэнэ. Хэрэв та илгээх бодолтой хэвээр байгаа бол шинэ шошго худалдаж авах шаардлагатай болно.
The customer will receive a delivery confirmation email.,Худалдан авагч хүргэлтийн баталгаажуулалтын имэйл хүлээн авна.
There is no category,Ангилал байхгүй байна
There is no file to display.,Харуулах файл байхгүй байна.
There is no sub folder.,Дэд хавтас байхгүй байна.
There was an error:,Алдаа гарлаа:
This tracking link has expired,Энэ хяналтын холбоосын хугацаа дууссан байна
This tracking link is no longer valid,Энэ хяналтын холбоос хүчингүй болсон байна
Thumbnail,Жижиг зураг
Time must be after ${min},Цаг ${min}-аас хойш байх ёстой
Time must be before ${max},Цаг ${max}-аас өмнө байх ёстой
Toggle Sidebar,Хажуугийн самбар нээх/хаах
Token is invalid or expired,Токен хүчингүй эсвэл хугацаа дууссан байна
Too many items requested,Хэт олон зүйл хүсэлт гаргасан байна
Track,Хянах
Track shipment →,Илгээмж хянах →
Track your order,Захиалгаа хянах
Tracking info updated,Хяналтын мэдээлэл шинэчлэгдлээ
Tracking link,Хяналтын холбоос
Tracking links are good for a limited time. Sign in to your account to see the current status of your order.,Хяналтын холбоос хязгаарлагдмал хугацаанд хүчинтэй. Захиалгынхаа одоогийн төлөвийг харахын тулд бүртгэлдээ нэвтэрнэ үү.
Tracking number,Хянах дугаар
Type,Төрөл
Type / to see the available blocks,Боломжтой блокуудыг харахын тулд / гэж бичнэ үү
UPDATE PASSWORD,НУУЦ ҮГ ШИНЭЧЛЭХ
Update address API not available,Хаяг шинэчлэх API боломжгүй байна
Update field,Талбар шинэчлэх
Upload,Байршуулах
Validation,Баталгаажуулалт
Value,Утга
Value must be a whole number,Утга бүхэл тоо байх ёстой
Value must be at least ${min},Утга дор хаяж ${min} байх ёстой
Value must be at most ${max},Утга хамгийн ихдээ ${max} байх ёстой
View All Products,Бүх бүтээгдэхүүнийг харах
View JSON,JSON харах
View all customers,Бүх худалдан авагчдыг харах
Visible to customer,Худалдан авагчид харагдана
Void Label,Шошго хүчингүй болгох
Void label,Шошго хүчингүй болгох
Void this shipping label?,Энэ тээврийн шошгыг хүчингүй болгох уу?
"We could not find this order. It may have been removed, or it may belong to a different account.",Бид энэ захиалгыг олж чадсангүй. Энэ нь устгагдсан эсвэл өөр бүртгэлд хамаарч магадгүй.
"We could not verify this link. If you received it in an email from us, please try again from the most recent message, or sign in to your account.",Бид энэ холбоосыг баталгаажуулж чадсангүй. Хэрэв та үүнийг бидний имэйлээр хүлээн авсан бол хамгийн сүүлийн зурвасаас дахин оролдох эсвэл бүртгэлдээ нэвтэрнэ үү.
We have sent you an email with a link to reset your password. Please check your inbox.,Бид таны нууц үгийг шинэчлэх холбоос бүхий имэйл илгээлээ. Ирсэн имэйлээ шалгана уу.
Weekly,Долоо хоног тутам
Welcome to our store!,Манай дэлгүүрт тавтай морилно уу!
"Where you ship, shipping methods and delivery fee","Хаашаа илгээх, тээврийн арга болон хүргэлтийн төлбөр"
White,Цагаан
Yes,Тийм
You are already logged in,Та аль хэдийн нэвтэрсэн байна
You are here:,Та энд байна:
You have no attribute groups to display,Харуулах шинж чанарын бүлэг байхгүй байна
You have no categories to display,Харуулах ангилал байхгүй байна
You have no collections to display,Харуулах цуглуулга байхгүй байна
You have no products to display,Харуулах бүтээгдэхүүн байхгүй байна
You have not placed any orders yet.,Та одоогоор ямар ч захиалга өгөөгүй байна.
You paid for,Та төлбөр төлсөн
You will be redirected to PayPal for payment processing.,Төлбөр боловсруулахаар таныг PayPal руу шилжүүлнэ.
Your Orders,Таны захиалгууд
Your order #${number} has been delivered,Таны #${number} захиалга хүргэгдлээ
Your order #${number} is on the way,Таны #${number} захиалга замдаа явж байна
Your order has been confirmed!,Таны захиалга баталгаажлаа!
Your password has been updated successfully.,Таны нууц үг амжилттай шинэчлэгдлээ.
across,даяар
available to ship,илгээх боломжтой
breadcrumb,замчлал
e.g. Care instructions,ж.нь Арчилгааны заавар
"e.g. New, Sale, Limited","ж.нь Шинэ, Хямдрал, Хязгаарлагдмал"
e.g. Question,ж.нь Асуулт
e.g. care_instructions,ж.нь care_instructions
e.g. question,ж.нь question
item,зүйл
items,зүйл
left to ship,илгээхэд үлдсэн
of,-ийн
of ${count},${count}-аас
unit,нэгж
units,нэгж
${count} changes published.,${count} өөрчлөлт нийтлэгдлээ.
${count} child widgets,${count} дэд виджет
${count} countries,${count} улс
${count} on ${route},${route} дээр ${count}
${count} ops total,нийт ${count} үйлдэл
${count} pending ops,${count} хүлээгдэж буй үйлдэл
${count} pending ops on,дараах дээрх ${count} хүлээгдэж буй үйлдэл
${count} routes,${count} маршрут
${direction} failed,${direction} амжилтгүй боллоо
${method} — ${zone} rate,${method} — ${zone} тариф
