"Blog category","Блогийн ангилал"
Pricing & Tax,Үнэ ба татвар
"Price rounding, tax calculation, classes & rates","Үнийн бөөрөнхийлөлт, татварын тооцоо, ангилал ба хувь"
Social sharing preview,Сошиал хуваалцалтын урьдчилан харах
Account menu,Бүртгэлийн цэс
Grid columns.,Сүлжээний баганууд.
Product listing and image settings,Бүтээгдэхүүний жагсаалт ба зургийн тохиргоо
Edit variant,Хувилбар засах
Sold,Зарагдсан
Not collected (zero-total order),Цуглуулаагүй (нийт дүн тэг захиалга)
All landing pages,Бүх бууж ирэх хуудас
System setting saved,Системийн тохиргоо хадгалагдлаа
All ${attribute},Бүх ${attribute}
${count} of ${total},${total}-аас ${count}
No variants match the selected options.,Сонгосон сонголтуудад тохирох хувилбар алга.
This product has no other variants yet.,Энэ бүтээгдэхүүнд өөр хувилбар одоогоор алга.
Optional. Shown under the row heading.,Заавал биш. Мөрийн гарчгийн доор харагдана.
A short description for this row,Энэ мөрийн товч тайлбар
Product count,Бүтээгдэхүүний тоо
Total products to show per collection.,Цуглуулга тус бүрд харуулах бүтээгдэхүүний нийт тоо.
Shown above the products. The shelf renders nothing at all when no products qualify.,Бүтээгдэхүүний дээр харагдана. Тохирох бүтээгдэхүүн байхгүй бол энэ хэсэг огт харагдахгүй.
e.g. You may also like,жишээ нь: Танд бас таалагдаж магадгүй
Products to show,Харуулах бүтээгдэхүүн
Between 1 and 12 — 3 to 5 works best.,1-ээс 12-ын хооронд — 3-5 нь хамгийн тохиромжтой.
Product count is required,Бүтээгдэхүүний тоо шаардлагатай
Nearest,Хамгийн ойрын
Round up,Дээш бөөрөнхийлөх
Round down,Доош бөөрөнхийлөх
Line item,Захиалгын мөр
Per unit,Нэгж тутамд
Price rounding,Үнийн бөөрөнхийлөлт
How every monetary amount is rounded across the store.,Дэлгүүр даяар мөнгөн дүн бүрийг хэрхэн бөөрөнхийлөх.
Pricing settings have been saved successfully!,Үнийн тохиргоо амжилттай хадгалагдлаа!
Rounding mode,Бөөрөнхийлөх горим
The direction used when rounding prices to the decimal precision.,Үнийг аравтын нарийвчлалд бөөрөнхийлөх чиглэл.
Decimal precision,Аравтын нарийвчлал
Number of decimal places prices are rounded to.,Үнийг хэдэн аравтын оронд бөөрөнхийлөх.
Tax rounding mode,Татварын бөөрөнхийлөх горим
The direction used when rounding the calculated tax amount.,Тооцоолсон татварын дүнг бөөрөнхийлөх чиглэл.
Tax decimal precision,Татварын аравтын нарийвчлал
Number of decimal places the tax amount is rounded to.,Татварын дүнг хэдэн аравтын оронд бөөрөнхийлөх.
Tax rounding level,Татварын бөөрөнхийлөх түвшин
"Where tax rounding is applied: per unit, per line, or on the order total.","Татварын бөөрөнхийлөлтийг хаана хэрэглэх: нэгж тутамд, мөр тутамд эсвэл захиалгын нийт дүнд."
Catalog prices include tax,Каталогийн үнэд татвар багтсан
Enable when the product prices you enter already include tax.,Таны оруулж буй бүтээгдэхүүний үнэд татвар аль хэдийн багтсан бол идэвхжүүлнэ үү.
Catalog settings have been saved successfully!,Каталогийн тохиргоо амжилттай хадгалагдлаа!
Product listing,Бүтээгдэхүүний жагсаалт
Control how products appear in storefront listings.,Дэлгүүрийн жагсаалтад бүтээгдэхүүн хэрхэн харагдахыг тохируулна.
Show out of stock products,Нөөцгүй бүтээгдэхүүнийг харуулах
"When enabled, products with no available stock stay visible on the storefront.",Идэвхжүүлсэн үед нөөцгүй бүтээгдэхүүн дэлгүүрт харагдсаар байна.
Products per page,Хуудас тутамд бүтээгдэхүүн
Number of products shown per page on category and collection listings.,Ангилал болон цуглуулгын жагсаалтад хуудас тутамд харуулах бүтээгдэхүүний тоо.
Product images,Бүтээгдэхүүний зураг
"The size your product images are created at. This sets the reference aspect ratio and the maximum resolution used for product images across the storefront — listings, cart, checkout, and product pages. Each placement fits its width and derives the height from this ratio.","Таны бүтээгдэхүүний зургууд үүсгэгдэх хэмжээ. Энэ нь дэлгүүр даяарх бүтээгдэхүүний зургийн жишиг харьцаа болон дээд нягтралыг тогтооно — жагсаалт, сагс, төлбөр тооцоо, бүтээгдэхүүний хуудас. Байршил бүр өөрийн өргөнд тохирч, өндрийг энэ харьцаанаас гаргана."
Original image width (px),Эх зургийн өргөн (px)
"The width of your original product images. 1920px or larger is recommended so the product-page zoom stays sharp on large, high-density screens.","Таны эх бүтээгдэхүүний зургийн өргөн. Бүтээгдэхүүний хуудасны томруулалт том, өндөр нягтралтай дэлгэц дээр тод байхын тулд 1920px буюу түүнээс их байхыг зөвлөж байна."
Original image height (px),Эх зургийн өндөр (px)
The height of your original product images. Width ÷ height is the aspect ratio applied to every product image.,Таны эх бүтээгдэхүүний зургийн өндөр. Өргөн ÷ өндөр нь бүтээгдэхүүний зураг бүрд хэрэглэгдэх харьцаа юм.
Related products rules,Холбоотой бүтээгдэхүүний дүрэм
Applies to all products in this category that inherit their rules. Products with their own override are unaffected.,"Энэ ангилалд байгаа, дүрмээ өвлөж авдаг бүх бүтээгдэхүүнд хамаарна. Өөрийн тусгай тохиргоотой бүтээгдэхүүнд нөлөөлөхгүй."
Override the global rules for this category,Энэ ангилалд глобал дүрмийг дарж бичих
Overridden on this category,Энэ ангилалд дарж бичсэн
Source: Global settings,Эх сурвалж: Глобал тохиргоо
Products in this category follow the global related-products rules. Preview what shoppers see from any product’s edit screen.,Энэ ангилалын бүтээгдэхүүнүүд холбоотой бүтээгдэхүүний глобал дүрмийг дагана. Худалдан авагчид юу харахыг аль ч бүтээгдэхүүний засах дэлгэцээс урьдчилан үзнэ үү.
Regional & Units,Бүс нутаг ба нэгж
Currency,Мөнгөн тэмдэгт
Default currency for new carts and price display. Existing orders keep their own currency.,Шинэ сагс болон үнийн харуулалтын анхдагч мөнгөн тэмдэгт. Одоо байгаа захиалгууд өөрсдийн мөнгөн тэмдэгтээ хадгална.
Timezone,Цагийн бүс
Timezone used to display dates in the store.,Дэлгүүрт огноо харуулахад ашиглах цагийн бүс.
Weight unit,Жингийн нэгж
Dimension unit,Хэмжээсийн нэгж
Branding,Брэндинг
"Your logo, favicon, and the image shown when your store is shared on social media.","Таны лого, favicon болон дэлгүүрийг сошиал медиад хуваалцахад харагдах зураг."
Logo,Лого
Shown in the storefront header. Use a high-resolution PNG with a transparent background — it is scaled to fit your theme automatically and served as optimized WebP.,"Дэлгүүрийн толгой хэсэгт харагдана. Тунгалаг дэвсгэртэй өндөр нягтралтай PNG ашиглана уу — энэ нь таны загварт автоматаар тохирч, оновчилсон WebP хэлбэрээр дамжина."
Favicon,Favicon
The small icon in browser tabs. Upload a square PNG of at least 512×512px — the 16/32px icons and the 180px Apple touch icon are generated automatically.,Хөтчийн табан дээрх жижиг дүрс. Дор хаяж 512×512px хэмжээтэй дөрвөлжин PNG байршуулна уу — 16/32px дүрс болон 180px Apple touch icon автоматаар үүснэ.
Social sharing image,Сошиал хуваалцалтын зураг
"The preview shown when a page is shared on social media (Open Graph / Twitter). Recommended 1200×630px (1.91:1), PNG or JPG.","Хуудсыг сошиал медиад хуваалцахад харагдах урьдчилсан харагдац (Open Graph / Twitter). Санал болгох хэмжээ 1200×630px (1.91:1), PNG эсвэл JPG."
Analytics,Аналитик
Google Analytics 4 Measurement ID,Google Analytics 4 хэмжилтийн ID
Found in Google Analytics under Admin → Data Streams → your web stream. Leave empty to disable tracking.,Google Analytics дотор Admin → Data Streams → таны вэб урсгал хэсэгт байна. Хяналтыг унтраахын тулд хоосон орхино уу.
"Enter a valid GA4 Measurement ID, e.g. G-XXXXXXXXXX","Хүчинтэй GA4 хэмжилтийн ID оруулна уу, жишээ нь G-XXXXXXXXXX"
Allow guest checkout,Зочноор захиалга өгөхийг зөвшөөрөх
"When enabled, shoppers can place an order without an account. When disabled, they must log in or register to check out.",Идэвхжүүлсэн үед худалдан авагчид бүртгэлгүйгээр захиалга өгөх боломжтой. Идэвхгүй үед тэд нэвтрэх эсвэл бүртгүүлэх шаардлагатай.
Enable rule-based related products,Дүрэмд суурилсан холбоотой бүтээгдэхүүнийг идэвхжүүлэх
Rules fill remaining slots top-down (manual picks always come first). Reorder to change priority.,Дүрмүүд үлдсэн байрыг дээрээс доош дүүргэнэ (гараар сонгосон нь үргэлж эхэнд байна). Тэргүүлэх эрэмбийг өөрчлөхийн тулд дарааллыг солино уу.
Move rule up,Дүрмийг дээш зөөх
Move rule down,Дүрмийг доош зөөх
Match these attributes,Эдгээр шинжийг тааруулах
No select-type attributes exist yet.,Сонголтын төрлийн шинж одоогоор алга.
Within scope,Хүрээний дотор
Same category,Ижил ангилал
Same collection,Ижил цуглуулга
"Attribute matching always combines with a scope — ""same color"" across the whole catalog would relate unrelated products.",Шинжийн тохирол үргэлж хүрээтэй хослоно — бүх каталогийн хэмжээнд “ижил өнгө” гэвэл хамааралгүй бүтээгдэхүүнийг холбоно.
Only show products in a similar price range,Зөвхөн ойролцоо үнийн хүрээний бүтээгдэхүүнийг харуулах
Within ±,±
% of the product price,% бүтээгдэхүүний үнийн
Fill remaining slots with bestsellers,Үлдсэн байрыг хамгийн их зарагдсан бараагаар дүүргэх
Recompute failed,Дахин тооцоолол амжилтгүй
Co-purchase statistics recomputed,Хамт худалдан авалтын статистикийг дахин тооцоолов
Related products,Холбоотой бүтээгдэхүүн
Rules for the Related-products shelf on product pages. Categories and products can override them; manual picks on a product always come first.,Бүтээгдэхүүний хуудсан дахь “Холбоотой бүтээгдэхүүн” хэсгийн дүрэм. Ангилал болон бүтээгдэхүүн эдгээрийг дарж бичиж болно; бүтээгдэхүүн дээрх гар сонголт үргэлж эхэнд байна.
"The Upsell shelf reuses these same rules, restricted to products PRICIER than the one being viewed (with the price band percent as the upper cap when enabled) — no bestseller fill, and no upsell for products set to “Manual picks only”.",Upsell хэсэг эдгээр ижил дүрмийг ашигладаг бөгөөд үзэж буй бүтээгдэхүүнээс ҮНЭТЭЙ бүтээгдэхүүнээр хязгаарлагдана (идэвхтэй үед үнийн хүрээний хувь нь дээд хязгаар болно) — хамгийн их зарагдсан бараагаар нөхөхгүй бөгөөд “Зөвхөн гар сонголт” тохируулсан бүтээгдэхүүнд upsell байхгүй.
Frequently bought together,Ихэвчлэн хамт худалдаж авдаг
"Co-purchase recommendations are trusted only above these thresholds. Defaults suit small stores — raising them means fewer, stronger suggestions.",Хамт худалдан авалтын зөвлөмжийг зөвхөн эдгээр босгоос дээш үед найдвартай гэж үзнэ. Анхдагч утга нь жижиг дэлгүүрт тохиромжтой — нэмэгдүүлбэл цөөн боловч илүү найдвартай санал гарна.
Min times bought together,Хамт худалдаж авсан хамгийн бага тоо
A pair must co-occur in at least this many orders.,Хос бүтээгдэхүүн дор хаяж энэ тооны захиалгад хамт орсон байх ёстой.
Min orders of the product,Бүтээгдэхүүний хамгийн бага захиалгын тоо
Orders of a product before its data is trusted.,Бүтээгдэхүүний өгөгдлийг найдвартай гэж үзэхээс өмнөх захиалгын тоо.
Min lift,Хамгийн бага lift
Above 1 = bought together more than chance. Filters ubiquitous bestsellers.,1-ээс дээш = санамсаргүй тохиолдлоос илүү олон удаа хамт худалдаж авсан. Хаа сайгүй тааралддаг шилдэг борлуулалттай барааг шүүнэ.
Fill empty slots with bestsellers,Хоосон байрыг хамгийн их зарагдсан бараагаар дүүргэх
"Below the thresholds, the shelf shows category and store bestsellers instead of rendering nothing.",Босгоос доош үед энэ хэсэг юу ч харуулахгүй байхын оронд ангилал болон дэлгүүрийн шилдэг борлуулалттай барааг харуулна.
Co-purchase data last computed ${date} from ${total} orders (${pairs} product pairs).,Хамт худалдан авалтын өгөгдлийг сүүлд ${date}-нд ${total} захиалгаас тооцоолсон (${pairs} бүтээгдэхүүний хос).
"No co-purchase data yet — it is computed nightly, or recompute now.","Хамт худалдан авалтын өгөгдөл одоогоор алга — шөнө бүр тооцоологддог, эсвэл одоо дахин тооцоолно уу."
Recomputing…,Дахин тооцоолж байна…
Recompute now,Одоо дахин тооцоолох
"Your webhook URL should be: https://yourdomain.com/api/stripe/webhook. Enable these events (or ""All events""): payment_intent.succeeded, payment_intent.amount_capturable_updated, payment_intent.payment_failed, payment_intent.canceled, charge.refunded.","Таны webhook URL нь: https://yourdomain.com/api/stripe/webhook байх ёстой. Эдгээр үйл явдлыг идэвхжүүлнэ үү (эсвэл “All events”): payment_intent.succeeded, payment_intent.amount_capturable_updated, payment_intent.payment_failed, payment_intent.canceled, charge.refunded."
Hidden — same variant group,Нуугдсан — ижил хувилбарын бүлэг
Hidden — disabled or out of stock,Нуугдсан — идэвхгүй эсвэл нөөцгүй
no orders yet — ranked newest first,захиалга одоогоор алга — хамгийн шинээр эрэмбэлэв
Operation failed,Үйлдэл амжилтгүй боллоо
Add products,Бүтээгдэхүүн нэмэх
No manual picks yet.,Гараар сонгосон зүйл одоогоор алга.
(product unavailable),(бүтээгдэхүүн боломжгүй)
Overridden on this product,Энэ бүтээгдэхүүн дээр дарж бичсэн
Source: category,Эх сурвалж: ангилал
Could not pin the product,Бүтээгдэхүүнийг бэхлэж чадсангүй
Recommendations,Зөвлөмжүүд
What the Related-products and Frequently-bought-together shelves show for this product. The Upsell shelf derives from the related rules (pricier matches only) — nothing to configure here.,Энэ бүтээгдэхүүний хувьд “Холбоотой бүтээгдэхүүн” болон “Ихэвчлэн хамт худалдаж авдаг” хэсгүүд юу харуулах вэ. Upsell хэсэг нь холбоотой бүтээгдэхүүний дүрмээс үүсдэг (зөвхөн илүү үнэтэй тохирлууд) — энд тохируулах зүйл байхгүй.
Rules,Дүрмүүд
Inherit (category or global rules),Өвлөх (ангилал эсвэл глобал дүрэм)
Custom rules for this product,Энэ бүтээгдэхүүний тусгай дүрэм
Manual picks only,Зөвхөн гар сонголт
Manual picks,Гар сонголт
"Always shown first, in this order, before any rules fill the remaining slots.","Дүрмүүд үлдсэн байрыг дүүргэхээс өмнө үргэлж эхэнд, энэ дарааллаар харагдана."
Shoppers will see,Худалдан авагчид дараахыг харна
Based on the last saved configuration.,Сүүлд хадгалсан тохиргоонд үндэслэсэн.
Mode changed — save to update this preview.,Горим өөрчлөгдлөө — энэ урьдчилан харагдацыг шинэчлэхийн тулд хадгална уу.
Shoppers will see no related products for this product with the current configuration.,Одоогийн тохиргоогоор худалдан авагчид энэ бүтээгдэхүүний холбоотой бүтээгдэхүүнийг харахгүй.
manual pick,гар сонголт
bestseller fallback,шилдэг борлуулалтын нөөц
Mode,Горим
Automatic (co-purchase data),Автомат (хамт худалдан авалтын өгөгдөл)
"Manual picks first, auto-fill the rest","Эхлээд гар сонголт, үлдсэнийг автоматаар дүүргэх"
Mode and manual picks apply to this variant only — configure siblings identically for group-wide behavior.,Горим болон гар сонголт зөвхөн энэ хувилбарт хамаарна — бүлэг даяар ижил ажиллуулахын тулд бусад хувилбаруудыг адилхан тохируулна уу.
Manual picks are ignored in Automatic mode — switch to “Manual first” or “Manual only” to use them.,Автомат горимд гар сонголтыг үл тооно — ашиглахын тулд “Эхлээд гар” эсвэл “Зөвхөн гар” руу шилжинэ үү.
Computed from orders,Захиалгаас тооцоолсон
${count} orders of this product · data from ${total} orders total,Энэ бүтээгдэхүүний ${count} захиалга · нийт ${total} захиалгын өгөгдлөөс
"No co-purchase data for this product yet — it accumulates as orders come in. With fallback enabled, the shelf shows bestsellers meanwhile (see below).",Энэ бүтээгдэхүүний хамт худалдан авалтын өгөгдөл одоогоор алга — захиалга ирэх тусам хуримтлагдана. Нөөц сонголт идэвхтэй үед энэ хэсэг түр хугацаанд шилдэг борлуулалттай барааг харуулна (доороос үзнэ үү).
Together,Хамт
Confidence,Итгэл
Lift,Lift
(unavailable),(боломжгүй)
hidden,нуугдсан
shown,харуулсан
below threshold,босгоос доош
Pin,Бэхлэх
Shoppers will see (frequently bought together),Худалдан авагчид дараахыг харна (ихэвчлэн хамт худалдаж авдаг)
Shoppers will see no frequently-bought-together products with the current configuration.,Одоогийн тохиргоогоор худалдан авагчид ихэвчлэн хамт худалдаж авдаг бүтээгдэхүүнийг харахгүй.
co-purchase data,хамт худалдан авалтын өгөгдөл
category bestsellers (fallback),ангилалын шилдэг борлуулалт (нөөц)
store bestsellers (fallback),дэлгүүрийн шилдэг борлуулалт (нөөц)
Exclude this product from recommendations,Энэ бүтээгдэхүүнийг зөвлөмжөөс хасах
Never suggest this product alongside others,Энэ бүтээгдэхүүнийг бусадтай хамт хэзээ ч санал болгохгүй
Enter a type or remove the row,Төрөл оруулах эсвэл мөрийг устгана уу
Use type/subtype (video/mp4) or a family (video/*),Төрөл/дэд төрөл (video/mp4) эсвэл бүлэг (video/*) ашиглана уу
MB,МБ
Enter a size,Хэмжээ оруулна уу
Enter a size greater than zero,Тэгээс их хэмжээ оруулна уу
Remove override,Дарж бичсэнийг устгах
Add type override,Төрлийн дарж бичилт нэмэх
Managed by configuration (config file or environment variable),Тохиргоогоор удирдагдана (тохиргооны файл эсвэл орчны хувьсагч)
File Storage & Uploads,Файл хадгалалт ба байршуулалт
"Where uploaded files (product images, banners, media) are stored, which types are allowed, and how big they can be","Байршуулсан файлууд (бүтээгдэхүүний зураг, баннер, медиа) хаана хадгалагдах, ямар төрөл зөвшөөрөгдөх, хэр том байж болох"
Local file system,Дотоод файлын систем
Amazon S3 / S3-compatible,Amazon S3 / S3-тэй нийцтэй
Azure Blob Storage,Azure Blob Storage
Google Cloud Storage,Google Cloud Storage
Bucket,Bucket
Bucket is required,Bucket шаардлагатай
Bucket name,Bucket-ийн нэр
Region,Бүс
Region is required,Бүс шаардлагатай
For S3-compatible services use the provider value (e.g. fsn1 for Hetzner),S3-тэй нийцтэй үйлчилгээнд нийлүүлэгчийн утгыг ашиглана уу (жишээ нь Hetzner-ийн хувьд fsn1)
Access key ID,Access key ID
