Welcome Back!,С возвращением!
Failed to add shipping method.,Не удалось добавить способ доставки.
Failed to apply coupon,Не удалось применить купон
Failed to cancel shipment,Не удалось отменить отгрузку
Failed to checkout,Не удалось оформить заказ
Failed to create field,Не удалось создать поле
Failed to create shipment,Не удалось создать отгрузку
Failed to delete address,Не удалось удалить адрес
Failed to load custom fields,Не удалось загрузить пользовательские поля
Failed to mark delivered,Не удалось отметить как доставлено
Failed to place order,Не удалось оформить заказ
Failed to place order. Please try again.,"Не удалось оформить заказ. Пожалуйста, попробуйте снова."
Failed to remove coupon,Не удалось удалить купон
Failed to remove coupon.,Не удалось удалить купон.
Failed to save custom fields,Не удалось сохранить пользовательские поля
Failed to set shipping method,Не удалось установить способ доставки
Failed to set shipping note,Не удалось установить примечание к доставке
Failed to update address,Не удалось обновить адрес
Failed to update field,Не удалось обновить поле
Failed to update shipment,Не удалось обновить отгрузку
Failed to update tracking info,Не удалось обновить данные отслеживания
Failed to void label,Не удалось аннулировать ярлык
Failed!,Ошибка!
Fields applicable to this entity type. Adding a field applies it to all entities of this type.,"Поля, применимые к данному типу сущности. Добавление поля применяет его ко всем сущностям этого типа."
File size must be less than ${maxSize},Размер файла должен быть меньше ${maxSize}
Filter Products,Фильтровать товары
Filters,Фильтры
First,Первая
Free,Бесплатно
Free shipping,Бесплатная доставка
Free shipping ?,Бесплатная доставка?
Fulfill ${count} orders,Выполнить ${count} заказов
Full Name is required,Полное имя обязательно
Fully shipped,Полностью отгружено
General,Общие
Get qty,Получаемое количество
Get qty is required,Получаемое количество обязательно
Ghost,Призрачная
Go,Перейти
Go to Login,Перейти к входу
Go to next page,Перейти на следующую страницу
Go to previous page,Перейти на предыдущую страницу
Hello,Привет
Hide from storefront,Скрыть с витрины
ID,ID
In Stock,В наличии
Inactive,Неактивно
Inclusive of tax ${totalTaxAmount},Включая налог ${totalTaxAmount}
Insert,Вставить
Invalid address,Неверный адрес
Invalid cart,Неверная корзина
Invalid cart id,Неверный ID корзины
Invalid coupon,Неверный купон
Invalid customer,Неверный клиент
Invalid customer id,Неверный ID клиента
Invalid email or password,Неверный email или пароль
Invalid format,Неверный формат
Invalid quantity,Неверное количество
Is Filterable?,Можно фильтровать?
Is Required?,Обязательно?
Item,Позиция
Items,Позиции
Items in this shipment will return to the order's unshipped pool. This action cannot be undone.,Позиции этой отгрузки вернутся в пул неотгруженных товаров заказа. Это действие нельзя отменить.
Key,Ключ
Key is required,Ключ обязателен
Label,Метка
Label voided,Ярлык аннулирован
Language,Язык
Last,Последняя
Lifetime Sales,Продажи за всё время
Light gray,Светло-серый
Limit,Лимит
Link,Ссылка
Loading,Загрузка
Log in,Войти
Logging in...,Вход...
Logging out...,Выход...
Login failed,Не удалось войти
Logout failed,Не удалось выйти
Look like you just started. No bestsellers yet.,"Похоже, вы только начали. Бестселлеров пока нет."
"Lowercase letters, digits, underscore. Immutable.","Строчные буквы, цифры, подчёркивание. Неизменяемо."
Manage the general information of the attribute.,Управление общей информацией об атрибуте.
Manage the setting of the attribute.,Управление настройками атрибута.
Mark as shipped,Отметить как отгружено
Mark delivered,Отметить как доставлено
Mark shipment as delivered?,Отметить отгрузку как доставленную?
Max length,Макс. длина
Max of Y,Максимум Y
Max of Y is required,Максимум Y обязателен
Max value,Макс. значение
Min length,Мин. длина
Min value,Мин. значение
Minimum quantity,Минимальное количество
Mint,Мятный
Monthly,Ежемесячно
More,Ещё
More pages,Ещё страницы
Move down,Переместить вниз
Move up,Переместить вверх
Multiselect,Множественный выбор
Must be at least ${n},Должно быть не менее ${n}
Must be at least ${n} characters,Должно быть не менее ${n} символов
Must be at most ${n},Должно быть не более ${n}
Must be at most ${n} characters,Должно быть не более ${n} символов
"Must start with a letter; lowercase letters, digits, underscore only","Должно начинаться с буквы; только строчные буквы, цифры и подчёркивание"
Name is required,Имя обязательно
New Product,Новый товар
New Widget,Новый виджет
New folder,Новая папка
Next,Далее
Next slide,Следующий слайд
No,Нет
No address data received,Данные адреса не получены
"No attribute groups found for query ""${query}""","Группы атрибутов по запросу ""${query}"" не найдены"
No carriers registered,Перевозчики не зарегистрированы
"No categories found for ""${term}""","Категории по запросу ""${term}"" не найдены"
"No categories found for query ""${query}""","Категории по запросу ""${query}"" не найдены"
"No collections found for query ""${query}""","Коллекции по запросу ""${query}"" не найдены"
No coupon to remove,Нет купона для удаления
No custom fields yet.,Пока нет пользовательских полей.
No data available,Нет доступных данных
No free shipping,Бесплатная доставка недоступна
No limit,Без ограничения
No maximum,Без максимума
No minimum,Без минимума
No notes from customer,Примечаний от клиента нет
"No options found for ""${code}""","Опции для ""${code}"" не найдены"
"No products found for query ""${query}""","Товары по запросу ""${query}"" не найдены"
No shipments yet — your order is being prepared.,Отправлений пока нет — ваш заказ готовится.
No shipping is required for this order,Для этого заказа доставка не требуется
No shipping methods available,Нет доступных способов доставки
No shipping options are available for your location,Для вашего местоположения нет доступных вариантов доставки
No shipping required,Доставка не требуется
No widgets match your search.,Виджеты по вашему запросу не найдены.
None,Нет
Not set,Не задано
Not visible to customers,Не видно клиентам
Notify customer,Уведомить клиента
Open in new tab,Открыть в новой вкладке
Operator,Оператор
Option text,Текст опции
Optional help text shown to admins.,Необязательный текст подсказки для администраторов.
Order Placed,Заказ оформлен
Order detail,Детали заказа
Order must contain products matching all conditions below,"Заказ должен содержать товары, соответствующие всем условиям ниже"
Order not found,Заказ не найден
Orders,Заказы
Others,Прочее
Out of Stock,Нет в наличии
Outline,Контур
Overview of sales data over selected periods,Обзор данных о продажах за выбранные периоды
Overview of total sales and order status over the lifetime of your store,Обзор общих продаж и статусов заказов за всё время работы магазина
Page,Страница
Page ${currentPage} of ${totalPages},Страница ${currentPage} из ${totalPages}
Page not found,Страница не найдена
Password is required,Пароль обязателен
Password must be at least ${minLength} characters long,Пароль должен содержать не менее ${minLength} символов
Paste a URL or a relative path starting with ,"Вставьте URL или относительный путь, начинающийся с "
Pattern (regex),Шаблон (regex)
Pay with PayPal,Оплатить через PayPal
Pay with Stripe,Оплатить через Stripe
Payment Status,Статус оплаты
Placing Order...,Оформление заказа...
Please enter a coupon code,Введите код купона
Please enter a valid URL,Введите корректный URL
Please enter a valid email address,Введите корректный адрес электронной почты
Please enter your email to receive a reset link,"Введите ваш email, чтобы получить ссылку для сброса"
Please provide billing address to proceed,"Укажите адрес для выставления счёта, чтобы продолжить"
Please select a payment method,Выберите способ оплаты
Please select a shipping method,Выберите способ доставки
Please sign in to your account,Войдите в свою учётную запись
Position,Позиция
Previous,Назад
Previous slide,Предыдущий слайд
Price: ${value},Цена: ${value}
Primary,Основной
Print Label,Печать этикетки
Processing Payment...,Обработка платежа...
Product Description,Описание товара
Product is out of stock,Товара нет в наличии
Product name is required,Название товара обязательно
Product not found,Товар не найден
Product type,Тип товара
Products,Товары
Reason for cancellation,Причина отмены
Reason is required,Причина обязательна
Recently placed orders by this customer,Недавние заказы этого клиента
Redirecting to PayPal...,Перенаправление на PayPal...
Reference type,Тип ссылки
Registration failed,Регистрация не удалась
Remove item,Удалить позицию
Remove sub-field,Удалить вложенное поле
Required,Обязательно
Requires at least one item to create a cart,Для создания корзины требуется хотя бы одна позиция
Reset Password,Сбросить пароль
Reset Your Password,Сбросьте ваш пароль
Reset password,Сбросить пароль
Reset your password,Сбросьте ваш пароль
Root,Корень
SKU,SKU
SKU ${sku},SKU ${sku}
SKU must be unique,SKU должен быть уникальным
SKU: ${sku},SKU: ${sku}
Sale Statistics,Статистика продаж
Save custom fields,Сохранить пользовательские поля
Save field,Сохранить поле
Saved successfully!,Успешно сохранено!
Search attribute groups,Поиск групп атрибутов
Search categories,Поиск категорий
Search collections,Поиск коллекций
"Search for products, orders, and other resources","Поиск товаров, заказов и других ресурсов"
Search products,Поиск товаров
Search results for: ${keyword},Результаты поиска по: ${keyword}
Search widgets…,Поиск виджетов…
Searching...,Поиск...
Search…,Поиск…
See all orders →,Все заказы →
Select,Выбрать
Select a carrier,Выберите перевозчика
Select at least one item to ship,Выберите хотя бы одну позицию для отправки
Select groups the attribute belongs to,"Выберите группы, к которым относится атрибут"
Select shipping method,Выберите способ доставки
Select sort,Выберите сортировку
"Select the items going in this shipment, then add the carrier & tracking.","Выберите позиции для этого отправления, затем добавьте перевозчика и трек-номер."
Setting,Настройка
Settings,Настройки
Shipment Status,Статус отправления
Shipment canceled,Отправление отменено
Shipment created,Отправление создано
Shipment marked delivered,Отправление отмечено как доставленное
Shipments,Отправления
Shipped,Отправлено
Shipping (${method}),Доставка (${method})
Shipping Setting,Настройка доставки
Show,Показать
Show all ${count} options,Показать все опции (${count})
Show on storefront,Показывать в витрине
Showing ${showing} of ${total},Показано ${showing} из ${total}
Showing ${start}-${end} of ${total} results,Показано ${start}-${end} из ${total} результатов
Sidebar,Боковая панель
Sign in to view your orders,"Войдите, чтобы просмотреть свои заказы"
Simple,Простой
Sky,Небесный
Sold out,Распродано
Some error occurred. Please try again later.,Произошла ошибка. Повторите попытку позже.
Some products are not available,Некоторые товары недоступны
Something went wrong! Please try again.,Что-то пошло не так! Повторите попытку.
Something went wrong. Please try again later.,Что-то пошло не так. Повторите попытку позже.
Something wrong. Please try again,Что-то пошло не так. Повторите попытку
Sort Order,Порядок сортировки
Sort order,Порядок сортировки
Status,Статус
Stock,Запас
Stripe is not loaded. Please try again.,Stripe не загружен. Повторите попытку.
Style,Стиль
Sub-fields,Вложенные поля
Submit Cancellation,Подтвердить отмену
Successfully logged in,Вход выполнен успешно
Successfully logged out,Выход выполнен успешно
Tax Setting,Настройка налогов
Test failure,Тест не пройден
Test failure:,Тест не пройден:
Test success,Тест пройден
Test success:,Тест пройден:
Text,Текст
Textarea,Текстовая область
The carrier will mark the tracking number as invalid. You will need to purchase a new label if you still intend to ship.,"Перевозчик пометит трек-номер как недействительный. Вам потребуется приобрести новую этикетку, если вы всё же намерены отправить заказ."
The customer will receive a delivery confirmation email.,Клиент получит письмо с подтверждением доставки.
There is no category,Нет категорий
There is no file to display.,Нет файлов для отображения.
There is no sub folder.,Нет вложенных папок.
There was an error:,Произошла ошибка:
This tracking link has expired,Срок действия этой ссылки отслеживания истёк
This tracking link is no longer valid,Эта ссылка отслеживания больше недействительна
Thumbnail,Миниатюра
Time must be after ${min},Время должно быть позже ${min}
Time must be before ${max},Время должно быть раньше ${max}
Toggle Sidebar,Переключить боковую панель
Token is invalid or expired,Токен недействителен или истёк
Too many items requested,Запрошено слишком много элементов
Track,Отследить
Track shipment →,Отследить отправление →
Track your order,Отследить заказ
Tracking info updated,Данные отслеживания обновлены
Tracking link,Ссылка отслеживания
Tracking links are good for a limited time. Sign in to your account to see the current status of your order.,"Ссылки отслеживания действуют ограниченное время. Войдите в свою учётную запись, чтобы узнать текущий статус заказа."
Tracking number,Трек-номер
Type,Тип
Type / to see the available blocks,"Введите /, чтобы увидеть доступные блоки"
UPDATE PASSWORD,ОБНОВИТЬ ПАРОЛЬ
Update address API not available,API обновления адреса недоступно
Update field,Обновить поле
Upload,Загрузить
Validation,Проверка
Value,Значение
Value must be a whole number,Значение должно быть целым числом
Value must be at least ${min},Значение должно быть не менее ${min}
Value must be at most ${max},Значение должно быть не более ${max}
View All Products,Посмотреть все товары
View JSON,Посмотреть JSON
View all customers,Посмотреть всех клиентов
Visible to customer,Видно клиенту
Void Label,Аннулировать этикетку
Void label,Аннулировать этикетку
Void this shipping label?,Аннулировать эту транспортную этикетку?
"We could not find this order. It may have been removed, or it may belong to a different account.","Не удалось найти этот заказ. Возможно, он был удалён или принадлежит другой учётной записи."
"We could not verify this link. If you received it in an email from us, please try again from the most recent message, or sign in to your account.","Не удалось проверить эту ссылку. Если вы получили её в письме от нас, попробуйте снова из самого последнего сообщения или войдите в свою учётную запись."
We have sent you an email with a link to reset your password. Please check your inbox.,Мы отправили вам письмо со ссылкой для сброса пароля. Проверьте свой почтовый ящик.
Weekly,Еженедельно
Welcome to our store!,Добро пожаловать в наш магазин!
"Where you ship, shipping methods and delivery fee","Куда вы доставляете, способы доставки и стоимость доставки"
White,Белый
Yes,Да
You are already logged in,Вы уже вошли в систему
You are here:,Вы здесь:
You have no attribute groups to display,Нет групп атрибутов для отображения
You have no categories to display,Нет категорий для отображения
You have no collections to display,Нет коллекций для отображения
You have no products to display,Нет товаров для отображения
You have not placed any orders yet.,Вы ещё не оформили ни одного заказа.
You paid for,Вы оплатили
You will be redirected to PayPal for payment processing.,Вы будете перенаправлены в PayPal для обработки платежа.
Your Orders,Ваши заказы
Your order #${number} has been delivered,Ваш заказ №${number} доставлен
Your order #${number} is on the way,Ваш заказ №${number} в пути
Your order has been confirmed!,Ваш заказ подтверждён!
Your password has been updated successfully.,Ваш пароль успешно обновлён.
across,по
available to ship,доступно к отправке
breadcrumb,хлебные крошки
e.g. Care instructions,напр. Инструкции по уходу
"e.g. New, Sale, Limited","напр. Новинка, Распродажа, Ограниченная серия"
e.g. Question,напр. Вопрос
e.g. care_instructions,напр. care_instructions
e.g. question,напр. question
item,товар
items,товары
left to ship,осталось отправить
of,из
of ${count},из ${count}
unit,единица
units,единицы
${count} changes published.,Опубликовано изменений: ${count}.
${count} child widgets,${count} дочерних виджетов
${count} countries,${count} стран
${count} on ${route},${count} на ${route}
${count} ops total,всего операций: ${count}
${count} pending ops,${count} ожидающих операций
${count} pending ops on,${count} ожидающих операций на
${count} routes,${count} маршрутов
${direction} failed,${direction} не выполнено
${method} — ${zone} rate,${method} — тариф для ${zone}
${method} — new rate,${method} — новый тариф
${name} attached to ${zone},${name} привязан к ${zone}
${name} configuration for ${zone},Конфигурация ${name} для ${zone}
${name} configuration for this zone,Конфигурация ${name} для этой зоны
${name} configuration saved for ${zone},Конфигурация ${name} сохранена для ${zone}
${name} detached,${name} отвязан
${name} is required,${name} обязателен
${title} settings,Настройки ${title}
${total} changes will go live immediately.,${total} изменений вступят в силу немедленно.
${total} items,${total} элементов
(envelope),(конверт)
+ Add Line,+ Добавить строку
+ Add Method,+ Добавить способ
+ Add Rate,+ Добавить тариф
+ Add placement,+ Добавить размещение
+ Attach Provider,+ Привязать поставщика
+ New package,+ Новая упаковка
+${count} more,+ещё ${count}
", +${count} more",", +ещё ${count}"
", last updated",", последнее обновление"
0 for flat envelopes,0 для плоских конвертов
1 change published.,Опубликовано 1 изменение.
1 change will go live immediately.,1 изменение вступит в силу немедленно.
1 child widget,1 дочерний виджет
1 op total,всего 1 операция
1 pending op,1 ожидающая операция
1 pending op on,1 ожидающая операция на
A package is required for shippable products,"Для товаров, подлежащих отправке, требуется упаковка"
A rollout plan saves your current edits as a snapshot and applies them automatically during a scheduled window.,План развёртывания сохраняет ваши текущие изменения как снимок и применяет их автоматически в запланированный период.
Action,Действие
Actions,Действия
Add,Добавить
Add Products,Добавить товары
Add Rate,Добавить тариф
Add Shipping Method,Добавить способ доставки
Add Tax Rate,Добавить налоговую ставку
Add Variant,Добавить вариант
Add products to this category by selecting them from the list below.,"Добавьте товары в эту категорию, выбрав их из списка ниже."
Add rate,Добавить тариф
Added,Добавлено
Adding to Column ${number},Добавление в столбец ${number}
Additional languages,Дополнительные языки
Admin panel language,Язык панели администратора
Affects ${count} pages,Затрагивает ${count} страниц
Affects 1 page,Затрагивает 1 страницу
All pages,Все страницы
All registered providers are already attached to this zone.,Все зарегистрированные поставщики уже привязаны к этой зоне.
All routes,Все маршруты
Also shown on ${routes},Также отображается на ${routes}
Also shown on ${routes} +${count},Также отображается на ${routes} +${count}
Amount must be greater than or equal to 0,Сумма должна быть больше или равна 0
Amount must be less than or equal to ${value} ${currency},Сумма должна быть меньше или равна ${value} ${currency}
Apply a condition?,Применить условие?
Area,Область
Area is required,Область обязательна
At least one country is required,Требуется хотя бы одна страна
Attach,Прикрепить
Attach Provider to ${zone},Прикрепить провайдера к ${zone}
Attached Providers,Прикреплённые провайдеры
Attribute Name,Название атрибута
Attribute code is required,Код атрибута обязателен
Attribute created successfully!,Атрибут успешно создан!
Attribute group,Группа атрибутов
Attribute name is required,Название атрибута обязательно
Authorize only,Только авторизация
Auto-saves while you edit,Автосохранение во время редактирования
Back To Dashboard,Назад к панели управления
Base calculation address,Базовый адрес для расчёта
Based on cart subtotal,На основе промежуточной суммы корзины
Based on cart weight,На основе веса корзины
Basic configuration,Базовая настройка
Boolean,Логическое значение
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,Встроенные способы доставки с тарифами по зонам. Сначала прикрепите Core к зоне в разделе Настройки → Доставка; затем добавьте способы здесь и настройте их тарифы по зонам.
Buy X get Y,Купи X получи Y
CMS,CMS
Calculation type,Тип расчёта
Can not change the attribute group of a product that is already in a variant group.,"Невозможно изменить группу атрибутов товара, который уже находится в группе вариантов."
Cancel rollout,Отменить развёртывание
Cancel rollout plan?,Отменить план развёртывания?
Canvas device width,Ширина устройства холста
Capture,Списать
Capture Payment,Списать платёж
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,Подсказка по перевозчику для выполнения заказа — никогда не отображается при оформлении. NewShipmentDialog использует её для предварительного выбора перевозчика.
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,"Код услуги, специфичный для перевозчика, используемый при покупке этикетки (CreateLabelInput.serviceCode). Свободный формат — проверьте точный токен в документации API перевозчика. Оставьте пустым, чтобы перевозчик выбрал услугу по умолчанию."
Cash On Delivery Payment,Оплата при доставке
"Catalog, Search","Каталог, поиск"
Category Image,Изображение категории
Category Name,Название категории
Category created successfully!,Категория успешно создана!
Category name is required,Название категории обязательно
Choose Attribute Groups,Выберите группы атрибутов
Choose Categories,Выберите категории
Choose Collections,Выберите коллекции
Choose SKUs,Выберите SKU
Choose how much of your unpublished work to discard. The published storefront is not affected.,"Выберите, какую часть неопубликованной работы отменить. На опубликованную витрину это не влияет."
Choose where you ship and how much you charge for shipping.,"Выберите, куда вы осуществляете доставку и сколько берёте за неё."
Clear filter,Очистить фильтр
Clear filters,Очистить фильтры
Client ID,Client ID
Client Secret,Client Secret
Close,Закрыть
Close settings,Закрыть настройки
Close — continue draft,Закрыть — продолжить черновик
Cms Pages,Страницы CMS
Collapse left rail,Свернуть левую панель
Collapse panel,Свернуть панель
Collection Code,Код коллекции
Collection Name,Название коллекции
Collection code is required,Код коллекции обязателен
Collection code must be alphanumeric and can include underscores or dashes.,Код коллекции должен быть буквенно-цифровым и может содержать подчёркивания или дефисы.
Collection created successfully!,Коллекция успешно создана!
Color,Цвет
Commerce,Коммерция
Compound,Составной
Condition,Условие
Configure,Настроить
Configure cost and conditions per zone. Zones without a rate don't offer this method.,Настройте стоимость и условия по зонам. Зоны без тарифа не предлагают этот способ.
Configure rate,Настроить тариф
Configure the available payment methods,Настройте доступные способы оплаты
Configure the settings for the ${name} widget.,Настройте параметры виджета ${name}.
Configure the tax classes that will be available to your customers at checkout.,"Настройте налоговые классы, которые будут доступны вашим клиентам при оформлении заказа."
Configure your Cash On Delivery payment gateway settings,Настройте параметры платёжного шлюза «Оплата при доставке»
Configure your Paypal payment gateway settings,Настройте параметры платёжного шлюза PayPal
Configure your Stripe payment gateway settings,Настройте параметры платёжного шлюза Stripe
Configure your store information,Настройте информацию о вашем магазине
"Conflicts with ${plan1}, ${plan2}","Конфликтует с ${plan1}, ${plan2}"
Conflicts with ${plan},Конфликтует с ${plan}
Conflicts with ${plan} +${count},Конфликтует с ${plan} +${count}
Conflicts with:,Конфликтует с:
Content,Содержимое
Continue a saved rollout plan,Продолжить сохранённый план развёртывания
Continue your draft,Продолжить черновик
Core Shipping,Доставка Core
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,Core ещё не прикреплён ни к одной зоне. Сначала прикрепите его в разделе Настройки → Доставка.
Cost,Стоимость
Cost is required,Стоимость обязательна
Could not start fresh,Не удалось начать заново
Countries,Страны
"Country code (e.g., ""US""). Use ""*"" for all countries.","Код страны (например, «US»). Используйте «*» для всех стран."
Coupon Code,Код купона
"Coupon code can only contain letters, numbers, underscores, and hyphens","Код купона может содержать только буквы, цифры, подчёркивания и дефисы"
Coupon created successfully!,Купон успешно создан!
