Welcome Back!,Üdvözöljük újra!
Fields applicable to this entity type. Adding a field applies it to all entities of this type.,Az erre az entitástípusra alkalmazható mezők. Egy mező hozzáadása az adott típus minden entitására alkalmazza azt.
File size must be less than ${maxSize},A fájl méretének ${maxSize} alatt kell lennie
Filter Products,Termékek szűrése
Filters,Szűrők
First,Első
Free,Ingyenes
Free shipping,Ingyenes szállítás
Free shipping ?,Ingyenes szállítás?
Fulfill ${count} orders,${count} rendelés teljesítése
Full Name is required,A teljes név megadása kötelező
Fully shipped,Teljesen kiszállítva
General,Általános
Get qty,Kapott mennyiség
Get qty is required,A kapott mennyiség megadása kötelező
Ghost,Szellem
Go,Mehet
Go to Login,Tovább a bejelentkezéshez
Go to next page,Ugrás a következő oldalra
Go to previous page,Ugrás az előző oldalra
Hello,Üdvözöljük
Hide from storefront,Elrejtés a kirakatból
ID,Azonosító
In Stock,Raktáron
Inactive,Inaktív
Inclusive of tax ${totalTaxAmount},Adóval együtt: ${totalTaxAmount}
Insert,Beszúrás
Invalid address,Érvénytelen cím
Invalid cart,Érvénytelen kosár
Invalid cart id,Érvénytelen kosárazonosító
Invalid coupon,Érvénytelen kupon
Invalid customer,Érvénytelen ügyfél
Invalid customer id,Érvénytelen ügyfélazonosító
Invalid email or password,Érvénytelen e-mail cím vagy jelszó
Invalid format,Érvénytelen formátum
Invalid quantity,Érvénytelen mennyiség
Is Filterable?,Szűrhető?
Is Required?,Kötelező?
Item,Tétel
Items,Tételek
Items in this shipment will return to the order's unshipped pool. This action cannot be undone.,A szállítmány tételei visszakerülnek a rendelés ki nem szállított készletébe. Ez a művelet nem vonható vissza.
Key,Kulcs
Key is required,A kulcs megadása kötelező
Label,Címke
Label voided,Címke érvénytelenítve
Language,Nyelv
Last,Utolsó
Lifetime Sales,Teljes eladás
Light gray,Világosszürke
Limit,Korlát
Link,Hivatkozás
Loading,Betöltés
Log in,Bejelentkezés
Logging in...,Bejelentkezés...
Logging out...,Kijelentkezés...
Login failed,A bejelentkezés sikertelen
Logout failed,A kijelentkezés sikertelen
Look like you just started. No bestsellers yet.,"Úgy tűnik, még csak most kezdte. Még nincsenek sikertermékek."
"Lowercase letters, digits, underscore. Immutable.","Kisbetűk, számjegyek, aláhúzás. Nem módosítható."
Manage the general information of the attribute.,A tulajdonság általános információinak kezelése.
Manage the setting of the attribute.,A tulajdonság beállításainak kezelése.
Mark as shipped,Megjelölés kiszállítottként
Mark delivered,Megjelölés kézbesítettként
Mark shipment as delivered?,Megjelöli a szállítmányt kézbesítettként?
Max length,Maximális hossz
Max of Y,Y maximuma
Max of Y is required,Y maximumának megadása kötelező
Max value,Maximális érték
Min length,Minimális hossz
Min value,Minimális érték
Minimum quantity,Minimális mennyiség
Mint,Menta
Monthly,Havi
More,Több
More pages,További oldalak
Move down,Mozgatás lefelé
Move up,Mozgatás felfelé
Multiselect,Többszörös választás
Must be at least ${n},Legalább ${n} kell legyen
Must be at least ${n} characters,Legalább ${n} karakter kell legyen
Must be at most ${n},Legfeljebb ${n} lehet
Must be at most ${n} characters,Legfeljebb ${n} karakter lehet
"Must start with a letter; lowercase letters, digits, underscore only","Betűvel kell kezdődnie; csak kisbetűk, számjegyek és aláhúzás engedélyezett"
Name is required,A név megadása kötelező
New Product,Új termék
New Widget,Új widget
New folder,Új mappa
Next,Tovább
Next slide,Következő dia
No,Nem
No address data received,Nem érkezett címadat
"No attribute groups found for query ""${query}""","Nincs találat ""${query}"" keresésre attribútumcsoportok között"
No carriers registered,Nincs regisztrált fuvarozó
"No categories found for ""${term}""","Nincs kategória találat ""${term}"" keresésre"
"No categories found for query ""${query}""","Nincs kategória találat ""${query}"" keresésre"
"No collections found for query ""${query}""","Nincs gyűjtemény találat ""${query}"" keresésre"
No coupon to remove,Nincs eltávolítható kupon
No custom fields yet.,Még nincsenek egyéni mezők.
No data available,Nincs elérhető adat
No free shipping,Nincs ingyenes szállítás
No limit,Nincs korlát
No maximum,Nincs maximum
No minimum,Nincs minimum
No notes from customer,Nincs megjegyzés a vásárlótól
"No options found for ""${code}""","Nincs opció találat ""${code}"" kódra"
"No products found for query ""${query}""","Nincs termék találat ""${query}"" keresésre"
No shipments yet — your order is being prepared.,Még nincs szállítmány — a rendelése előkészítés alatt áll.
No shipping is required for this order,Ehhez a rendeléshez nincs szükség szállításra
No shipping methods available,Nincs elérhető szállítási mód
No shipping options are available for your location,Az Ön helyszínére nincs elérhető szállítási lehetőség
No shipping required,Nincs szükség szállításra
No widgets match your search.,Nincs a keresésnek megfelelő widget.
None,Nincs
Not set,Nincs beállítva
Not visible to customers,A vásárlók számára nem látható
Notify customer,Vásárló értesítése
Open in new tab,Megnyitás új lapon
Operator,Operátor
Option text,Opció szövege
Optional help text shown to admins.,Az adminoknak megjelenő opcionális súgószöveg.
Order Placed,Rendelés leadva
Order detail,Rendelés részletei
Order must contain products matching all conditions below,A rendelésnek az alábbi összes feltételnek megfelelő termékeket kell tartalmaznia
Order not found,A rendelés nem található
Orders,Rendelések
Others,Egyéb
Out of Stock,Elfogyott
Outline,Körvonal
Overview of sales data over selected periods,Az értékesítési adatok áttekintése a kiválasztott időszakokra
Overview of total sales and order status over the lifetime of your store,A teljes értékesítés és a rendelési állapot áttekintése az üzlet teljes élettartama alatt
Page,Oldal
Page ${currentPage} of ${totalPages},${currentPage}. oldal / ${totalPages}
Page not found,Az oldal nem található
Password is required,A jelszó megadása kötelező
Password must be at least ${minLength} characters long,A jelszónak legalább ${minLength} karakter hosszúnak kell lennie
Paste a URL or a relative path starting with ,"Illesszen be egy URL-t vagy egy relatív elérési utat, amely ezzel kezdődik: "
Pattern (regex),Minta (regex)
Pay with PayPal,Fizetés PayPallal
Pay with Stripe,Fizetés Stripe-pal
Payment Status,Fizetési állapot
Placing Order...,Rendelés leadása...
Please enter a coupon code,Adjon meg egy kuponkódot
Please enter a valid URL,Adjon meg egy érvényes URL-t
Please enter a valid email address,Adjon meg egy érvényes e-mail-címet
Please enter your email to receive a reset link,Adja meg az e-mail-címét a visszaállítási hivatkozás fogadásához
Please provide billing address to proceed,A folytatáshoz adja meg a számlázási címet
Please select a payment method,Válasszon fizetési módot
Please select a shipping method,Válasszon szállítási módot
Please sign in to your account,Jelentkezzen be a fiókjába
Position,Pozíció
Previous,Előző
Previous slide,Előző dia
Price: ${value},Ár: ${value}
Primary,Elsődleges
Print Label,Címke nyomtatása
Processing Payment...,Fizetés feldolgozása...
Product Description,Termékleírás
Product is out of stock,A termék elfogyott
Product name is required,A terméknév megadása kötelező
Product not found,A termék nem található
Product type,Terméktípus
Products,Termékek
Reason for cancellation,A lemondás oka
Reason is required,Az indoklás megadása kötelező
Recently placed orders by this customer,Ennek a vásárlónak a legutóbb leadott rendelései
Redirecting to PayPal...,Átirányítás a PayPalra...
Reference type,Hivatkozás típusa
Registration failed,A regisztráció sikertelen
Remove item,Tétel eltávolítása
Remove sub-field,Almező eltávolítása
Required,Kötelező
Requires at least one item to create a cart,A kosár létrehozásához legalább egy tétel szükséges
Reset Password,Jelszó visszaállítása
Reset Your Password,Állítsa vissza a jelszavát
Reset password,Jelszó visszaállítása
Reset your password,Állítsa vissza a jelszavát
Root,Gyökér
SKU,SKU
SKU ${sku},SKU ${sku}
SKU must be unique,A SKU-nak egyedinek kell lennie
SKU: ${sku},SKU: ${sku}
Sale Statistics,Értékesítési statisztikák
Save custom fields,Egyéni mezők mentése
Save field,Mező mentése
Saved successfully!,Sikeresen mentve!
Search attribute groups,Attribútumcsoportok keresése
Search categories,Kategóriák keresése
Search collections,Gyűjtemények keresése
"Search for products, orders, and other resources","Keressen termékeket, rendeléseket és egyéb erőforrásokat"
Search products,Termékek keresése
Search results for: ${keyword},Keresési eredmények erre: ${keyword}
Search widgets…,Widgetek keresése…
Searching...,Keresés...
Search…,Keresés…
See all orders →,Összes rendelés megtekintése →
Select,Kiválasztás
Select a carrier,Válasszon fuvarozót
Select at least one item to ship,Válasszon ki legalább egy tételt a szállításhoz
Select groups the attribute belongs to,"Válassza ki azokat a csoportokat, amelyekhez az attribútum tartozik"
Select shipping method,Válasszon szállítási módot
Select sort,Válasszon rendezést
"Select the items going in this shipment, then add the carrier & tracking.","Válassza ki a szállítmányba kerülő tételeket, majd adja hozzá a fuvarozót és a nyomon követést."
Setting,Beállítás
Settings,Beállítások
Shipment Status,Szállítmány állapota
Shipment canceled,Szállítmány lemondva
Shipment created,Szállítmány létrehozva
Shipment marked delivered,Szállítmány kézbesítettként megjelölve
Shipments,Szállítmányok
Shipped,Kiszállítva
Shipping (${method}),Szállítás (${method})
Shipping Setting,Szállítási beállítás
Show,Mutat
Show all ${count} options,Mind a(z) ${count} opció megjelenítése
Show on storefront,Megjelenítés a webáruházban
Showing ${showing} of ${total},${showing} / ${total} megjelenítve
Showing ${start}-${end} of ${total} results,${start}-${end} / ${total} eredmény megjelenítve
Sidebar,Oldalsáv
Sign in to view your orders,Jelentkezzen be a rendelései megtekintéséhez
Simple,Egyszerű
Sky,Égkék
Sold out,Elfogyott
Some error occurred. Please try again later.,"Hiba történt. Kérjük, próbálja újra később."
Some products are not available,Néhány termék nem elérhető
Something went wrong! Please try again.,"Valami hiba történt! Kérjük, próbálja újra."
Something went wrong. Please try again later.,"Hiba történt. Kérjük, próbálja újra később."
Something wrong. Please try again,"Hiba történt. Kérjük, próbálja újra"
Sort Order,Rendezési sorrend
Sort order,Rendezési sorrend
Status,Állapot
Stock,Készlet
Stripe is not loaded. Please try again.,"A Stripe nem töltődött be. Kérjük, próbálja újra."
Style,Stílus
Sub-fields,Almezők
Submit Cancellation,Lemondás beküldése
Successfully logged in,Sikeres bejelentkezés
Successfully logged out,Sikeres kijelentkezés
Tax Setting,Adóbeállítás
Test failure,Teszt sikertelen
Test failure:,Teszt sikertelen:
Test success,Teszt sikeres
Test success:,Teszt sikeres:
Text,Szöveg
Textarea,Szövegmező
The carrier will mark the tracking number as invalid. You will need to purchase a new label if you still intend to ship.,"A futárszolgálat érvénytelennek jelöli a nyomkövetési számot. Új címkét kell vásárolnia, ha továbbra is szállítani szeretne."
The customer will receive a delivery confirmation email.,Az ügyfél kézbesítési visszaigazoló e-mailt kap.
There is no category,Nincs kategória
There is no file to display.,Nincs megjeleníthető fájl.
There is no sub folder.,Nincs almappa.
There was an error:,Hiba történt:
This tracking link has expired,Ez a nyomkövetési hivatkozás lejárt
This tracking link is no longer valid,Ez a nyomkövetési hivatkozás már nem érvényes
Thumbnail,Bélyegkép
Time must be after ${min},Az időpontnak ${min} után kell lennie
Time must be before ${max},Az időpontnak ${max} előtt kell lennie
Toggle Sidebar,Oldalsáv ki-/bekapcsolása
Token is invalid or expired,A token érvénytelen vagy lejárt
Too many items requested,Túl sok elemet kért
Track,Nyomon követés
Track shipment →,Szállítmány nyomon követése →
Track your order,Rendelés nyomon követése
Tracking info updated,Nyomkövetési információ frissítve
Tracking link,Nyomkövetési hivatkozás
Tracking links are good for a limited time. Sign in to your account to see the current status of your order.,"A nyomkövetési hivatkozások csak korlátozott ideig érvényesek. Jelentkezzen be fiókjába, hogy lássa rendelése aktuális állapotát."
Tracking number,Nyomkövetési szám
Type,Típus
Type / to see the available blocks,Írja be a / jelet az elérhető blokkok megtekintéséhez
UPDATE PASSWORD,JELSZÓ MÓDOSÍTÁSA
Update address API not available,A cím frissítési API nem érhető el
Update field,Mező frissítése
Upload,Feltöltés
Validation,Ellenőrzés
Value,Érték
Value must be a whole number,Az értéknek egész számnak kell lennie
Value must be at least ${min},Az értéknek legalább ${min} kell lennie
Value must be at most ${max},Az érték legfeljebb ${max} lehet
View All Products,Összes termék megtekintése
View JSON,JSON megtekintése
View all customers,Összes ügyfél megtekintése
Visible to customer,Látható az ügyfél számára
Void Label,Címke érvénytelenítése
Void label,Címke érvénytelenítése
Void this shipping label?,Érvényteleníti ezt a szállítási címkét?
"We could not find this order. It may have been removed, or it may belong to a different account.","Nem találtuk ezt a rendelést. Lehet, hogy eltávolították, vagy egy másik fiókhoz tartozik."
"We could not verify this link. If you received it in an email from us, please try again from the most recent message, or sign in to your account.","Nem tudtuk ellenőrizni ezt a hivatkozást. Ha tőlünk e-mailben kapta, próbálja újra a legutóbbi üzenetből, vagy jelentkezzen be fiókjába."
We have sent you an email with a link to reset your password. Please check your inbox.,"E-mailt küldtünk a jelszó visszaállításához szükséges hivatkozással. Kérjük, ellenőrizze postaládáját."
Weekly,Hetente
Welcome to our store!,Üdvözöljük üzletünkben!
"Where you ship, shipping methods and delivery fee","Hová szállít, szállítási módok és kézbesítési díj"
White,Fehér
Yes,Igen
You are already logged in,Ön már bejelentkezett
You are here:,Ön itt van:
You have no attribute groups to display,Nincs megjeleníthető tulajdonságcsoport
You have no categories to display,Nincs megjeleníthető kategória
You have no collections to display,Nincs megjeleníthető kollekció
You have no products to display,Nincs megjeleníthető termék
You have not placed any orders yet.,Még nem adott le rendelést.
You paid for,Ön fizetett ezért:
You will be redirected to PayPal for payment processing.,Átirányítjuk a PayPalhoz a fizetés feldolgozásához.
Your Orders,Rendelései
Your order #${number} has been delivered,#${number} számú rendelését kézbesítettük
Your order #${number} is on the way,#${number} számú rendelése úton van
Your order has been confirmed!,Rendelését megerősítettük!
Your password has been updated successfully.,Jelszava sikeresen frissült.
across,összesen
available to ship,szállításra kész
breadcrumb,morzsamenü
e.g. Care instructions,pl. Kezelési útmutató
"e.g. New, Sale, Limited","pl. Új, Akció, Limitált"
e.g. Question,pl. Kérdés
e.g. care_instructions,pl. care_instructions
e.g. question,pl. question
item,elem
items,elem
left to ship,szállításra vár
of,/
of ${count},/ ${count}
unit,egység
units,egység
${count} changes published.,${count} módosítás közzétéve.
${count} child widgets,${count} alwidget
${count} countries,${count} ország
${count} on ${route},${count} a(z) ${route} útvonalon
${count} ops total,${count} művelet összesen
${count} pending ops,${count} függőben lévő művelet
${count} pending ops on,${count} függőben lévő művelet itt:
${count} routes,${count} útvonal
${direction} failed,${direction} sikertelen
${method} — ${zone} rate,${method} — ${zone} díjszabás
${method} — new rate,${method} — új díjszabás
${name} attached to ${zone},${name} hozzárendelve ehhez: ${zone}
${name} configuration for ${zone},${name} konfiguráció ehhez: ${zone}
${name} configuration for this zone,${name} konfiguráció ehhez a zónához
${name} configuration saved for ${zone},${name} konfiguráció mentve ehhez: ${zone}
${name} detached,${name} leválasztva
${name} is required,A(z) ${name} megadása kötelező
${title} settings,${title} beállításai
${total} changes will go live immediately.,${total} módosítás azonnal élesedik.
${total} items,${total} elem
(envelope),(boríték)
+ Add Line,+ Sor hozzáadása
+ Add Method,+ Mód hozzáadása
+ Add Rate,+ Díjszabás hozzáadása
+ Add placement,+ Elhelyezés hozzáadása
+ Attach Provider,+ Szolgáltató hozzárendelése
+ New package,+ Új csomag
+${count} more,+${count} további
", +${count} more",", +${count} további"
", last updated",", utoljára frissítve"
0 for flat envelopes,0 a lapos borítékoknál
1 change published.,1 módosítás közzétéve.
1 change will go live immediately.,1 módosítás azonnal élesedik.
1 child widget,1 alwidget
1 op total,1 művelet összesen
1 pending op,1 függőben lévő művelet
1 pending op on,1 függőben lévő művelet itt:
A package is required for shippable products,A szállítható termékekhez csomag szükséges
A rollout plan saves your current edits as a snapshot and applies them automatically during a scheduled window.,"A bevezetési terv pillanatképként menti az aktuális módosításokat, és automatikusan alkalmazza azokat egy ütemezett időablakban."
Action,Művelet
Actions,Műveletek
Add,Hozzáadás
Add Products,Termékek hozzáadása
Add Rate,Díjszabás hozzáadása
Add Shipping Method,Szállítási mód hozzáadása
Add Tax Rate,Adókulcs hozzáadása
Add Variant,Változat hozzáadása
Add products to this category by selecting them from the list below.,Adjon hozzá termékeket ehhez a kategóriához az alábbi listából való kiválasztással.
Add rate,Díjszabás hozzáadása
Added,Hozzáadva
Adding to Column ${number},Hozzáadás a(z) ${number}. oszlophoz
Additional languages,További nyelvek
Admin panel language,Adminisztrációs felület nyelve
Affects ${count} pages,${count} oldalt érint
Affects 1 page,1 oldalt érint
All pages,Minden oldal
All registered providers are already attached to this zone.,Minden regisztrált szolgáltató már csatolva van ehhez a zónához.
All routes,Minden útvonal
Also shown on ${routes},Megjelenik itt is: ${routes}
Also shown on ${routes} +${count},Megjelenik itt is: ${routes} +${count}
Amount must be greater than or equal to 0,Az összegnek 0-nál nagyobbnak vagy egyenlőnek kell lennie
Amount must be less than or equal to ${value} ${currency},"Az összegnek kisebbnek vagy egyenlőnek kell lennie, mint ${value} ${currency}"
Apply a condition?,Alkalmaz feltételt?
Area,Terület
Area is required,A terület megadása kötelező
At least one country is required,Legalább egy ország megadása kötelező
Attach,Csatolás
Attach Provider to ${zone},Szolgáltató csatolása ehhez: ${zone}
Attached Providers,Csatolt szolgáltatók
Attribute Name,Attribútum neve
Attribute code is required,Az attribútum kódja kötelező
Attribute created successfully!,Az attribútum sikeresen létrejött!
Attribute group,Attribútumcsoport
Attribute name is required,Az attribútum neve kötelező
Authorize only,Csak engedélyezés
Auto-saves while you edit,Automatikus mentés szerkesztés közben
Back To Dashboard,Vissza az irányítópultra
Base calculation address,Alapszámítási cím
Based on cart subtotal,Kosár részösszege alapján
Based on cart weight,Kosár súlya alapján
Basic configuration,Alapbeállítások
Boolean,Logikai
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,"Beépített szállítási módok zónánkénti díjakkal. Először csatolja a Core-t egy zónához a Beállítások → Szállítás alatt; majd adjon hozzá itt módokat, és állítsa be a díjaikat zónánként."
Buy X get Y,"Vegyél X-et, kapsz Y-t"
CMS,CMS
