Welcome Back!,Bon retour !
Others,Autres
Out of Stock,En rupture de stock
Outline,Contour
Overview of sales data over selected periods,Aperçu des données de ventes sur les périodes sélectionnées
Overview of total sales and order status over the lifetime of your store,Aperçu des ventes totales et du statut des commandes depuis la création de votre boutique
Page,Page
Page ${currentPage} of ${totalPages},Page ${currentPage} sur ${totalPages}
Page not found,Page introuvable
Password is required,Le mot de passe est requis
Password must be at least ${minLength} characters long,Le mot de passe doit comporter au moins ${minLength} caractères
Paste a URL or a relative path starting with ,Collez une URL ou un chemin relatif commençant par 
Pattern (regex),Motif (regex)
Pay with PayPal,Payer avec PayPal
Pay with Stripe,Payer avec Stripe
Payment Status,Statut du paiement
Placing Order...,Passation de la commande...
Please enter a coupon code,Veuillez saisir un code de coupon
Please enter a valid URL,Veuillez saisir une URL valide
Please enter a valid email address,Veuillez saisir une adresse e-mail valide
Please enter your email to receive a reset link,Veuillez saisir votre e-mail pour recevoir un lien de réinitialisation
Please provide billing address to proceed,Veuillez fournir une adresse de facturation pour continuer
Please select a payment method,Veuillez sélectionner un mode de paiement
Please select a shipping method,Veuillez sélectionner un mode de livraison
Please sign in to your account,Veuillez vous connecter à votre compte
Position,Position
Previous,Précédent
Previous slide,Diapositive précédente
Price: ${value},Prix : ${value}
Primary,Principal
Print Label,Imprimer l'étiquette
Processing Payment...,Traitement du paiement...
Product Description,Description du produit
Product is out of stock,Le produit est en rupture de stock
Product name is required,Le nom du produit est requis
Product not found,Produit introuvable
Product type,Type de produit
Products,Produits
Reason for cancellation,Motif de l'annulation
Reason is required,Le motif est requis
Recently placed orders by this customer,Commandes récemment passées par ce client
Redirecting to PayPal...,Redirection vers PayPal...
Reference type,Type de référence
Registration failed,Échec de l'inscription
Remove item,Retirer l'article
Remove sub-field,Supprimer le sous-champ
Required,Requis
Requires at least one item to create a cart,Nécessite au moins un article pour créer un panier
Reset Password,Réinitialiser le mot de passe
Reset Your Password,Réinitialisez votre mot de passe
Reset password,Réinitialiser le mot de passe
Reset your password,Réinitialisez votre mot de passe
Root,Racine
SKU,SKU
SKU ${sku},SKU ${sku}
SKU must be unique,Le SKU doit être unique
SKU: ${sku},SKU : ${sku}
Sale Statistics,Statistiques des ventes
Save custom fields,Enregistrer les champs personnalisés
Save field,Enregistrer le champ
Saved successfully!,Enregistré avec succès !
Search attribute groups,Rechercher des groupes d'attributs
Search categories,Rechercher des catégories
Search collections,Rechercher des collections
"Search for products, orders, and other resources","Rechercher des produits, des commandes et d'autres ressources"
Search products,Rechercher des produits
Search results for: ${keyword},Résultats de recherche pour : ${keyword}
Search widgets…,Rechercher des widgets…
Searching...,Recherche...
Search…,Rechercher…
See all orders →,Voir toutes les commandes →
Select,Sélectionner
Select a carrier,Sélectionner un transporteur
Select at least one item to ship,Sélectionnez au moins un article à expédier
Select groups the attribute belongs to,Sélectionnez les groupes auxquels appartient l'attribut
Select shipping method,Sélectionner un mode de livraison
Select sort,Sélectionner le tri
"Select the items going in this shipment, then add the carrier & tracking.","Sélectionnez les articles inclus dans cette expédition, puis ajoutez le transporteur et le suivi."
Setting,Paramètre
Settings,Paramètres
Shipment Status,Statut de l'expédition
Shipment canceled,Expédition annulée
Shipment created,Expédition créée
Shipment marked delivered,Expédition marquée comme livrée
Shipments,Expéditions
Shipped,Expédié
Shipping (${method}),Livraison (${method})
Shipping Setting,Paramètre de livraison
Show,Afficher
Show all ${count} options,Afficher les ${count} options
Show on storefront,Afficher sur la boutique
Showing ${showing} of ${total},Affichage de ${showing} sur ${total}
Showing ${start}-${end} of ${total} results,Affichage de ${start}-${end} sur ${total} résultats
Sidebar,Barre latérale
Sign in to view your orders,Connectez-vous pour voir vos commandes
Simple,Simple
Sky,Ciel
Sold out,Épuisé
Some error occurred. Please try again later.,Une erreur s'est produite. Veuillez réessayer plus tard.
Some products are not available,Certains produits ne sont pas disponibles
Something went wrong! Please try again.,Une erreur s'est produite ! Veuillez réessayer.
Something went wrong. Please try again later.,Une erreur s'est produite. Veuillez réessayer plus tard.
Something wrong. Please try again,Une erreur s'est produite. Veuillez réessayer
Sort Order,Ordre de tri
Sort order,Ordre de tri
Status,Statut
Stock,Stock
Stripe is not loaded. Please try again.,Stripe n'est pas chargé. Veuillez réessayer.
Style,Style
Sub-fields,Sous-champs
Submit Cancellation,Soumettre l'annulation
Successfully logged in,Connexion réussie
Successfully logged out,Déconnexion réussie
Tax Setting,Paramètres de taxe
Test failure,Échec du test
Test failure:,Échec du test :
Test success,Test réussi
Test success:,Test réussi :
Text,Texte
Textarea,Zone de texte
The carrier will mark the tracking number as invalid. You will need to purchase a new label if you still intend to ship.,Le transporteur marquera le numéro de suivi comme invalide. Vous devrez acheter une nouvelle étiquette si vous comptez toujours expédier.
The customer will receive a delivery confirmation email.,Le client recevra un e-mail de confirmation de livraison.
There is no category,Il n'y a aucune catégorie
There is no file to display.,Aucun fichier à afficher.
There is no sub folder.,Il n'y a aucun sous-dossier.
There was an error:,Une erreur s'est produite :
This tracking link has expired,Ce lien de suivi a expiré
This tracking link is no longer valid,Ce lien de suivi n'est plus valide
Thumbnail,Miniature
Time must be after ${min},L'heure doit être après ${min}
Time must be before ${max},L'heure doit être avant ${max}
Toggle Sidebar,Afficher/masquer la barre latérale
Token is invalid or expired,Le jeton est invalide ou expiré
Too many items requested,Trop d'articles demandés
Track,Suivre
Track shipment →,Suivre l'expédition →
Track your order,Suivre votre commande
Tracking info updated,Informations de suivi mises à jour
Tracking link,Lien de suivi
Tracking links are good for a limited time. Sign in to your account to see the current status of your order.,Les liens de suivi sont valables pour une durée limitée. Connectez-vous à votre compte pour voir l'état actuel de votre commande.
Tracking number,Numéro de suivi
Type,Type
Type / to see the available blocks,Tapez / pour voir les blocs disponibles
UPDATE PASSWORD,METTRE À JOUR LE MOT DE PASSE
Update address API not available,L'API de mise à jour d'adresse n'est pas disponible
Update field,Mettre à jour le champ
Upload,Téléverser
Validation,Validation
Value,Valeur
Value must be a whole number,La valeur doit être un nombre entier
Value must be at least ${min},La valeur doit être au moins ${min}
Value must be at most ${max},La valeur doit être au plus ${max}
View All Products,Voir tous les produits
View JSON,Voir le JSON
View all customers,Voir tous les clients
Visible to customer,Visible par le client
Void Label,Annuler l'étiquette
Void label,Annuler l'étiquette
Void this shipping label?,Annuler cette étiquette d'expédition ?
"We could not find this order. It may have been removed, or it may belong to a different account.",Nous n'avons pas pu trouver cette commande. Elle a peut-être été supprimée ou appartient à un autre compte.
"We could not verify this link. If you received it in an email from us, please try again from the most recent message, or sign in to your account.","Nous n'avons pas pu vérifier ce lien. Si vous l'avez reçu dans un e-mail de notre part, veuillez réessayer à partir du message le plus récent, ou connectez-vous à votre compte."
We have sent you an email with a link to reset your password. Please check your inbox.,Nous vous avons envoyé un e-mail contenant un lien pour réinitialiser votre mot de passe. Veuillez vérifier votre boîte de réception.
Weekly,Hebdomadaire
Welcome to our store!,Bienvenue dans notre boutique !
"Where you ship, shipping methods and delivery fee","Où vous expédiez, les méthodes d'expédition et les frais de livraison"
White,Blanc
Yes,Oui
You are already logged in,Vous êtes déjà connecté
You are here:,Vous êtes ici :
You have no attribute groups to display,Vous n'avez aucun groupe d'attributs à afficher
You have no categories to display,Vous n'avez aucune catégorie à afficher
You have no collections to display,Vous n'avez aucune collection à afficher
You have no products to display,Vous n'avez aucun produit à afficher
You have not placed any orders yet.,Vous n'avez pas encore passé de commande.
You paid for,Vous avez payé pour
You will be redirected to PayPal for payment processing.,Vous serez redirigé vers PayPal pour le traitement du paiement.
Your Orders,Vos commandes
Your order #${number} has been delivered,Votre commande #${number} a été livrée
Your order #${number} is on the way,Votre commande #${number} est en route
Your order has been confirmed!,Votre commande a été confirmée !
Your password has been updated successfully.,Votre mot de passe a été mis à jour avec succès.
across,sur
available to ship,disponible à l'expédition
breadcrumb,fil d'Ariane
e.g. Care instructions,ex. Instructions d'entretien
"e.g. New, Sale, Limited","ex. Nouveau, Solde, Limité"
e.g. Question,ex. Question
e.g. care_instructions,ex. care_instructions
e.g. question,ex. question
item,article
items,articles
left to ship,restant à expédier
of,sur
of ${count},sur ${count}
unit,unité
units,unités
${count} changes published.,${count} modifications publiées.
${count} child widgets,${count} widgets enfants
${count} countries,${count} pays
${count} on ${route},${count} sur ${route}
${count} ops total,${count} opérations au total
${count} pending ops,${count} opérations en attente
${count} pending ops on,${count} opérations en attente sur
${count} routes,${count} routes
${direction} failed,${direction} a échoué
${method} — ${zone} rate,${method} — tarif ${zone}
${method} — new rate,${method} — nouveau tarif
${name} attached to ${zone},${name} rattaché à ${zone}
${name} configuration for ${zone},Configuration de ${name} pour ${zone}
${name} configuration for this zone,Configuration de ${name} pour cette zone
${name} configuration saved for ${zone},Configuration de ${name} enregistrée pour ${zone}
${name} detached,${name} détaché
${name} is required,${name} est requis
${title} settings,Paramètres de ${title}
${total} changes will go live immediately.,${total} modifications seront mises en ligne immédiatement.
${total} items,${total} articles
(envelope),(enveloppe)
+ Add Line,+ Ajouter une ligne
+ Add Method,+ Ajouter une méthode
+ Add Rate,+ Ajouter un tarif
+ Add placement,+ Ajouter un emplacement
+ Attach Provider,+ Rattacher un fournisseur
+ New package,+ Nouveau colis
+${count} more,+${count} de plus
", +${count} more",", +${count} de plus"
", last updated",", dernière mise à jour"
0 for flat envelopes,0 pour les enveloppes plates
1 change published.,1 modification publiée.
1 change will go live immediately.,1 modification sera mise en ligne immédiatement.
1 child widget,1 widget enfant
1 op total,1 opération au total
1 pending op,1 opération en attente
1 pending op on,1 opération en attente sur
A package is required for shippable products,Un colis est requis pour les produits expédiables
A rollout plan saves your current edits as a snapshot and applies them automatically during a scheduled window.,Un plan de déploiement enregistre vos modifications actuelles sous forme d'instantané et les applique automatiquement pendant une fenêtre planifiée.
Action,Action
Actions,Actions
Add,Ajouter
Add Products,Ajouter des produits
Add Rate,Ajouter un tarif
Add Shipping Method,Ajouter une méthode d'expédition
Add Tax Rate,Ajouter un taux de taxe
Add Variant,Ajouter une variante
Add products to this category by selecting them from the list below.,Ajoutez des produits à cette catégorie en les sélectionnant dans la liste ci-dessous.
Add rate,Ajouter un tarif
Added,Ajouté
Adding to Column ${number},Ajout à la colonne ${number}
Additional languages,Langues supplémentaires
Admin panel language,Langue du panneau d'administration
Affects ${count} pages,Affecte ${count} pages
Affects 1 page,Affecte 1 page
All pages,Toutes les pages
All registered providers are already attached to this zone.,Tous les fournisseurs enregistrés sont déjà rattachés à cette zone.
All routes,Toutes les routes
Also shown on ${routes},Également affiché sur ${routes}
Also shown on ${routes} +${count},Également affiché sur ${routes} +${count}
Amount must be greater than or equal to 0,Le montant doit être supérieur ou égal à 0
Amount must be less than or equal to ${value} ${currency},Le montant doit être inférieur ou égal à ${value} ${currency}
Apply a condition?,Appliquer une condition ?
Area,Zone
Area is required,La zone est requise
At least one country is required,Au moins un pays est requis
Attach,Rattacher
Attach Provider to ${zone},Rattacher le fournisseur à ${zone}
Attached Providers,Fournisseurs rattachés
Attribute Name,Nom de l'attribut
Attribute code is required,Le code de l'attribut est requis
Attribute created successfully!,Attribut créé avec succès !
Attribute group,Groupe d'attributs
Attribute name is required,Le nom de l'attribut est requis
Authorize only,Autoriser uniquement
Auto-saves while you edit,Enregistrement automatique pendant l'édition
Back To Dashboard,Retour au tableau de bord
Base calculation address,Adresse de calcul de base
Based on cart subtotal,Selon le sous-total du panier
Based on cart weight,Selon le poids du panier
Basic configuration,Configuration de base
Boolean,Booléen
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,Méthodes de livraison intégrées avec des tarifs par zone. Rattachez d'abord Core à une zone dans Paramètres → Livraison ; ajoutez ensuite des méthodes ici et configurez leurs tarifs par zone.
Buy X get Y,"Achetez X, obtenez Y"
CMS,CMS
Calculation type,Type de calcul
Can not change the attribute group of a product that is already in a variant group.,Impossible de changer le groupe d'attributs d'un produit déjà présent dans un groupe de variantes.
Cancel rollout,Annuler le déploiement
Cancel rollout plan?,Annuler le plan de déploiement ?
Canvas device width,Largeur d'appareil du canevas
Capture,Capturer
Capture Payment,Capturer le paiement
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,Indication de transporteur pour l'expédition — jamais affichée lors du paiement. NewShipmentDialog l'utilise pour présélectionner le transporteur.
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,Code de service propre au transporteur utilisé lors de l'achat d'une étiquette (CreateLabelInput.serviceCode). Format libre — vérifiez le token exact dans la documentation de l'API du transporteur. Laissez vide pour que le transporteur choisisse son service par défaut.
Cash On Delivery Payment,Paiement à la livraison
"Catalog, Search","Catalogue, Recherche"
Category Image,Image de catégorie
Category Name,Nom de la catégorie
Category created successfully!,Catégorie créée avec succès !
Category name is required,Le nom de la catégorie est requis
Choose Attribute Groups,Choisir les groupes d'attributs
Choose Categories,Choisir les catégories
Choose Collections,Choisir les collections
Choose SKUs,Choisir les SKU
Choose how much of your unpublished work to discard. The published storefront is not affected.,Choisissez la quantité de votre travail non publié à supprimer. La boutique publiée n'est pas affectée.
Choose where you ship and how much you charge for shipping.,Choisissez où vous expédiez et combien vous facturez pour la livraison.
Clear filter,Effacer le filtre
Clear filters,Effacer les filtres
Client ID,Client ID
Client Secret,Client Secret
Close,Fermer
Close settings,Fermer les paramètres
Close — continue draft,Fermer — continuer le brouillon
Cms Pages,Pages CMS
Collapse left rail,Réduire le panneau de gauche
Collapse panel,Réduire le panneau
Collection Code,Code de collection
Collection Name,Nom de la collection
Collection code is required,Le code de collection est requis
Collection code must be alphanumeric and can include underscores or dashes.,Le code de collection doit être alphanumérique et peut inclure des traits de soulignement ou des tirets.
Collection created successfully!,Collection créée avec succès !
Color,Couleur
Commerce,Commerce
Compound,Composé
Condition,Condition
Configure,Configurer
