Welcome Back!,Willkommen zurück!
An unexpected error occurred. Please try again.,Ein unerwarteter Fehler ist aufgetreten. Bitte versuchen Sie es erneut.
Apply Filters,Filter anwenden
Are you sure you want to mark the selected orders as shipped?,Möchten Sie die ausgewählten Bestellungen wirklich als versendet markieren?
Are you sure?,Sind Sie sicher?
Attribute Group,Attributgruppe
Attribute code is used in API and must be unique,Der Attributcode wird in der API verwendet und muss eindeutig sein
Attribute options,Attributoptionen
Attributes,Attribute
Available shipping methods will appear once you provide your address details,"Verfügbare Versandmethoden werden angezeigt, sobald Sie Ihre Adressdaten angeben"
Best Sellers,Bestseller
Best customers,Beste Kunden
Billing address,Rechnungsadresse
Black,Schwarz
Buy qty,Kaufmenge
Buy qty is required,Kaufmenge ist erforderlich
Can not process payment. Please try again later.,Zahlung kann nicht verarbeitet werden. Bitte versuchen Sie es später erneut.
Can't be undone,Kann nicht rückgängig gemacht werden
Cancel,Abbrechen
Cancel Order,Bestellung stornieren
Cancel shipment,Sendung stornieren
Cancel this shipment?,Diese Sendung stornieren?
Canceled,Storniert
Cancelled,Storniert
Cannot add billing address: cart not initialized,Rechnungsadresse kann nicht hinzugefügt werden: Warenkorb nicht initialisiert
Cannot add contact info: cart not initialized,Kontaktdaten können nicht hinzugefügt werden: Warenkorb nicht initialisiert
Cannot add payment method: cart not initialized,Zahlungsmethode kann nicht hinzugefügt werden: Warenkorb nicht initialisiert
Cannot add shipping address: cart not initialized,Lieferadresse kann nicht hinzugefügt werden: Warenkorb nicht initialisiert
Cannot add shipping method: cart not initialized,Versandmethode kann nicht hinzugefügt werden: Warenkorb nicht initialisiert
Cannot add shipping method: providerCode is required,Versandmethode kann nicht hinzugefügt werden: providerCode ist erforderlich
Cannot apply coupon: cart not initialized,Gutschein kann nicht angewendet werden: Warenkorb nicht initialisiert
Cannot remove coupon: cart not initialized,Gutschein kann nicht entfernt werden: Warenkorb nicht initialisiert
Carrier,Spediteur
Carrier is required,Spediteur ist erforderlich
Cart ID is required to checkout,Warenkorb-ID ist für die Kasse erforderlich
Cart is not initialized,Warenkorb ist nicht initialisiert
Catalog,Katalog
Categories,Kategorien
Category,Kategorie
Charcoal,Anthrazit
Checkout success,Bestellung erfolgreich
Choose Product SKU,Produkt-SKU wählen
Choose SKU,SKU wählen
Clear All,Alle löschen
Clear Filters,Filter zurücksetzen
Clear all,Alle löschen
Clear categories,Kategorien zurücksetzen
Close fullscreen view,Vollbildansicht schließen
Code,Code
Collections,Kollektionen
Comma-separated; renders the value as a dropdown.,Durch Komma getrennt; stellt den Wert als Dropdown-Menü dar.
Completed,Abgeschlossen
Configurable,Konfigurierbar
Configure tax classes and tax rates,Steuerklassen und Steuersätze konfigurieren
Confirm,Bestätigen
Contact for pricing,Preis auf Anfrage
Conveniently pay with cash at your doorstep when your order is delivered.,"Bezahlen Sie bequem bar an Ihrer Haustür, wenn Ihre Bestellung geliefert wird."
Coupon applied successfully!,Gutschein erfolgreich angewendet!
Coupon code is required,Gutscheincode ist erforderlich
Coupon does not match,Gutschein stimmt nicht überein
Coupon removed successfully!,Gutschein erfolgreich entfernt!
Cream,Creme
Create,Erstellen
Create a new attribute,Neues Attribut erstellen
Create a new group,Neue Gruppe erstellen
Create a new package,Neues Paket erstellen
Create shipment,Sendung erstellen
Created,Erstellt
Custom URL,Benutzerdefinierte URL
Custom field created,Benutzerdefiniertes Feld erstellt
Custom field updated,Benutzerdefiniertes Feld aktualisiert
Custom fields,Benutzerdefinierte Felder
Custom fields (JSON),Benutzerdefinierte Felder (JSON)
Custom fields saved,Benutzerdefinierte Felder gespeichert
Customer Information,Kundeninformationen
Customer does not have any order yet.,Der Kunde hat noch keine Bestellung.
Customer notes,Kundennotizen
Daily,Täglich
Date and time must be after ${min},Datum und Uhrzeit müssen nach ${min} liegen
Date and time must be before ${max},Datum und Uhrzeit müssen vor ${max} liegen
Date must be after ${min},Datum muss nach ${min} liegen
Date must be before ${max},Datum muss vor ${max} liegen
Delete ${count} coupons,${count} Gutscheine löschen
Delete ${count} products,${count} Produkte löschen
Delete address API not available,API zum Löschen der Adresse nicht verfügbar
Delivered,Zugestellt
Description,Beschreibung
Disable,Deaktivieren
Disable ${count} coupons,${count} Gutscheine deaktivieren
Disable ${count} customers,${count} Kunden deaktivieren
Disable ${count} products,${count} Produkte deaktivieren
Disabled,Deaktiviert
Discount percent,Rabattprozentsatz
Discount percent is required,Rabattprozentsatz ist erforderlich
Display on Frontend?,Im Frontend anzeigen?
Displays the mobile sidebar.,Zeigt die mobile Seitenleiste an.
Done,Fertig
Drag to reorder,Zum Neuordnen ziehen
Duplicate,Duplizieren
Edit custom field,Benutzerdefiniertes Feld bearbeiten
Edit field settings,Feldeinstellungen bearbeiten
Edit package,Paket bearbeiten
Edit tracking info,Sendungsverfolgungsdaten bearbeiten
Editing ${name},${name} bearbeiten
Email a shipment confirmation,Versandbestätigung per E-Mail senden
Email a shipment confirmation with tracking details,Versandbestätigung mit Sendungsverfolgungsdaten per E-Mail senden
Email is required,E-Mail ist erforderlich
Enable,Aktivieren
Enable ${count} coupons,${count} Gutscheine aktivieren
Enable ${count} customers,${count} Kunden aktivieren
Enable ${count} products,${count} Produkte aktivieren
Enabled,Aktiviert
Enter attribute code,Attributcode eingeben
Enter attribute name,Attributname eingeben
Enter text,Text eingeben
Enter value for ${attribute},Wert für ${attribute} eingeben
Enter your email,E-Mail eingeben
Enter your new password,Neues Passwort eingeben
Enter your password,Passwort eingeben
Error,Fehler
Failed to add address,Adresse konnte nicht hinzugefügt werden
Failed to add billing address,Rechnungsadresse konnte nicht hinzugefügt werden
Failed to add billing address.,Rechnungsadresse konnte nicht hinzugefügt werden.
Failed to add contact info,Kontaktdaten konnten nicht hinzugefügt werden
Failed to add contact info.,Kontaktdaten konnten nicht hinzugefügt werden.
Failed to add item to cart,Artikel konnte nicht zum Warenkorb hinzugefügt werden
Failed to add payment method,Zahlungsmethode konnte nicht hinzugefügt werden
Failed to add payment method.,Zahlungsmethode konnte nicht hinzugefügt werden.
Failed to add product to cart,Produkt konnte nicht zum Warenkorb hinzugefügt werden
Failed to add shipping address,Lieferadresse konnte nicht hinzugefügt werden
Failed to add shipping address.,Lieferadresse konnte nicht hinzugefügt werden.
Failed to add shipping method,Versandmethode konnte nicht hinzugefügt werden
Failed to add shipping method.,Versandmethode konnte nicht hinzugefügt werden.
Failed to apply coupon,Gutschein konnte nicht angewendet werden
Failed to cancel shipment,Sendung konnte nicht storniert werden
Failed to checkout,Kasse fehlgeschlagen
Failed to create field,Feld konnte nicht erstellt werden
Failed to create shipment,Sendung konnte nicht erstellt werden
Failed to delete address,Adresse konnte nicht gelöscht werden
Failed to load custom fields,Benutzerdefinierte Felder konnten nicht geladen werden
Failed to mark delivered,Markierung als zugestellt fehlgeschlagen
Failed to place order,Bestellung konnte nicht aufgegeben werden
Failed to place order. Please try again.,Bestellung konnte nicht aufgegeben werden. Bitte erneut versuchen.
Failed to remove coupon,Gutschein konnte nicht entfernt werden
Failed to remove coupon.,Gutschein konnte nicht entfernt werden.
Failed to save custom fields,Benutzerdefinierte Felder konnten nicht gespeichert werden
Failed to set shipping method,Versandmethode konnte nicht festgelegt werden
Failed to set shipping note,Versandhinweis konnte nicht festgelegt werden
Failed to update address,Adresse konnte nicht aktualisiert werden
Failed to update field,Feld konnte nicht aktualisiert werden
Failed to update shipment,Sendung konnte nicht aktualisiert werden
Failed to update tracking info,Sendungsverfolgungsdaten konnten nicht aktualisiert werden
Failed to void label,Versandetikett konnte nicht storniert werden
Failed!,Fehlgeschlagen!
Fields applicable to this entity type. Adding a field applies it to all entities of this type.,"Felder, die für diesen Entitätstyp gelten. Das Hinzufügen eines Felds wendet es auf alle Entitäten dieses Typs an."
File size must be less than ${maxSize},Dateigröße muss kleiner als ${maxSize} sein
Filter Products,Produkte filtern
Filters,Filter
First,Erste
Free,Kostenlos
Free shipping,Kostenloser Versand
Free shipping ?,Kostenloser Versand?
Fulfill ${count} orders,${count} Bestellungen ausführen
Full Name is required,Vollständiger Name ist erforderlich
Fully shipped,Vollständig versandt
General,Allgemein
Get qty,Erhaltene Menge
Get qty is required,Erhaltene Menge ist erforderlich
Ghost,Ghost
Go,Los
Go to Login,Zur Anmeldung
Go to next page,Zur nächsten Seite
Go to previous page,Zur vorherigen Seite
Hello,Hallo
Hide from storefront,Im Shop ausblenden
ID,ID
In Stock,Auf Lager
Inactive,Inaktiv
Inclusive of tax ${totalTaxAmount},Inklusive Steuern ${totalTaxAmount}
Insert,Einfügen
Invalid address,Ungültige Adresse
Invalid cart,Ungültiger Warenkorb
Invalid cart id,Ungültige Warenkorb-ID
Invalid coupon,Ungültiger Gutschein
Invalid customer,Ungültiger Kunde
Invalid customer id,Ungültige Kunden-ID
Invalid email or password,Ungültige E-Mail oder ungültiges Passwort
Invalid format,Ungültiges Format
Invalid quantity,Ungültige Menge
Is Filterable?,Filterbar?
Is Required?,Erforderlich?
Item,Artikel
Items,Artikel
Items in this shipment will return to the order's unshipped pool. This action cannot be undone.,Die Artikel dieser Sendung werden in den nicht versandten Bestand der Bestellung zurückgeführt. Diese Aktion kann nicht rückgängig gemacht werden.
Key,Schlüssel
Key is required,Schlüssel ist erforderlich
Label,Bezeichnung
Label voided,Versandetikett storniert
Language,Sprache
Last,Letzte
Lifetime Sales,Gesamtumsatz
Light gray,Hellgrau
Limit,Limit
Link,Link
Loading,Wird geladen
Log in,Anmelden
Logging in...,Anmeldung läuft...
Logging out...,Abmeldung läuft...
Login failed,Anmeldung fehlgeschlagen
Logout failed,Abmeldung fehlgeschlagen
Look like you just started. No bestsellers yet.,"Sieht aus, als hätten Sie gerade erst begonnen. Noch keine Bestseller."
"Lowercase letters, digits, underscore. Immutable.","Kleinbuchstaben, Ziffern, Unterstrich. Unveränderlich."
Manage the general information of the attribute.,Verwalten Sie die allgemeinen Informationen des Attributs.
Manage the setting of the attribute.,Verwalten Sie die Einstellung des Attributs.
Mark as shipped,Als versandt markieren
Mark delivered,Als zugestellt markieren
Mark shipment as delivered?,Sendung als zugestellt markieren?
Max length,Maximale Länge
Max of Y,Maximum von Y
Max of Y is required,Maximum von Y ist erforderlich
Max value,Maximalwert
Min length,Minimale Länge
Min value,Minimalwert
Minimum quantity,Mindestmenge
Mint,Mintgrün
Monthly,Monatlich
More,Mehr
More pages,Weitere Seiten
Move down,Nach unten verschieben
Move up,Nach oben verschieben
Multiselect,Mehrfachauswahl
Must be at least ${n},Muss mindestens ${n} sein
Must be at least ${n} characters,Muss mindestens ${n} Zeichen lang sein
Must be at most ${n},Darf höchstens ${n} sein
Must be at most ${n} characters,Darf höchstens ${n} Zeichen lang sein
"Must start with a letter; lowercase letters, digits, underscore only","Muss mit einem Buchstaben beginnen; nur Kleinbuchstaben, Ziffern, Unterstrich"
Name is required,Name ist erforderlich
New Product,Neues Produkt
New Widget,Neues Widget
New folder,Neuer Ordner
Next,Weiter
Next slide,Nächste Folie
No,Nein
No address data received,Keine Adressdaten empfangen
"No attribute groups found for query ""${query}""",Keine Attributgruppen gefunden für „${query}“
No carriers registered,Keine Versanddienstleister registriert
"No categories found for ""${term}""",Keine Kategorien gefunden für „${term}“
"No categories found for query ""${query}""",Keine Kategorien gefunden für „${query}“
"No collections found for query ""${query}""",Keine Kollektionen gefunden für „${query}“
No coupon to remove,Kein Gutschein zum Entfernen
No custom fields yet.,Noch keine benutzerdefinierten Felder.
No data available,Keine Daten verfügbar
No free shipping,Kein kostenloser Versand
No limit,Kein Limit
No maximum,Kein Maximum
No minimum,Kein Minimum
No notes from customer,Keine Anmerkungen vom Kunden
"No options found for ""${code}""",Keine Optionen gefunden für „${code}“
"No products found for query ""${query}""",Keine Produkte gefunden für „${query}“
No shipments yet — your order is being prepared.,Noch keine Sendungen — Ihre Bestellung wird vorbereitet.
No shipping is required for this order,Für diese Bestellung ist kein Versand erforderlich
No shipping methods available,Keine Versandmethoden verfügbar
No shipping options are available for your location,Für Ihren Standort sind keine Versandoptionen verfügbar
No shipping required,Kein Versand erforderlich
No widgets match your search.,Keine Widgets entsprechen Ihrer Suche.
None,Keine
Not set,Nicht festgelegt
Not visible to customers,Für Kunden nicht sichtbar
Notify customer,Kunden benachrichtigen
Open in new tab,In neuem Tab öffnen
Operator,Operator
Option text,Optionstext
Optional help text shown to admins.,"Optionaler Hilfetext, der Administratoren angezeigt wird."
Order Placed,Bestellung aufgegeben
Order detail,Bestelldetails
Order must contain products matching all conditions below,"Die Bestellung muss Produkte enthalten, die alle folgenden Bedingungen erfüllen"
Order not found,Bestellung nicht gefunden
Orders,Bestellungen
Others,Sonstige
Out of Stock,Nicht auf Lager
Outline,Umriss
Overview of sales data over selected periods,Übersicht der Verkaufsdaten über ausgewählte Zeiträume
Overview of total sales and order status over the lifetime of your store,Übersicht des Gesamtumsatzes und Bestellstatus über die gesamte Laufzeit Ihres Shops
Page,Seite
Page ${currentPage} of ${totalPages},Seite ${currentPage} von ${totalPages}
Page not found,Seite nicht gefunden
Password is required,Passwort ist erforderlich
Password must be at least ${minLength} characters long,Das Passwort muss mindestens ${minLength} Zeichen lang sein
Paste a URL or a relative path starting with ,"Fügen Sie eine URL oder einen relativen Pfad ein, der beginnt mit "
Pattern (regex),Muster (Regex)
Pay with PayPal,Mit PayPal bezahlen
Pay with Stripe,Mit Stripe bezahlen
Payment Status,Zahlungsstatus
Placing Order...,Bestellung wird aufgegeben...
Please enter a coupon code,Bitte geben Sie einen Gutscheincode ein
Please enter a valid URL,Bitte geben Sie eine gültige URL ein
Please enter a valid email address,Bitte geben Sie eine gültige E-Mail-Adresse ein
Please enter your email to receive a reset link,"Bitte geben Sie Ihre E-Mail-Adresse ein, um einen Link zum Zurücksetzen zu erhalten"
Please provide billing address to proceed,"Bitte geben Sie eine Rechnungsadresse an, um fortzufahren"
Please select a payment method,Bitte wählen Sie eine Zahlungsmethode
Please select a shipping method,Bitte wählen Sie eine Versandmethode
Please sign in to your account,Bitte melden Sie sich bei Ihrem Konto an
Position,Position
Previous,Zurück
Previous slide,Vorherige Folie
Price: ${value},Preis: ${value}
Primary,Primär
Print Label,Etikett drucken
Processing Payment...,Zahlung wird verarbeitet...
Product Description,Produktbeschreibung
Product is out of stock,Produkt ist nicht auf Lager
Product name is required,Produktname ist erforderlich
Product not found,Produkt nicht gefunden
Product type,Produkttyp
Products,Produkte
Reason for cancellation,Grund für die Stornierung
Reason is required,Grund ist erforderlich
Recently placed orders by this customer,Kürzlich aufgegebene Bestellungen dieses Kunden
Redirecting to PayPal...,Weiterleitung zu PayPal...
Reference type,Referenztyp
Registration failed,Registrierung fehlgeschlagen
Remove item,Artikel entfernen
Remove sub-field,Unterfeld entfernen
Required,Erforderlich
Requires at least one item to create a cart,Zum Erstellen eines Warenkorbs ist mindestens ein Artikel erforderlich
Reset Password,Passwort zurücksetzen
Reset Your Password,Setzen Sie Ihr Passwort zurück
Reset password,Passwort zurücksetzen
Reset your password,Setzen Sie Ihr Passwort zurück
Root,Stammverzeichnis
SKU,SKU
SKU ${sku},SKU ${sku}
SKU must be unique,SKU muss eindeutig sein
SKU: ${sku},SKU: ${sku}
Sale Statistics,Verkaufsstatistiken
Save custom fields,Benutzerdefinierte Felder speichern
Save field,Feld speichern
Saved successfully!,Erfolgreich gespeichert!
Search attribute groups,Attributgruppen suchen
Search categories,Kategorien suchen
Search collections,Kollektionen suchen
"Search for products, orders, and other resources","Nach Produkten, Bestellungen und anderen Ressourcen suchen"
Search products,Produkte suchen
Search results for: ${keyword},Suchergebnisse für: ${keyword}
Search widgets…,Widgets suchen…
Searching...,Suche läuft...
Search…,Suchen…
See all orders →,Alle Bestellungen anzeigen →
Select,Auswählen
Select a carrier,Versanddienstleister auswählen
Select at least one item to ship,Wählen Sie mindestens einen Artikel zum Versand aus
Select groups the attribute belongs to,"Gruppen auswählen, zu denen das Attribut gehört"
Select shipping method,Versandmethode auswählen
Select sort,Sortierung auswählen
"Select the items going in this shipment, then add the carrier & tracking.",Wählen Sie die Artikel für diese Sendung aus und fügen Sie dann Versanddienstleister & Sendungsverfolgung hinzu.
Setting,Einstellung
Settings,Einstellungen
Shipment Status,Sendungsstatus
Shipment canceled,Sendung storniert
Shipment created,Sendung erstellt
Shipment marked delivered,Sendung als zugestellt markiert
Shipments,Sendungen
Shipped,Versandt
Shipping (${method}),Versand (${method})
Shipping Setting,Versandeinstellung
Show,Anzeigen
Show all ${count} options,Alle ${count} Optionen anzeigen
Show on storefront,Im Shop anzeigen
Showing ${showing} of ${total},${showing} von ${total} angezeigt
Showing ${start}-${end} of ${total} results,${start}-${end} von ${total} Ergebnissen angezeigt
Sidebar,Seitenleiste
Sign in to view your orders,"Melden Sie sich an, um Ihre Bestellungen anzusehen"
Simple,Einfach
Sky,Himmelblau
Sold out,Ausverkauft
Some error occurred. Please try again later.,Es ist ein Fehler aufgetreten. Bitte versuchen Sie es später erneut.
Some products are not available,Einige Produkte sind nicht verfügbar
Something went wrong! Please try again.,Etwas ist schiefgelaufen! Bitte versuchen Sie es erneut.
Something went wrong. Please try again later.,Etwas ist schiefgelaufen. Bitte versuchen Sie es später erneut.
Something wrong. Please try again,Etwas ist schiefgelaufen. Bitte versuchen Sie es erneut
Sort Order,Sortierreihenfolge
Sort order,Sortierreihenfolge
Status,Status
Stock,Lagerbestand
Stripe is not loaded. Please try again.,Stripe ist nicht geladen. Bitte versuchen Sie es erneut.
Style,Stil
Sub-fields,Unterfelder
Submit Cancellation,Stornierung absenden
Successfully logged in,Erfolgreich angemeldet
Successfully logged out,Erfolgreich abgemeldet
Tax Setting,Steuereinstellung
Test failure,Test fehlgeschlagen
Test failure:,Test fehlgeschlagen:
Test success,Test erfolgreich
Test success:,Test erfolgreich:
Text,Text
Textarea,Textbereich
The carrier will mark the tracking number as invalid. You will need to purchase a new label if you still intend to ship.,"Der Versanddienstleister markiert die Sendungsnummer als ungültig. Sie müssen ein neues Etikett kaufen, wenn Sie dennoch versenden möchten."
The customer will receive a delivery confirmation email.,Der Kunde erhält eine Liefer­bestätigungs-E-Mail.
There is no category,Es gibt keine Kategorie
There is no file to display.,Es gibt keine Datei zum Anzeigen.
There is no sub folder.,Es gibt keinen Unterordner.
There was an error:,Es ist ein Fehler aufgetreten:
This tracking link has expired,Dieser Sendungsverfolgungslink ist abgelaufen
This tracking link is no longer valid,Dieser Sendungsverfolgungslink ist nicht mehr gültig
Thumbnail,Miniaturansicht
Time must be after ${min},Die Uhrzeit muss nach ${min} liegen
Time must be before ${max},Die Uhrzeit muss vor ${max} liegen
Toggle Sidebar,Seitenleiste umschalten
Token is invalid or expired,Token ist ungültig oder abgelaufen
Too many items requested,Zu viele Elemente angefordert
Track,Verfolgen
Track shipment →,Sendung verfolgen →
Track your order,Ihre Bestellung verfolgen
Tracking info updated,Sendungsverfolgungsinfo aktualisiert
Tracking link,Sendungsverfolgungslink
Tracking links are good for a limited time. Sign in to your account to see the current status of your order.,"Sendungsverfolgungslinks sind nur eine begrenzte Zeit gültig. Melden Sie sich in Ihrem Konto an, um den aktuellen Status Ihrer Bestellung zu sehen."
Tracking number,Sendungsnummer
Type,Typ
Type / to see the available blocks,"Geben Sie / ein, um die verfügbaren Blöcke zu sehen"
UPDATE PASSWORD,PASSWORT AKTUALISIEREN
Update address API not available,API zum Aktualisieren der Adresse nicht verfügbar
Update field,Feld aktualisieren
Upload,Hochladen
Validation,Validierung
Value,Wert
Value must be a whole number,Der Wert muss eine ganze Zahl sein
Value must be at least ${min},Der Wert muss mindestens ${min} betragen
Value must be at most ${max},Der Wert darf höchstens ${max} betragen
View All Products,Alle Produkte anzeigen
View JSON,JSON anzeigen
View all customers,Alle Kunden anzeigen
Visible to customer,Für Kunden sichtbar
Void Label,Etikett stornieren
Void label,Etikett stornieren
Void this shipping label?,Dieses Versandetikett stornieren?
"We could not find this order. It may have been removed, or it may belong to a different account.",Wir konnten diese Bestellung nicht finden. Sie wurde möglicherweise entfernt oder gehört zu einem anderen Konto.
"We could not verify this link. If you received it in an email from us, please try again from the most recent message, or sign in to your account.","Wir konnten diesen Link nicht verifizieren. Wenn Sie ihn in einer E-Mail von uns erhalten haben, versuchen Sie es bitte erneut über die neueste Nachricht oder melden Sie sich in Ihrem Konto an."
We have sent you an email with a link to reset your password. Please check your inbox.,Wir haben Ihnen eine E-Mail mit einem Link zum Zurücksetzen Ihres Passworts gesendet. Bitte überprüfen Sie Ihren Posteingang.
Weekly,Wöchentlich
Welcome to our store!,Willkommen in unserem Shop!
"Where you ship, shipping methods and delivery fee","Wohin Sie versenden, Versandmethoden und Liefergebühr"
White,Weiß
Yes,Ja
You are already logged in,Sie sind bereits angemeldet
You are here:,Sie befinden sich hier:
You have no attribute groups to display,Sie haben keine Attributgruppen zum Anzeigen
You have no categories to display,Sie haben keine Kategorien zum Anzeigen
You have no collections to display,Sie haben keine Kollektionen zum Anzeigen
You have no products to display,Sie haben keine Produkte zum Anzeigen
You have not placed any orders yet.,Sie haben noch keine Bestellungen aufgegeben.
You paid for,Sie haben bezahlt für
You will be redirected to PayPal for payment processing.,Sie werden zur Zahlungsabwicklung zu PayPal weitergeleitet.
Your Orders,Ihre Bestellungen
Your order #${number} has been delivered,Ihre Bestellung #${number} wurde geliefert
Your order #${number} is on the way,Ihre Bestellung #${number} ist unterwegs
Your order has been confirmed!,Ihre Bestellung wurde bestätigt!
Your password has been updated successfully.,Ihr Passwort wurde erfolgreich aktualisiert.
across,über
available to ship,versandbereit
breadcrumb,Brotkrümelnavigation
e.g. Care instructions,z. B. Pflegehinweise
"e.g. New, Sale, Limited","z. B. Neu, Sale, Limitiert"
e.g. Question,z. B. Frage
e.g. care_instructions,z. B. care_instructions
e.g. question,z. B. question
item,Artikel
items,Artikel
left to ship,noch zu versenden
of,von
of ${count},von ${count}
unit,Einheit
units,Einheiten
${count} changes published.,${count} Änderungen veröffentlicht.
${count} child widgets,${count} untergeordnete Widgets
${count} countries,${count} Länder
${count} on ${route},${count} auf ${route}
${count} ops total,${count} Vorgänge insgesamt
${count} pending ops,${count} ausstehende Vorgänge
${count} pending ops on,${count} ausstehende Vorgänge auf
${count} routes,${count} Routen
${direction} failed,${direction} fehlgeschlagen
${method} — ${zone} rate,${method} — ${zone}-Tarif
${method} — new rate,${method} — neuer Tarif
${name} attached to ${zone},${name} mit ${zone} verknüpft
${name} configuration for ${zone},${name}-Konfiguration für ${zone}
${name} configuration for this zone,${name}-Konfiguration für diese Zone
${name} configuration saved for ${zone},${name}-Konfiguration für ${zone} gespeichert
${name} detached,${name} getrennt
${name} is required,${name} ist erforderlich
${title} settings,${title}-Einstellungen
${total} changes will go live immediately.,${total} Änderungen werden sofort live geschaltet.
${total} items,${total} Artikel
(envelope),(Umschlag)
+ Add Line,+ Zeile hinzufügen
+ Add Method,+ Methode hinzufügen
+ Add Rate,+ Tarif hinzufügen
+ Add placement,+ Platzierung hinzufügen
+ Attach Provider,+ Anbieter verknüpfen
+ New package,+ Neues Paket
+${count} more,+${count} weitere
", +${count} more",", +${count} weitere"
", last updated",", zuletzt aktualisiert"
0 for flat envelopes,0 für flache Umschläge
1 change published.,1 Änderung veröffentlicht.
1 change will go live immediately.,1 Änderung wird sofort live geschaltet.
1 child widget,1 untergeordnetes Widget
1 op total,1 Vorgang insgesamt
1 pending op,1 ausstehender Vorgang
1 pending op on,1 ausstehender Vorgang auf
A package is required for shippable products,Für versandfähige Produkte ist ein Paket erforderlich
A rollout plan saves your current edits as a snapshot and applies them automatically during a scheduled window.,Ein Rollout-Plan speichert Ihre aktuellen Änderungen als Schnappschuss und wendet sie automatisch während eines geplanten Zeitfensters an.
Action,Aktion
Actions,Aktionen
Add,Hinzufügen
Add Products,Produkte hinzufügen
Add Rate,Tarif hinzufügen
Add Shipping Method,Versandmethode hinzufügen
Add Tax Rate,Steuersatz hinzufügen
Add Variant,Variante hinzufügen
Add products to this category by selecting them from the list below.,"Fügen Sie dieser Kategorie Produkte hinzu, indem Sie sie aus der folgenden Liste auswählen."
Add rate,Tarif hinzufügen
Added,Hinzugefügt
Adding to Column ${number},Wird zu Spalte ${number} hinzugefügt
Additional languages,Weitere Sprachen
Admin panel language,Sprache des Admin-Bereichs
Affects ${count} pages,Betrifft ${count} Seiten
Affects 1 page,Betrifft 1 Seite
All pages,Alle Seiten
All registered providers are already attached to this zone.,Alle registrierten Anbieter sind bereits mit dieser Zone verknüpft.
All routes,Alle Routen
Also shown on ${routes},Auch angezeigt auf ${routes}
Also shown on ${routes} +${count},Auch angezeigt auf ${routes} +${count}
Amount must be greater than or equal to 0,Betrag muss größer oder gleich 0 sein
Amount must be less than or equal to ${value} ${currency},Betrag muss kleiner oder gleich ${value} ${currency} sein
Apply a condition?,Bedingung anwenden?
Area,Bereich
Area is required,Bereich ist erforderlich
At least one country is required,Mindestens ein Land ist erforderlich
Attach,Zuweisen
Attach Provider to ${zone},Anbieter zu ${zone} zuweisen
Attached Providers,Zugewiesene Anbieter
