Welcome Back!,欢迎回来！
Attribute Group,属性组
Attribute code is used in API and must be unique,属性代码用于 API，必须唯一
Attribute options,属性选项
Attributes,属性
Available shipping methods will appear once you provide your address details,提供地址信息后，可用的配送方式将会显示
Best Sellers,畅销商品
Best customers,最佳客户
Billing address,账单地址
Black,黑色
Buy qty,购买数量
Buy qty is required,购买数量为必填项
Can not process payment. Please try again later.,无法处理付款。请稍后重试。
Can't be undone,无法撤销
Cancel,取消
Cancel Order,取消订单
Cancel shipment,取消发货
Cancel this shipment?,取消此次发货？
Canceled,已取消
Cancelled,已取消
Cannot add billing address: cart not initialized,无法添加账单地址：购物车未初始化
Cannot add contact info: cart not initialized,无法添加联系信息：购物车未初始化
Cannot add payment method: cart not initialized,无法添加付款方式：购物车未初始化
Cannot add shipping address: cart not initialized,无法添加收货地址：购物车未初始化
Cannot add shipping method: cart not initialized,无法添加配送方式：购物车未初始化
Cannot add shipping method: providerCode is required,无法添加配送方式：providerCode 为必填项
Cannot apply coupon: cart not initialized,无法应用优惠券：购物车未初始化
Cannot remove coupon: cart not initialized,无法移除优惠券：购物车未初始化
Carrier,承运商
Carrier is required,承运商为必填项
Cart ID is required to checkout,结账需要购物车 ID
Cart is not initialized,购物车未初始化
Catalog,商品目录
Categories,分类
Category,分类
Charcoal,炭灰色
Checkout success,结账成功
Choose Product SKU,选择商品 SKU
Choose SKU,选择 SKU
City is required,城市为必填项
Clear All,全部清除
Clear Filters,清除筛选
Clear all,全部清除
Clear categories,清除分类
Close fullscreen view,关闭全屏视图
Code,代码
Collections,系列
Comma-separated; renders the value as a dropdown.,以逗号分隔；将值渲染为下拉菜单。
Completed,已完成
Configurable,可配置
Configure tax classes and tax rates,配置税类和税率
Confirm,确认
Contact for pricing,联系咨询价格
Conveniently pay with cash at your doorstep when your order is delivered.,订单送达时，您可方便地在家门口以现金付款。
Coupon applied successfully!,优惠券应用成功！
Coupon code is required,优惠券代码为必填项
Coupon does not match,优惠券不匹配
Coupon removed successfully!,优惠券移除成功！
Cream,奶油色
Create,创建
Create a new attribute,创建新属性
Create a new group,创建新分组
Create a new package,创建新包裹
Create shipment,创建发货
Created,已创建
Custom URL,自定义 URL
Custom field created,自定义字段已创建
Custom field updated,自定义字段已更新
Custom fields,自定义字段
Custom fields (JSON),自定义字段 (JSON)
Custom fields saved,自定义字段已保存
Customer Information,客户信息
Customer does not have any order yet.,该客户尚无任何订单。
Customer notes,客户备注
Daily,每日
Date and time must be after ${min},日期和时间必须晚于 ${min}
Date and time must be before ${max},日期和时间必须早于 ${max}
Date must be after ${min},日期必须晚于 ${min}
Date must be before ${max},日期必须早于 ${max}
Delete ${count} coupons,删除 ${count} 张优惠券
Delete ${count} products,删除 ${count} 个商品
Delete address API not available,删除地址 API 不可用
Delivered,已送达
Description,描述
Disable,禁用
Disable ${count} coupons,禁用 ${count} 张优惠券
Disable ${count} customers,禁用 ${count} 位客户
Disable ${count} products,禁用 ${count} 个商品
Disabled,已禁用
Discount percent,折扣百分比
Discount percent is required,折扣百分比为必填项
Display on Frontend?,在前台显示？
Displays the mobile sidebar.,显示移动端侧边栏。
Done,完成
Drag to reorder,拖动以重新排序
Duplicate,复制
Edit custom field,编辑自定义字段
Edit field settings,编辑字段设置
Edit package,编辑包裹
Edit tracking info,编辑物流跟踪信息
Editing ${name},正在编辑 ${name}
Email a shipment confirmation,发送发货确认邮件
Email a shipment confirmation with tracking details,发送包含物流跟踪详情的发货确认邮件
Email is required,电子邮箱为必填项
Enable,启用
Enable ${count} coupons,启用 ${count} 张优惠券
Enable ${count} customers,启用 ${count} 位客户
Enable ${count} products,启用 ${count} 个商品
Enabled,已启用
Enter attribute code,输入属性代码
Enter attribute name,输入属性名称
Enter text,输入文本
Enter value for ${attribute},输入 ${attribute} 的值
Enter your email,输入您的电子邮箱
Enter your new password,输入您的新密码
Enter your password,输入您的密码
Error,错误
Failed to add address,添加地址失败
Failed to add billing address,添加账单地址失败
Failed to add billing address.,添加账单地址失败。
Failed to add contact info,添加联系信息失败
Failed to add contact info.,添加联系信息失败。
Failed to add item to cart,添加商品到购物车失败
Failed to add payment method,添加付款方式失败
Failed to add payment method.,添加付款方式失败。
Failed to add product to cart,添加商品到购物车失败
Failed to add shipping address,添加收货地址失败
Failed to add shipping address.,添加收货地址失败。
Failed to add shipping method,添加配送方式失败
Failed to add shipping method.,添加配送方式失败。
Failed to apply coupon,应用优惠券失败
Failed to cancel shipment,取消发货失败
Failed to checkout,结账失败
Failed to create field,创建字段失败
Failed to create shipment,创建发货单失败
Failed to delete address,删除地址失败
Failed to load custom fields,加载自定义字段失败
Failed to mark delivered,标记为已送达失败
Failed to place order,下单失败
Failed to place order. Please try again.,下单失败。请重试。
Failed to remove coupon,移除优惠券失败
Failed to remove coupon.,移除优惠券失败。
Failed to save custom fields,保存自定义字段失败
Failed to set shipping method,设置配送方式失败
Failed to set shipping note,设置配送备注失败
Failed to update address,更新地址失败
Failed to update field,更新字段失败
Failed to update shipment,更新发货单失败
Failed to update tracking info,更新物流跟踪信息失败
Failed to void label,作废运单标签失败
Failed!,失败！
Fields applicable to this entity type. Adding a field applies it to all entities of this type.,适用于此实体类型的字段。添加字段后将应用于该类型的所有实体。
File size must be less than ${maxSize},文件大小必须小于 ${maxSize}
Filter Products,筛选商品
Filters,筛选条件
First,首页
Free,免费
Free shipping,免运费
Free shipping ?,免运费？
Fulfill ${count} orders,履行 ${count} 个订单
Full Name is required,全名为必填项
Fully shipped,已全部发货
General,常规
Get qty,赠送数量
Get qty is required,赠送数量为必填项
Ghost,幽灵样式
Go,前往
Go to Login,前往登录
Go to next page,前往下一页
Go to previous page,前往上一页
Hello,你好
Hide from storefront,在店面中隐藏
ID,ID
In Stock,有货
Inactive,未激活
Inclusive of tax ${totalTaxAmount},含税 ${totalTaxAmount}
Insert,插入
Invalid address,地址无效
Invalid cart,购物车无效
Invalid cart id,购物车 ID 无效
Invalid coupon,优惠券无效
Invalid customer,客户无效
Invalid customer id,客户 ID 无效
Invalid email or password,电子邮箱或密码无效
Invalid format,格式无效
Invalid quantity,数量无效
Is Filterable?,是否可筛选？
Is Required?,是否必填？
Item,商品
Items,商品
Items in this shipment will return to the order's unshipped pool. This action cannot be undone.,此发货单中的商品将退回到订单的未发货池中。此操作无法撤销。
Key,键
Key is required,键为必填项
Label,标签
Label voided,运单标签已作废
Language,语言
Last,末页
Lifetime Sales,累计销售额
Light gray,浅灰色
Limit,限制
Link,链接
Loading,加载中
Log in,登录
Logging in...,正在登录…
Logging out...,正在退出…
Login failed,登录失败
Logout failed,退出失败
Look like you just started. No bestsellers yet.,看起来您刚刚起步。暂无热销商品。
"Lowercase letters, digits, underscore. Immutable.",小写字母、数字、下划线。不可更改。
Manage the general information of the attribute.,管理属性的常规信息。
Manage the setting of the attribute.,管理属性的设置。
Mark as shipped,标记为已发货
Mark delivered,标记为已送达
Mark shipment as delivered?,将发货单标记为已送达？
Max length,最大长度
Max of Y,Y 的最大值
Max of Y is required,Y 的最大值为必填项
Max value,最大值
Min length,最小长度
Min value,最小值
Minimum quantity,最小数量
Mint,薄荷绿
Monthly,每月
More,更多
More pages,更多页面
Move down,下移
Move up,上移
Multiselect,多选
Must be at least ${n},不得小于 ${n}
Must be at least ${n} characters,不得少于 ${n} 个字符
Must be at most ${n},不得大于 ${n}
Must be at most ${n} characters,不得超过 ${n} 个字符
"Must start with a letter; lowercase letters, digits, underscore only",必须以字母开头；仅限小写字母、数字和下划线
Name is required,名称为必填项
New Product,新建商品
New Widget,新建小组件
New folder,新建文件夹
Next,下一步
Next slide,下一张幻灯片
No,否
No address data received,未收到地址数据
"No attribute groups found for query ""${query}""","未找到与查询 ""${query}"" 匹配的属性组"
No carriers registered,未注册任何承运商
"No categories found for ""${term}""","未找到与 ""${term}"" 匹配的分类"
"No categories found for query ""${query}""","未找到与查询 ""${query}"" 匹配的分类"
"No collections found for query ""${query}""","未找到与查询 ""${query}"" 匹配的集合"
No coupon to remove,没有可移除的优惠券
No custom fields yet.,暂无自定义字段。
No data available,暂无数据
No free shipping,无免运费
No limit,无限制
No maximum,无上限
No minimum,无下限
No notes from customer,客户未留备注
"No options found for ""${code}""","未找到 ""${code}"" 的选项"
"No products found for query ""${query}""","未找到与查询 ""${query}"" 匹配的商品"
No shipments yet — your order is being prepared.,暂无发货 — 您的订单正在准备中。
No shipping is required for this order,此订单无需配送
No shipping methods available,暂无可用的配送方式
No shipping options are available for your location,您所在的地区暂无可用的配送选项
No shipping required,无需配送
No widgets match your search.,没有与您的搜索匹配的小组件。
None,无
Not set,未设置
Not visible to customers,对客户不可见
Notify customer,通知客户
Open in new tab,在新标签页中打开
Operator,运算符
Option text,选项文本
Optional help text shown to admins.,显示给管理员的可选帮助文本。
Order Placed,已下单
Order detail,订单详情
Order must contain products matching all conditions below,订单必须包含满足以下所有条件的商品
Order not found,未找到订单
Orders,订单
Others,其他
Out of Stock,缺货
Outline,描边
Overview of sales data over selected periods,所选时间段内销售数据概览
Overview of total sales and order status over the lifetime of your store,商店全周期总销售额与订单状态概览
Page,页面
Page ${currentPage} of ${totalPages},第 ${currentPage} 页，共 ${totalPages} 页
Page not found,页面未找到
Password is required,密码为必填项
Password must be at least ${minLength} characters long,密码长度不得少于 ${minLength} 个字符
Paste a URL or a relative path starting with ,粘贴 URL 或以此开头的相对路径 
Pattern (regex),模式（正则表达式）
Pay with PayPal,使用 PayPal 付款
Pay with Stripe,使用 Stripe 付款
Payment Status,付款状态
Placing Order...,正在下单...
Please enter a coupon code,请输入优惠券代码
Please enter a valid URL,请输入有效的 URL
Please enter a valid email address,请输入有效的电子邮件地址
Please enter your email to receive a reset link,请输入您的电子邮件以接收重置链接
Please provide billing address to proceed,请提供账单地址以继续
Please select a payment method,请选择付款方式
Please select a shipping method,请选择配送方式
Please sign in to your account,请登录您的账户
Position,位置
Previous,上一步
Previous slide,上一张幻灯片
Price: ${value},价格：${value}
Primary,主要
Print Label,打印标签
Processing Payment...,正在处理付款...
Product Description,商品描述
Product is out of stock,商品已缺货
Product name is required,商品名称为必填项
Product not found,未找到商品
Product type,商品类型
Products,商品
Reason for cancellation,取消原因
Reason is required,原因为必填项
Recently placed orders by this customer,该客户近期下单记录
Redirecting to PayPal...,正在跳转至 PayPal...
Reference type,引用类型
Registration failed,注册失败
Remove item,移除项目
Remove sub-field,移除子字段
Required,必填
Requires at least one item to create a cart,创建购物车至少需要一件商品
Reset Password,重置密码
Reset Your Password,重置您的密码
Reset password,重置密码
Reset your password,重置您的密码
Root,根目录
SKU,SKU
SKU ${sku},SKU ${sku}
SKU must be unique,SKU 必须唯一
SKU: ${sku},SKU：${sku}
Sale Statistics,销售统计
Save custom fields,保存自定义字段
Save field,保存字段
Saved successfully!,保存成功！
Search attribute groups,搜索属性组
Search categories,搜索分类
Search collections,搜索集合
"Search for products, orders, and other resources",搜索商品、订单及其他资源
Search products,搜索商品
Search results for: ${keyword},${keyword} 的搜索结果
Search widgets…,搜索小组件…
Searching...,正在搜索...
Search…,搜索…
See all orders →,查看所有订单 →
Select,选择
Select a carrier,选择承运商
Select at least one item to ship,请至少选择一件商品进行发货
Select groups the attribute belongs to,选择该属性所属的分组
Select shipping method,选择配送方式
Select sort,选择排序
"Select the items going in this shipment, then add the carrier & tracking.",选择本次发货包含的商品，然后添加承运商和物流单号。
Setting,设置
Settings,设置
Shipment Status,发货状态
Shipment canceled,发货已取消
Shipment created,发货已创建
Shipment marked delivered,发货已标记为已送达
Shipments,发货
Shipped,已发货
Shipping (${method}),配送（${method}）
Shipping Setting,配送设置
Show,显示
Show all ${count} options,显示全部 ${count} 个选项
Show on storefront,在店铺前台显示
Showing ${showing} of ${total},显示 ${showing} / ${total}
Showing ${start}-${end} of ${total} results,显示第 ${start}-${end} 条，共 ${total} 条结果
Sidebar,侧边栏
Sign in to view your orders,登录以查看您的订单
Simple,简单
Sky,天蓝色
Sold out,售罄
Some error occurred. Please try again later.,发生错误。请稍后重试。
Some products are not available,部分商品不可用
Something went wrong! Please try again.,出错了！请重试。
Something went wrong. Please try again later.,出错了。请稍后重试。
Something wrong. Please try again,出现错误，请重试
Sort Order,排序顺序
Sort order,排序顺序
Status,状态
Stock,库存
Stripe is not loaded. Please try again.,Stripe 未加载，请重试。
Style,样式
Sub-fields,子字段
Submit Cancellation,提交取消
Successfully logged in,登录成功
Successfully logged out,退出成功
Tax Setting,税务设置
Test failure,测试失败
Test failure:,测试失败：
Test success,测试成功
Test success:,测试成功：
Text,文本
Textarea,文本域
The carrier will mark the tracking number as invalid. You will need to purchase a new label if you still intend to ship.,承运商将把该追踪单号标记为无效。如果您仍打算发货，则需要购买新的运单标签。
The customer will receive a delivery confirmation email.,客户将收到一封送达确认邮件。
There is no category,没有分类
There is no file to display.,没有可显示的文件。
There is no sub folder.,没有子文件夹。
There was an error:,发生错误：
This tracking link has expired,此追踪链接已过期
This tracking link is no longer valid,此追踪链接已失效
Thumbnail,缩略图
Time must be after ${min},时间必须晚于 ${min}
Time must be before ${max},时间必须早于 ${max}
Toggle Sidebar,切换侧边栏
Token is invalid or expired,令牌无效或已过期
Too many items requested,请求的项目过多
Track,追踪
Track shipment →,追踪发货 →
Track your order,追踪您的订单
Tracking info updated,追踪信息已更新
Tracking link,追踪链接
Tracking links are good for a limited time. Sign in to your account to see the current status of your order.,追踪链接的有效期有限。请登录您的账户以查看订单的当前状态。
Tracking number,追踪单号
Type,类型
Type / to see the available blocks,输入 / 查看可用的区块
UPDATE PASSWORD,更新密码
Update address API not available,更新地址 API 不可用
Update field,更新字段
Upload,上传
Validation,验证
Value,值
Value must be a whole number,值必须为整数
Value must be at least ${min},值必须至少为 ${min}
Value must be at most ${max},值最多为 ${max}
View All Products,查看所有商品
View JSON,查看 JSON
View all customers,查看所有客户
Visible to customer,对客户可见
Void Label,作废运单标签
Void label,作废运单标签
Void this shipping label?,作废此运单标签？
"We could not find this order. It may have been removed, or it may belong to a different account.",我们找不到此订单。它可能已被删除，或属于其他账户。
"We could not verify this link. If you received it in an email from us, please try again from the most recent message, or sign in to your account.",我们无法验证此链接。如果您是通过我们的邮件收到的，请使用最新一封邮件重试，或登录您的账户。
We have sent you an email with a link to reset your password. Please check your inbox.,我们已向您发送了一封包含重置密码链接的邮件。请检查您的收件箱。
Weekly,每周
Welcome to our store!,欢迎光临本店！
"Where you ship, shipping methods and delivery fee",配送地区、配送方式和配送费用
White,白色
Yes,是
You are already logged in,您已登录
You are here:,您当前位置：
You have no attribute groups to display,没有可显示的属性组
You have no categories to display,没有可显示的分类
You have no collections to display,没有可显示的系列
You have no products to display,没有可显示的商品
You have not placed any orders yet.,您还没有下过任何订单。
You paid for,您已支付
You will be redirected to PayPal for payment processing.,您将被重定向至 PayPal 进行付款处理。
Your Orders,您的订单
Your order #${number} has been delivered,您的订单 #${number} 已送达
Your order #${number} is on the way,您的订单 #${number} 正在配送中
Your order has been confirmed!,您的订单已确认！
Your password has been updated successfully.,您的密码已成功更新。
across,跨
available to ship,可发货
breadcrumb,面包屑导航
e.g. Care instructions,例如：保养说明
"e.g. New, Sale, Limited",例如：新品、促销、限量
e.g. Question,例如：问题
e.g. care_instructions,例如：care_instructions
e.g. question,例如：question
item,件
items,件
left to ship,待发货
of,／
of ${count},／共 ${count}
unit,单位
units,单位
${count} changes published.,已发布 ${count} 项更改。
${count} child widgets,${count} 个子小部件
${count} countries,${count} 个国家/地区
${count} on ${route},${count} 个，位于 ${route}
${count} ops total,共 ${count} 项操作
${count} pending ops,${count} 项待处理操作
${count} pending ops on,${count} 项待处理操作，位于
${count} routes,${count} 个路由
${direction} failed,${direction} 失败
${method} — ${zone} rate,${method} — ${zone} 费率
${method} — new rate,${method} — 新费率
${name} attached to ${zone},${name} 已附加到 ${zone}
${name} configuration for ${zone},${zone} 的 ${name} 配置
${name} configuration for this zone,此区域的 ${name} 配置
${name} configuration saved for ${zone},已保存 ${zone} 的 ${name} 配置
${name} detached,${name} 已分离
${name} is required,${name} 为必填项
${title} settings,${title} 设置
${total} changes will go live immediately.,${total} 项更改将立即生效。
${total} items,${total} 项
(envelope),（信封）
+ Add Line,+ 添加行
+ Add Method,+ 添加方式
+ Add Rate,+ 添加费率
+ Add placement,+ 添加投放位置
+ Attach Provider,+ 附加服务商
+ New package,+ 新建包裹
+${count} more,+${count} 更多
", +${count} more",，+${count} 更多
", last updated",，最后更新于
0 for flat envelopes,扁平信封填 0
1 change published.,已发布 1 项更改。
1 change will go live immediately.,1 项更改将立即生效。
1 child widget,1 个子小部件
1 op total,共 1 项操作
1 pending op,1 项待处理操作
1 pending op on,1 项待处理操作，位于
A package is required for shippable products,可配送商品需要指定包裹
A rollout plan saves your current edits as a snapshot and applies them automatically during a scheduled window.,发布计划会将您当前的编辑保存为快照，并在预定的时间窗口内自动应用。
Action,操作
Actions,操作
Add,添加
Add Products,添加商品
Add Rate,添加费率
Add Shipping Method,添加配送方式
Add Tax Rate,添加税率
Add Variant,添加变体
Add products to this category by selecting them from the list below.,从下方列表中选择商品，将其添加到此分类。
Add rate,添加费率
Added,已添加
Adding to Column ${number},添加到第 ${number} 列
Additional languages,其他语言
Admin panel language,管理后台语言
Affects ${count} pages,影响 ${count} 个页面
Affects 1 page,影响 1 个页面
All pages,所有页面
All registered providers are already attached to this zone.,所有已注册的提供商都已附加到此区域。
All routes,所有路由
Also shown on ${routes},同时显示在 ${routes}
Also shown on ${routes} +${count},同时显示在 ${routes} +${count}
Amount must be greater than or equal to 0,金额必须大于或等于 0
Amount must be less than or equal to ${value} ${currency},金额必须小于或等于 ${value} ${currency}
Apply a condition?,应用条件？
Area,区域
Area is required,区域为必填项
At least one country is required,至少需要一个国家/地区
Attach,附加
Attach Provider to ${zone},将提供商附加到 ${zone}
Attached Providers,已附加的提供商
Attribute Name,属性名称
Attribute code is required,属性代码为必填项
Attribute created successfully!,属性创建成功！
Attribute group,属性组
Attribute name is required,属性名称为必填项
Authorize only,仅授权
Auto-saves while you edit,编辑时自动保存
Back To Dashboard,返回仪表板
Base calculation address,基础计算地址
Based on cart subtotal,基于购物车小计
Based on cart weight,基于购物车重量
Basic configuration,基础配置
Boolean,布尔值
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,具有按区域费率的内置配送方式。请先在 设置 → 配送 中将 Core 附加到某个区域；然后在此处添加方式并按区域配置其费率。
Buy X get Y,买 X 送 Y
CMS,CMS
Calculation type,计算类型
Can not change the attribute group of a product that is already in a variant group.,无法更改已在变体组中的产品的属性组。
Cancel rollout,取消发布
Cancel rollout plan?,取消发布计划？
Canvas device width,画布设备宽度
Capture,捕获
Capture Payment,捕获付款
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,用于履约的承运商提示 — 永远不会在结账时显示。NewShipmentDialog 使用它来预选承运商。
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,购买运单时使用的承运商特定服务代码 (CreateLabelInput.serviceCode)。自由格式 — 请在承运商的 API 文档中核实确切的令牌。留空可让承运商选择其默认服务。
Cash On Delivery Payment,货到付款
"Catalog, Search",目录、搜索
Category Image,分类图片
Category Name,分类名称
Category created successfully!,分类创建成功！
Category name is required,分类名称为必填项
Choose Attribute Groups,选择属性组
Choose Categories,选择分类
Choose Collections,选择系列
Choose SKUs,选择 SKU
Choose how much of your unpublished work to discard. The published storefront is not affected.,选择要丢弃多少未发布的工作内容。已发布的店面不受影响。
Choose where you ship and how much you charge for shipping.,选择您的配送地点以及配送收费金额。
Clear filter,清除筛选
Clear filters,清除筛选
Client ID,客户端 ID
Client Secret,客户端密钥
Close,关闭
Close settings,关闭设置
Close — continue draft,关闭 — 继续草稿
Cms Pages,CMS 页面
Collapse left rail,折叠左侧栏
Collapse panel,折叠面板
Collection Code,系列代码
Collection Name,系列名称
Collection code is required,系列代码为必填项
Collection code must be alphanumeric and can include underscores or dashes.,系列代码必须为字母数字，可包含下划线或连字符。
Collection created successfully!,系列创建成功！
Color,颜色
Commerce,商务
Compound,复合
Condition,条件
Configure,配置
Configure cost and conditions per zone. Zones without a rate don't offer this method.,按区域配置费用和条件。没有费率的区域不提供此方式。
Configure rate,配置费率
Configure the available payment methods,配置可用的付款方式
Configure the settings for the ${name} widget.,配置 ${name} 小部件的设置。
Configure the tax classes that will be available to your customers at checkout.,配置结账时可供客户使用的税务类别。
Configure your Cash On Delivery payment gateway settings,配置您的货到付款支付网关设置
Configure your Paypal payment gateway settings,配置您的 Paypal 支付网关设置
Configure your Stripe payment gateway settings,配置您的 Stripe 支付网关设置
Configure your store information,配置您的商店信息
"Conflicts with ${plan1}, ${plan2}",与 ${plan1}、${plan2} 冲突
Conflicts with ${plan},与 ${plan} 冲突
Conflicts with ${plan} +${count},与 ${plan} +${count} 冲突
Conflicts with:,冲突项：
Content,内容
Continue a saved rollout plan,继续已保存的发布计划
Continue your draft,继续您的草稿
Core Shipping,Core 配送
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,Core 尚未附加到任何区域。请先在 设置 → 配送 中附加它。
Cost,费用
Cost is required,费用为必填项
Could not start fresh,无法重新开始
Countries,国家/地区
"Country code (e.g., ""US""). Use ""*"" for all countries.","国家/地区代码（例如 ""US""）。使用 ""*"" 表示所有国家/地区。"
Coupon Code,优惠券代码
"Coupon code can only contain letters, numbers, underscores, and hyphens",优惠券代码只能包含字母、数字、下划线和连字符
Coupon created successfully!,优惠券创建成功！
Coupons,优惠券
Create A New Customer,创建新客户
Create New Package,创建新包裹
Create New Tax Class,创建新税务类别
Create New Zone,创建新区域
Create a new category,创建新分类
Create a new collection,创建新系列
Create a new coupon,创建新优惠券
Create a new page,创建新页面
Create a new product,创建新产品
Create a new variant for this product.,为此产品创建新变体。
Create a new widget,创建新小部件
Create a variant group,创建变体组
Create method,创建方式
Create new tax class,创建新税务类别
Create rollout plan,创建发布计划
Created At,创建时间
Current,当前
Customer,客户
Customer Email,客户邮箱
Customer conditions,客户条件
Customer emails,客户邮箱
Customer groups,客户组
Customer's purchase,客户的购买
Customers,客户
Customers (${count}),客户 (${count})
Customers in ${zone} will no longer see ${name}'s methods at checkout. You can re-attach it later.,${zone} 中的客户在结账时将不再看到 ${name} 的方式。您可以稍后重新附加它。
Dashboard,仪表板
Date,日期
Decrease,减少
Default carrier,默认承运商
Default language,默认语言
Default package,默认包裹
Default service code,默认服务代码
"Delete ""${name}""?","删除 ""${name}""？"
Delete ${count} attributes,删除 ${count} 个属性
Delete ${count} categories,删除 ${count} 个分类
Delete ${count} collections,删除 ${count} 个系列
Delete ${count} pages,删除 ${count} 个页面
Delete ${count} widgets,删除 ${count} 个小部件
Delete container widget?,删除容器小部件？
Delete image,删除图片
"Delete package ""${name}""?","删除包裹 ""${name}""？"
Delete this,删除此项
Delete this widget? This will be saved as a pending change you can publish or discard.,删除此小部件？此操作将保存为待处理更改，您可以发布或丢弃它。
Delete widget?,删除小部件？
Delete zone,删除区域
"Delete zone ""${name}""?","删除区域 ""${name}""？"
Deleted ${name},已删除 ${name}
Deleting this,删除此项
Deleting this container will also hide,删除此容器还将隐藏
Description is required,描述为必填项
Desktop,桌面
Detach,分离
Detach ${name}?,分离 ${name}？
Disable ${count} pages,禁用 ${count} 个页面
Disable ${count} widgets,禁用 ${count} 个小组件
Disabled products will not be visible in the store and cannot be purchased.,已禁用的商品将不会在商店中显示，且无法购买。
Discard changes on this page only,仅放弃此页面的更改
Discard everything,放弃全部
Discard everything in this draft,放弃此草稿中的全部内容
Discard failed,放弃失败
Discard pending changes?,放弃待处理的更改？
Discard this page,放弃此页面
Discarding…,正在放弃…
Discount Type,折扣类型
Discount amount,折扣金额
Discount amount is required,折扣金额为必填项
Discount type is required,折扣类型为必填项
Dislay Name,显示名称
Display Name,显示名称
Draft,草稿
Draft — not scheduled,草稿 — 未排定
Drag to resize,拖动以调整大小
"Each row places this widget on one page, in one area, with its own sort order. Lower numbers appear first.",每一行将此小组件放置在一个页面的一个区域中，并具有各自的排序顺序。数值越小越靠前显示。
Edit ${name},编辑 ${name}
Edit Shipping Zone,编辑配送区域
Edit Tax Rate,编辑税率
Edit Variant,编辑变体
Edit Zone,编辑区域
Edit against the live storefront. Publish immediately or save as a rollout plan.,针对线上商店进行编辑。立即发布或保存为发布计划。
Edit rollout schedule,编辑发布排程
Editable routes,可编辑路由
Editing ${coupon},正在编辑 ${coupon}
Editing ${fullName},正在编辑 ${fullName}
Editing widget ${name},正在编辑小组件 ${name}
Edits to a shared widget update every route it appears on.,对共享小组件的编辑会更新它所在的每个路由。
Empty package weight,空包裹重量
Empty weight,空重
Enable ${count} pages,启用 ${count} 个页面
Enable ${count} widgets,启用 ${count} 个小组件
Enable this page to make it visible on the frontend.,启用此页面以使其在前端可见。
Enable?,启用？
End,结束
End Date,结束日期
End date,结束日期
End time is invalid.,结束时间无效。
End time must be after start time.,结束时间必须晚于开始时间。
Enter Category Name,输入分类名称
Enter Collection Name,输入系列名称
Enter Meta Description,输入 Meta 描述
Enter Meta Title,输入 Meta 标题
Enter Meta description,输入 Meta 描述
Enter Meta title,输入 Meta 标题
Enter SKU,输入 SKU
Enter URL Key,输入 URL 键
Enter URL key,输入 URL 键
Enter customer emails,输入客户邮箱
Enter description,输入描述
Enter group name,输入组名称
Enter meta description,输入 Meta 描述
Enter meta title,输入 Meta 标题
Enter page name,输入页面名称
Enter price,输入价格
Enter product name,输入商品名称
Enter purchased amount,输入购买金额
