Welcome Back!,خوش آمدید!
Add address API not available,API افزودن آدرس در دسترس نیست
Add custom field,افزودن فیلد سفارشی
Add field,افزودن فیلد
Add item,افزودن مورد
Add option,افزودن گزینه
Add product,افزودن محصول
Add some items to get started,برای شروع چند مورد اضافه کنید
Add sub-field,افزودن زیرفیلد
Adding...,در حال افزودن...
Address has been deleted successfully!,آدرس با موفقیت حذف شد!
Address has been saved successfully!,آدرس با موفقیت ذخیره شد!
Address has been updated successfully!,آدرس با موفقیت به‌روزرسانی شد!
Address is required,آدرس الزامی است
Adds target=_blank rel=noopener noreferrer.,target=_blank rel=noopener noreferrer را اضافه می‌کند.
All items fulfilled,همه موارد آماده‌سازی شدند
All orders,همه سفارش‌ها
All your past orders,همه سفارش‌های گذشته شما
Allow multiple,اجازه چندتایی
An unexpected error occurred. Please try again.,خطای غیرمنتظره‌ای رخ داد. لطفاً دوباره تلاش کنید.
Apply Filters,اعمال فیلترها
Are you sure you want to mark the selected orders as shipped?,آیا مطمئنید که می‌خواهید سفارش‌های انتخاب‌شده را به‌عنوان ارسال‌شده علامت بزنید؟
Are you sure?,آیا مطمئن هستید؟
Attribute Group,گروه ویژگی
Attribute code is used in API and must be unique,کد ویژگی در API استفاده می‌شود و باید یکتا باشد
Attribute options,گزینه‌های ویژگی
Attributes,ویژگی‌ها
Available shipping methods will appear once you provide your address details,روش‌های ارسال در دسترس پس از ارائه جزئیات آدرس شما نمایش داده می‌شوند
Best Sellers,پرفروش‌ترین‌ها
Best customers,بهترین مشتریان
Billing address,آدرس صورت‌حساب
Black,مشکی
Buy qty,تعداد خرید
Buy qty is required,تعداد خرید الزامی است
Can not process payment. Please try again later.,امکان پردازش پرداخت وجود ندارد. لطفاً بعداً دوباره تلاش کنید.
Can't be undone,قابل بازگرداندن نیست
Cancel,لغو
Cancel Order,لغو سفارش
Cancel shipment,لغو محموله
Cancel this shipment?,این محموله لغو شود؟
Canceled,لغو شده
Cancelled,لغو شده
Cannot add billing address: cart not initialized,امکان افزودن آدرس صورت‌حساب نیست: سبد مقداردهی اولیه نشده
Cannot add contact info: cart not initialized,امکان افزودن اطلاعات تماس نیست: سبد مقداردهی اولیه نشده
Cannot add payment method: cart not initialized,امکان افزودن روش پرداخت نیست: سبد مقداردهی اولیه نشده
Cannot add shipping address: cart not initialized,امکان افزودن آدرس ارسال نیست: سبد مقداردهی اولیه نشده
Cannot add shipping method: cart not initialized,امکان افزودن روش ارسال نیست: سبد مقداردهی اولیه نشده
Cannot add shipping method: providerCode is required,امکان افزودن روش ارسال نیست: providerCode الزامی است
Cannot apply coupon: cart not initialized,امکان اعمال کوپن نیست: سبد مقداردهی اولیه نشده
Cannot remove coupon: cart not initialized,امکان حذف کوپن نیست: سبد مقداردهی اولیه نشده
Carrier,حامل
Carrier is required,حامل الزامی است
Cart ID is required to checkout,شناسه سبد برای تسویه‌حساب الزامی است
Cart is not initialized,سبد مقداردهی اولیه نشده است
Catalog,کاتالوگ
Categories,دسته‌بندی‌ها
Category,دسته‌بندی
Charcoal,زغالی
Checkout success,تسویه‌حساب موفق
Choose Product SKU,انتخاب SKU محصول
Choose SKU,انتخاب SKU
City is required,شهر الزامی است
Clear All,پاک کردن همه
Clear Filters,پاک کردن فیلترها
Clear all,پاک کردن همه
Clear categories,پاک کردن دسته‌بندی‌ها
Close fullscreen view,بستن نمای تمام‌صفحه
Code,کد
Collections,مجموعه‌ها
Comma-separated; renders the value as a dropdown.,جداشده با کاما؛ مقدار را به‌صورت یک فهرست کشویی نمایش می‌دهد.
Completed,تکمیل‌شده
Configurable,قابل پیکربندی
Configure tax classes and tax rates,پیکربندی کلاس‌های مالیاتی و نرخ‌های مالیات
Confirm,تأیید
Contact for pricing,برای قیمت تماس بگیرید
Conveniently pay with cash at your doorstep when your order is delivered.,هنگام تحویل سفارش، به‌راحتی با پول نقد در درب منزل پرداخت کنید.
Coupon applied successfully!,کوپن با موفقیت اعمال شد!
Coupon code is required,کد کوپن الزامی است
Coupon does not match,کوپن مطابقت ندارد
Coupon removed successfully!,کوپن با موفقیت حذف شد!
Cream,کرم
Create,ایجاد
Create a new attribute,ایجاد یک ویژگی جدید
Create a new group,ایجاد یک گروه جدید
Create a new package,ایجاد یک بسته جدید
Create shipment,ایجاد محموله
Created,ایجاد شد
Custom URL,URL سفارشی
Custom field created,فیلد سفارشی ایجاد شد
Custom field updated,فیلد سفارشی به‌روزرسانی شد
Custom fields,فیلدهای سفارشی
Custom fields (JSON),فیلدهای سفارشی (JSON)
Custom fields saved,فیلدهای سفارشی ذخیره شد
Customer Information,اطلاعات مشتری
Customer does not have any order yet.,مشتری هنوز هیچ سفارشی ندارد.
Customer notes,یادداشت‌های مشتری
Daily,روزانه
Date and time must be after ${min},تاریخ و زمان باید بعد از ${min} باشد
Date and time must be before ${max},تاریخ و زمان باید پیش از ${max} باشد
Date must be after ${min},تاریخ باید پس از ${min} باشد
Date must be before ${max},تاریخ باید پیش از ${max} باشد
Delete ${count} coupons,حذف ${count} کوپن
Delete ${count} products,حذف ${count} محصول
Delete address API not available,API حذف آدرس در دسترس نیست
Delivered,تحویل‌شده
Description,توضیحات
Disable,غیرفعال‌سازی
Disable ${count} coupons,غیرفعال‌سازی ${count} کوپن
Disable ${count} customers,غیرفعال‌سازی ${count} مشتری
Disable ${count} products,غیرفعال‌سازی ${count} محصول
Disabled,غیرفعال
Discount percent,درصد تخفیف
Discount percent is required,درصد تخفیف الزامی است
Display on Frontend?,نمایش در فروشگاه؟
Displays the mobile sidebar.,نوار کناری موبایل را نمایش می‌دهد.
Done,انجام شد
Drag to reorder,برای مرتب‌سازی بکشید
Duplicate,تکثیر
Edit custom field,ویرایش فیلد سفارشی
Edit field settings,ویرایش تنظیمات فیلد
Edit package,ویرایش بسته
Edit tracking info,ویرایش اطلاعات پیگیری
Editing ${name},در حال ویرایش ${name}
Email a shipment confirmation,ارسال ایمیل تأیید مرسوله
Email a shipment confirmation with tracking details,ارسال ایمیل تأیید مرسوله همراه با جزئیات پیگیری
Email is required,ایمیل الزامی است
Enable,فعال‌سازی
Enable ${count} coupons,فعال‌سازی ${count} کوپن
Enable ${count} customers,فعال‌سازی ${count} مشتری
Enable ${count} products,فعال‌سازی ${count} محصول
Enabled,فعال
Enter attribute code,کد ویژگی را وارد کنید
Enter attribute name,نام ویژگی را وارد کنید
Enter text,متن را وارد کنید
Enter value for ${attribute},مقدار را برای ${attribute} وارد کنید
Enter your email,ایمیل خود را وارد کنید
Enter your new password,رمز عبور جدید خود را وارد کنید
Enter your password,رمز عبور خود را وارد کنید
Error,خطا
Failed to add address,افزودن آدرس ناموفق بود
Failed to add billing address,افزودن آدرس صورتحساب ناموفق بود
Failed to add billing address.,افزودن آدرس صورتحساب ناموفق بود.
Failed to add contact info,افزودن اطلاعات تماس ناموفق بود
Failed to add contact info.,افزودن اطلاعات تماس ناموفق بود.
Failed to add item to cart,افزودن کالا به سبد خرید ناموفق بود
Failed to add payment method,افزودن روش پرداخت ناموفق بود
Failed to add payment method.,افزودن روش پرداخت ناموفق بود.
Failed to add product to cart,افزودن محصول به سبد خرید ناموفق بود
Failed to add shipping address,افزودن آدرس ارسال ناموفق بود
Failed to add shipping address.,افزودن آدرس ارسال ناموفق بود.
Failed to add shipping method,افزودن روش ارسال ناموفق بود
Failed to add shipping method.,افزودن روش ارسال ناموفق بود.
Failed to apply coupon,اعمال کوپن ناموفق بود
Failed to cancel shipment,لغو مرسوله ناموفق بود
Failed to checkout,تسویه‌حساب ناموفق بود
Failed to create field,ایجاد فیلد ناموفق بود
Failed to create shipment,ایجاد مرسوله ناموفق بود
Failed to delete address,حذف آدرس ناموفق بود
Failed to load custom fields,بارگذاری فیلدهای سفارشی ناموفق بود
Failed to mark delivered,علامت‌گذاری به‌عنوان تحویل‌شده ناموفق بود
Failed to place order,ثبت سفارش ناموفق بود
Failed to place order. Please try again.,ثبت سفارش ناموفق بود. لطفاً دوباره تلاش کنید.
Failed to remove coupon,حذف کوپن ناموفق بود
Failed to remove coupon.,حذف کوپن ناموفق بود.
Failed to save custom fields,ذخیره فیلدهای سفارشی ناموفق بود
Failed to set shipping method,تنظیم روش ارسال ناموفق بود
Failed to set shipping note,تنظیم یادداشت ارسال ناموفق بود
Failed to update address,به‌روزرسانی آدرس ناموفق بود
Failed to update field,به‌روزرسانی فیلد ناموفق بود
Failed to update shipment,به‌روزرسانی مرسوله ناموفق بود
Failed to update tracking info,به‌روزرسانی اطلاعات پیگیری ناموفق بود
Failed to void label,باطل کردن برچسب ناموفق بود
Failed!,ناموفق!
Fields applicable to this entity type. Adding a field applies it to all entities of this type.,فیلدهای قابل اعمال به این نوع موجودیت. افزودن یک فیلد آن را به همهٔ موجودیت‌های این نوع اعمال می‌کند.
File size must be less than ${maxSize},اندازهٔ فایل باید کمتر از ${maxSize} باشد
Filter Products,فیلتر محصولات
Filters,فیلترها
First,اول
Free,رایگان
Free shipping,ارسال رایگان
Free shipping ?,ارسال رایگان؟
Fulfill ${count} orders,تکمیل ${count} سفارش
Full Name is required,نام کامل الزامی است
Fully shipped,به‌طور کامل ارسال‌شده
General,عمومی
Get qty,تعداد دریافتی
Get qty is required,تعداد دریافتی الزامی است
Ghost,شبح
Go,برو
Go to Login,رفتن به ورود
Go to next page,رفتن به صفحهٔ بعد
Go to previous page,رفتن به صفحهٔ قبل
Hello,سلام
Hide from storefront,پنهان‌سازی از فروشگاه
ID,شناسه
In Stock,موجود در انبار
Inactive,غیرفعال
Inclusive of tax ${totalTaxAmount},شامل مالیات ${totalTaxAmount}
Insert,درج
Invalid address,آدرس نامعتبر
Invalid cart,سبد خرید نامعتبر
Invalid cart id,شناسهٔ سبد خرید نامعتبر
Invalid coupon,کوپن نامعتبر
Invalid customer,مشتری نامعتبر
Invalid customer id,شناسهٔ مشتری نامعتبر
Invalid email or password,ایمیل یا رمز عبور نامعتبر
Invalid format,قالب نامعتبر
Invalid quantity,تعداد نامعتبر
Is Filterable?,قابل فیلتر است؟
Is Required?,الزامی است؟
Item,کالا
Items,کالاها
Items in this shipment will return to the order's unshipped pool. This action cannot be undone.,کالاهای این مرسوله به مخزن ارسال‌نشدهٔ سفارش بازمی‌گردند. این عمل قابل بازگشت نیست.
Key,کلید
Key is required,کلید الزامی است
Label,برچسب
Label voided,برچسب باطل شد
Language,زبان
Last,آخر
Lifetime Sales,فروش کل دوره
Light gray,خاکستری روشن
Limit,محدودیت
Link,پیوند
Loading,در حال بارگذاری
Log in,ورود
Logging in...,در حال ورود...
Logging out...,در حال خروج...
Login failed,ورود ناموفق بود
Logout failed,خروج ناموفق بود
Look like you just started. No bestsellers yet.,به نظر می‌رسد تازه شروع کرده‌اید. هنوز محصول پرفروشی نیست.
"Lowercase letters, digits, underscore. Immutable.",حروف کوچک، اعداد، زیرخط. غیرقابل تغییر.
Manage the general information of the attribute.,مدیریت اطلاعات عمومی ویژگی.
Manage the setting of the attribute.,مدیریت تنظیمات ویژگی.
Mark as shipped,علامت‌گذاری به‌عنوان ارسال‌شده
Mark delivered,علامت‌گذاری به‌عنوان تحویل‌شده
Mark shipment as delivered?,مرسوله به‌عنوان تحویل‌شده علامت‌گذاری شود؟
Max length,حداکثر طول
Max of Y,حداکثر Y
Max of Y is required,حداکثر Y الزامی است
Max value,حداکثر مقدار
Min length,حداقل طول
Min value,حداقل مقدار
Minimum quantity,حداقل تعداد
Mint,نعنایی
Monthly,ماهانه
More,بیشتر
More pages,صفحات بیشتر
Move down,انتقال به پایین
Move up,انتقال به بالا
Multiselect,انتخاب چندگانه
Must be at least ${n},باید حداقل ${n} باشد
Must be at least ${n} characters,باید حداقل ${n} کاراکتر باشد
Must be at most ${n},باید حداکثر ${n} باشد
Must be at most ${n} characters,باید حداکثر ${n} کاراکتر باشد
"Must start with a letter; lowercase letters, digits, underscore only",باید با یک حرف شروع شود؛ فقط حروف کوچک، ارقام و زیرخط مجاز است
Name is required,نام الزامی است
New Product,محصول جدید
New Widget,ویجت جدید
New folder,پوشه جدید
Next,بعدی
Next slide,اسلاید بعدی
No,خیر
No address data received,هیچ داده آدرسی دریافت نشد
"No attribute groups found for query ""${query}""",هیچ گروه ویژگی‌ای برای جستجوی «${query}» یافت نشد
No carriers registered,هیچ شرکت حملی ثبت نشده است
"No categories found for ""${term}""",هیچ دسته‌بندی‌ای برای «${term}» یافت نشد
"No categories found for query ""${query}""",هیچ دسته‌بندی‌ای برای جستجوی «${query}» یافت نشد
"No collections found for query ""${query}""",هیچ مجموعه‌ای برای جستجوی «${query}» یافت نشد
No coupon to remove,کوپنی برای حذف وجود ندارد
No custom fields yet.,هنوز فیلد سفارشی‌ای وجود ندارد.
No data available,داده‌ای موجود نیست
No free shipping,بدون ارسال رایگان
No limit,بدون محدودیت
No maximum,بدون حداکثر
No minimum,بدون حداقل
No notes from customer,یادداشتی از مشتری وجود ندارد
"No options found for ""${code}""",هیچ گزینه‌ای برای «${code}» یافت نشد
"No products found for query ""${query}""",هیچ محصولی برای جستجوی «${query}» یافت نشد
No shipments yet — your order is being prepared.,هنوز مرسوله‌ای وجود ندارد — سفارش شما در حال آماده‌سازی است.
No shipping is required for this order,برای این سفارش نیازی به ارسال نیست
No shipping methods available,هیچ روش ارسالی در دسترس نیست
No shipping options are available for your location,هیچ گزینه ارسالی برای موقعیت مکانی شما در دسترس نیست
No shipping required,نیازی به ارسال نیست
No widgets match your search.,هیچ ویجتی با جستجوی شما مطابقت ندارد.
None,هیچ‌کدام
Not set,تنظیم نشده
Not visible to customers,برای مشتریان قابل مشاهده نیست
Notify customer,اطلاع‌رسانی به مشتری
Open in new tab,باز کردن در زبانه جدید
Operator,عملگر
Option text,متن گزینه
Optional help text shown to admins.,متن راهنمای اختیاری که به مدیران نمایش داده می‌شود.
Order Placed,سفارش ثبت شد
Order detail,جزئیات سفارش
Order must contain products matching all conditions below,سفارش باید شامل محصولاتی باشد که با همه شرایط زیر مطابقت دارند
Order not found,سفارش یافت نشد
Orders,سفارش‌ها
Others,سایر موارد
Out of Stock,ناموجود
Outline,خط دور
Overview of sales data over selected periods,مرور داده‌های فروش در بازه‌های زمانی انتخاب‌شده
Overview of total sales and order status over the lifetime of your store,مرور کل فروش و وضعیت سفارش‌ها در طول عمر فروشگاه شما
Page,صفحه
Page ${currentPage} of ${totalPages},صفحه ${currentPage} از ${totalPages}
Page not found,صفحه یافت نشد
Password is required,رمز عبور الزامی است
Password must be at least ${minLength} characters long,رمز عبور باید حداقل ${minLength} کاراکتر باشد
Paste a URL or a relative path starting with ,یک URL یا یک مسیر نسبی که با آن شروع می‌شود را جای‌گذاری کنید 
Pattern (regex),الگو (regex)
Pay with PayPal,پرداخت با PayPal
Pay with Stripe,پرداخت با Stripe
Payment Status,وضعیت پرداخت
Placing Order...,در حال ثبت سفارش...
Please enter a coupon code,لطفاً یک کد کوپن وارد کنید
Please enter a valid URL,لطفاً یک URL معتبر وارد کنید
Please enter a valid email address,لطفاً یک آدرس ایمیل معتبر وارد کنید
Please enter your email to receive a reset link,لطفاً ایمیل خود را وارد کنید تا لینک بازنشانی را دریافت کنید
Please provide billing address to proceed,لطفاً برای ادامه آدرس صورت‌حساب را وارد کنید
Please select a payment method,لطفاً یک روش پرداخت انتخاب کنید
Please select a shipping method,لطفاً یک روش ارسال انتخاب کنید
Please sign in to your account,لطفاً وارد حساب کاربری خود شوید
Position,موقعیت
Previous,قبلی
Previous slide,اسلاید قبلی
Price: ${value},قیمت: ${value}
Primary,اصلی
Print Label,چاپ برچسب
Processing Payment...,در حال پردازش پرداخت...
Product Description,توضیحات محصول
Product is out of stock,محصول ناموجود است
Product name is required,نام محصول الزامی است
Product not found,محصول یافت نشد
Product type,نوع محصول
Products,محصولات
Reason for cancellation,دلیل لغو
Reason is required,دلیل الزامی است
Recently placed orders by this customer,سفارش‌های اخیر ثبت‌شده توسط این مشتری
Redirecting to PayPal...,در حال انتقال به PayPal...
Reference type,نوع مرجع
Registration failed,ثبت‌نام ناموفق بود
Remove item,حذف مورد
Remove sub-field,حذف زیرفیلد
Required,الزامی
Requires at least one item to create a cart,برای ایجاد سبد خرید حداقل یک مورد لازم است
Reset Password,بازنشانی رمز عبور
Reset Your Password,رمز عبور خود را بازنشانی کنید
Reset password,بازنشانی رمز عبور
Reset your password,رمز عبور خود را بازنشانی کنید
Root,ریشه
SKU,SKU
SKU ${sku},SKU ${sku}
SKU must be unique,SKU باید یکتا باشد
SKU: ${sku},SKU: ${sku}
Sale Statistics,آمار فروش
Save custom fields,ذخیره فیلدهای سفارشی
Save field,ذخیره فیلد
Saved successfully!,با موفقیت ذخیره شد!
Search attribute groups,جستجوی گروه‌های ویژگی
Search categories,جستجوی دسته‌بندی‌ها
Search collections,جستجوی مجموعه‌ها
"Search for products, orders, and other resources",جستجوی محصولات، سفارش‌ها و سایر منابع
Search products,جستجوی محصولات
Search results for: ${keyword},نتایج جستجو برای: ${keyword}
Search widgets…,جستجوی ویجت‌ها…
Searching...,در حال جستجو...
Search…,جستجو…
See all orders →,مشاهده همه سفارش‌ها →
Select,انتخاب
Select a carrier,یک شرکت حمل انتخاب کنید
Select at least one item to ship,حداقل یک مورد برای ارسال انتخاب کنید
Select groups the attribute belongs to,گروه‌هایی که این ویژگی به آن‌ها تعلق دارد را انتخاب کنید
Select shipping method,انتخاب روش ارسال
Select sort,انتخاب مرتب‌سازی
"Select the items going in this shipment, then add the carrier & tracking.",مواردی که در این مرسوله قرار می‌گیرند را انتخاب کنید، سپس شرکت حمل و کد رهگیری را اضافه کنید.
Setting,تنظیم
Settings,تنظیمات
Shipment Status,وضعیت مرسوله
Shipment canceled,مرسوله لغو شد
Shipment created,مرسوله ایجاد شد
Shipment marked delivered,مرسوله به‌عنوان تحویل‌شده علامت‌گذاری شد
Shipments,مرسوله‌ها
Shipped,ارسال‌شده
Shipping (${method}),ارسال (${method})
Shipping Setting,تنظیمات ارسال
Show,نمایش
Show all ${count} options,نمایش همه ${count} گزینه
Show on storefront,نمایش در فروشگاه
Showing ${showing} of ${total},نمایش ${showing} از ${total}
Showing ${start}-${end} of ${total} results,نمایش ${start}-${end} از ${total} نتیجه
Sidebar,نوار کناری
Sign in to view your orders,برای مشاهده سفارش‌های خود وارد شوید
Simple,ساده
Sky,آسمانی
Sold out,تمام شد
Some error occurred. Please try again later.,خطایی رخ داد. لطفاً بعداً دوباره تلاش کنید.
Some products are not available,برخی محصولات در دسترس نیستند
Something went wrong! Please try again.,مشکلی پیش آمد! لطفاً دوباره تلاش کنید.
Something went wrong. Please try again later.,مشکلی پیش آمد. لطفاً بعداً دوباره تلاش کنید.
Something wrong. Please try again,مشکلی پیش آمد. لطفاً دوباره تلاش کنید
Sort Order,ترتیب مرتب‌سازی
Sort order,ترتیب مرتب‌سازی
Status,وضعیت
Stock,موجودی
Stripe is not loaded. Please try again.,Stripe بارگذاری نشد. لطفاً دوباره تلاش کنید.
Style,سبک
Sub-fields,زیرفیلدها
Submit Cancellation,ثبت لغو
Successfully logged in,با موفقیت وارد شدید
Successfully logged out,با موفقیت خارج شدید
Tax Setting,تنظیمات مالیات
Test failure,شکست آزمایش
Test failure:,شکست آزمایش:
Test success,موفقیت آزمایش
Test success:,موفقیت آزمایش:
Text,متن
Textarea,ناحیه متن
The carrier will mark the tracking number as invalid. You will need to purchase a new label if you still intend to ship.,شرکت حمل‌ونقل شماره رهگیری را نامعتبر علامت‌گذاری می‌کند. اگر همچنان قصد ارسال دارید، باید برچسب جدیدی خریداری کنید.
The customer will receive a delivery confirmation email.,مشتری یک ایمیل تأیید تحویل دریافت خواهد کرد.
There is no category,هیچ دسته‌بندی‌ای وجود ندارد
There is no file to display.,هیچ فایلی برای نمایش وجود ندارد.
There is no sub folder.,هیچ زیرپوشه‌ای وجود ندارد.
There was an error:,خطایی رخ داد:
This tracking link has expired,این پیوند رهگیری منقضی شده است
This tracking link is no longer valid,این پیوند رهگیری دیگر معتبر نیست
Thumbnail,تصویر بندانگشتی
Time must be after ${min},زمان باید بعد از ${min} باشد
Time must be before ${max},زمان باید قبل از ${max} باشد
Toggle Sidebar,نمایش/پنهان نوار کناری
Token is invalid or expired,توکن نامعتبر یا منقضی شده است
Too many items requested,تعداد موارد درخواستی بیش از حد است
Track,رهگیری
Track shipment →,رهگیری مرسوله →
Track your order,سفارش خود را رهگیری کنید
Tracking info updated,اطلاعات رهگیری به‌روزرسانی شد
Tracking link,پیوند رهگیری
Tracking links are good for a limited time. Sign in to your account to see the current status of your order.,پیوندهای رهگیری برای مدت محدودی معتبر هستند. برای مشاهده وضعیت فعلی سفارش خود وارد حساب کاربری‌تان شوید.
Tracking number,شماره رهگیری
Type,نوع
Type / to see the available blocks,برای دیدن بلوک‌های موجود / را تایپ کنید
UPDATE PASSWORD,به‌روزرسانی گذرواژه
Update address API not available,API به‌روزرسانی آدرس در دسترس نیست
Update field,به‌روزرسانی فیلد
Upload,بارگذاری
Validation,اعتبارسنجی
Value,مقدار
Value must be a whole number,مقدار باید یک عدد صحیح باشد
Value must be at least ${min},مقدار باید حداقل ${min} باشد
Value must be at most ${max},مقدار باید حداکثر ${max} باشد
View All Products,مشاهده همه محصولات
View JSON,مشاهده JSON
View all customers,مشاهده همه مشتریان
Visible to customer,قابل مشاهده برای مشتری
Void Label,ابطال برچسب
Void label,ابطال برچسب
Void this shipping label?,این برچسب حمل‌ونقل ابطال شود؟
"We could not find this order. It may have been removed, or it may belong to a different account.",این سفارش را پیدا نکردیم. ممکن است حذف شده باشد یا به حساب دیگری تعلق داشته باشد.
"We could not verify this link. If you received it in an email from us, please try again from the most recent message, or sign in to your account.",نتوانستیم این پیوند را تأیید کنیم. اگر آن را در ایمیلی از ما دریافت کرده‌اید، لطفاً از جدیدترین پیام دوباره تلاش کنید یا وارد حساب کاربری‌تان شوید.
We have sent you an email with a link to reset your password. Please check your inbox.,ایمیلی حاوی پیوند بازنشانی گذرواژه برای شما ارسال کردیم. لطفاً صندوق ورودی خود را بررسی کنید.
Weekly,هفتگی
Welcome to our store!,به فروشگاه ما خوش آمدید!
"Where you ship, shipping methods and delivery fee",مناطق ارسال، روش‌های حمل‌ونقل و هزینه تحویل
White,سفید
Yes,بله
You are already logged in,شما قبلاً وارد شده‌اید
You are here:,شما اینجا هستید:
You have no attribute groups to display,هیچ گروه ویژگی‌ای برای نمایش ندارید
You have no categories to display,هیچ دسته‌بندی‌ای برای نمایش ندارید
You have no collections to display,هیچ مجموعه‌ای برای نمایش ندارید
You have no products to display,هیچ محصولی برای نمایش ندارید
You have not placed any orders yet.,شما هنوز هیچ سفارشی ثبت نکرده‌اید.
You paid for,شما پرداخت کردید برای
You will be redirected to PayPal for payment processing.,برای پردازش پرداخت به PayPal هدایت خواهید شد.
Your Orders,سفارش‌های شما
Your order #${number} has been delivered,سفارش #${number} شما تحویل داده شد
Your order #${number} is on the way,سفارش #${number} شما در راه است
Your order has been confirmed!,سفارش شما تأیید شد!
Your password has been updated successfully.,گذرواژه شما با موفقیت به‌روزرسانی شد.
across,در میان
available to ship,آماده ارسال
breadcrumb,مسیر راهنما
e.g. Care instructions,مثلاً دستورالعمل نگهداری
"e.g. New, Sale, Limited",مثلاً جدید، حراج، محدود
e.g. Question,مثلاً پرسش
e.g. care_instructions,مثلاً care_instructions
e.g. question,مثلاً question
item,مورد
items,مورد
left to ship,باقی‌مانده برای ارسال
of,از
of ${count},از ${count}
unit,واحد
units,واحد
${count} changes published.,${count} تغییر منتشر شد.
${count} child widgets,${count} ویجت فرزند
${count} countries,${count} کشور
${count} on ${route},${count} در ${route}
${count} ops total,${count} عملیات در مجموع
${count} pending ops,${count} عملیات در انتظار
${count} pending ops on,${count} عملیات در انتظار در
${count} routes,${count} مسیر
${direction} failed,${direction} ناموفق بود
${method} — ${zone} rate,${method} — نرخ ${zone}
${method} — new rate,${method} — نرخ جدید
${name} attached to ${zone},${name} به ${zone} پیوست شد
${name} configuration for ${zone},پیکربندی ${name} برای ${zone}
${name} configuration for this zone,پیکربندی ${name} برای این منطقه
${name} configuration saved for ${zone},پیکربندی ${name} برای ${zone} ذخیره شد
${name} detached,${name} جدا شد
${name} is required,${name} الزامی است
${title} settings,تنظیمات ${title}
${total} changes will go live immediately.,${total} تغییر بلافاصله فعال خواهد شد.
${total} items,${total} مورد
(envelope),(پاکت)
+ Add Line,+ افزودن خط
+ Add Method,+ افزودن روش
+ Add Rate,+ افزودن نرخ
+ Add placement,+ افزودن جایگاه
+ Attach Provider,+ پیوست ارائه‌دهنده
+ New package,+ بسته جدید
+${count} more,+${count} مورد دیگر
", +${count} more",، +${count} مورد دیگر
", last updated",، آخرین به‌روزرسانی
0 for flat envelopes,۰ برای پاکت‌های تخت
1 change published.,۱ تغییر منتشر شد.
1 change will go live immediately.,۱ تغییر بلافاصله فعال خواهد شد.
1 child widget,۱ ویجت فرزند
1 op total,۱ عملیات در مجموع
1 pending op,۱ عملیات در انتظار
1 pending op on,۱ عملیات در انتظار در
A package is required for shippable products,برای محصولات قابل ارسال، یک بسته الزامی است
A rollout plan saves your current edits as a snapshot and applies them automatically during a scheduled window.,یک طرح انتشار، ویرایش‌های فعلی شما را به‌عنوان یک عکس فوری ذخیره می‌کند و آن‌ها را به‌طور خودکار در یک بازه زمانی برنامه‌ریزی‌شده اعمال می‌کند.
Action,عمل
Actions,عملیات
Add,افزودن
Add Products,افزودن محصولات
Add Rate,افزودن نرخ
Add Shipping Method,افزودن روش حمل‌ونقل
Add Tax Rate,افزودن نرخ مالیات
Add Variant,افزودن گونه
